,idProject,nameProject,productionClass,testCase,FRNC,isResourceOptimism,isResourceOptimismManual,prediction
2,35.0,hbase,BackupSystemTable,org.apache.hadoop.hbase.backup.testbackupsystemtable.createbackupinfolist,0.0,False,False,False
3,35.0,hbase,BackupSystemTable,org.apache.hadoop.hbase.backup.testbackupsystemtable.testaddwalfiles,25.0,True,False,False
4,35.0,hbase,BackupSystemTable,org.apache.hadoop.hbase.backup.testbackupsystemtable.testbackupdelete,0.0,False,False,False
5,35.0,hbase,BackupSystemTable,org.apache.hadoop.hbase.backup.testbackupsystemtable.testbackupsetaddnotexists,0.0,False,False,False
7,35.0,hbase,BackupSystemTable,org.apache.hadoop.hbase.backup.testbackupsystemtable.testbackupsetremove,0.0,False,False,False
8,35.0,hbase,BackupSystemTable,org.apache.hadoop.hbase.backup.testbackupsystemtable.testincrementalbackuptableset,0.0,False,False,False
9,35.0,hbase,AsyncClientExample,org.apache.hadoop.hbase.client.example.testasyncclientexample.test,0.0,False,False,False
10,35.0,hbase,ReplicationAdmin,org.apache.hadoop.hbase.client.replication.testreplicationadmin.testremovepeertablecfs,0.0,False,False,False
11,35.0,hbase,ReplicationAdmin,org.apache.hadoop.hbase.client.replication.testreplicationadmin.testsetreplicateallusertables,0.0,False,False,False
13,35.0,hbase,AsyncAdminBuilder,org.apache.hadoop.hbase.client.testasyncadminbuilder.testoperationtimeout,0.0,False,False,False
21,35.0,hbase,AsyncProcess,org.apache.hadoop.hbase.client.testasyncprocess.testreadandwritetimeout,0.0,False,False,False
22,35.0,hbase,AsyncProcess,org.apache.hadoop.hbase.client.testasyncprocess.testreplicaallcallsfailforoneregion,0.0,False,False,False
25,35.0,hbase,AsyncProcess,org.apache.hadoop.hbase.client.testasyncprocess.testsubmitlargerequest,0.0,False,False,False
26,35.0,hbase,AsyncProcess,org.apache.hadoop.hbase.client.testasyncprocess.testsubmitlargerequestwithunlimitedsize,0.0,False,False,False
27,35.0,hbase,AsyncProcess,org.apache.hadoop.hbase.client.testasyncprocess.testsubmittrue,0.0,False,False,False
30,35.0,hbase,AsyncTable,org.apache.hadoop.hbase.client.testasynctable.testappend,0.0,False,False,False
32,35.0,hbase,AsyncTable,org.apache.hadoop.hbase.client.testasynctable.testcheckandmutatewithtimerange,0.0,False,False,False
33,35.0,hbase,AsyncTable,org.apache.hadoop.hbase.client.testasynctable.testcheckandput,0.0,False,False,False
35,35.0,hbase,Attributes,org.apache.hadoop.hbase.client.testattributes.testdeleteattributes,0.0,False,False,False
36,35.0,hbase,Attributes,org.apache.hadoop.hbase.client.testattributes.testdeleteid,0.0,False,False,False
