,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc
0,0.0,3.0,2.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0
1,0.0,1.0,4.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0
2,0.0,2.0,3.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0
3,0.0,3.0,2.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0
4,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,0.0,1.0,4.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0
6,1.0,3.0,1.0,0.0,0.25,1.0,0.4,0.8,0.4,0.25
7,0.0,2.0,2.0,1.0,0.0,0.0,0.4,0.4,0.0,-0.4082482904638631
8,1.0,3.0,1.0,0.0,0.25,1.0,0.4,0.8,0.4,0.25
9,0.0,3.0,1.0,1.0,0.0,0.0,0.2,0.6,0.0,-0.6123724356957946
10,2.0,26.0,20.0,2.0,0.05,0.2,0.44000000000000006,0.08,-0.05206207261596576,
