,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc
0,3.0,20.0,18.0,2.0,0.13043478260869565,0.6,0.4883720930232558,0.5348837209302325,0.21428571428571427,0.04735570640442168
1,4.0,19.0,19.0,1.0,0.17391304347826086,0.8,0.5348837209302325,0.5348837209302325,0.2857142857142857,0.19280537607514542
2,1.0,21.0,17.0,4.0,0.045454545454545456,0.2,0.4186046511627907,0.5116279069767442,0.07407407407407407,-0.22613980557506333
3,4.0,15.0,22.0,2.0,0.21052631578947367,0.6666666666666666,0.6046511627906976,0.4418604651162791,0.32,0.1822926192144726
4,1.0,23.0,14.0,5.0,0.041666666666666664,0.16666666666666666,0.3488372093023256,0.5581395348837209,0.06666666666666667,-0.31744059552865056
5,1.0,17.0,20.0,5.0,0.05555555555555555,0.16666666666666666,0.4883720930232558,0.4186046511627907,0.08333333333333333,-0.20565089907970813
6,4.0,16.0,21.0,1.0,0.2,0.8,0.5952380952380952,0.47619047619047616,0.32000000000000006,0.23833987665914574
7,2.0,16.0,21.0,3.0,0.1111111111111111,0.4,0.5476190476190477,0.42857142857142855,0.1739130434782609,-0.021223817998900444
8,2.0,17.0,20.0,3.0,0.10526315789473684,0.4,0.5238095238095238,0.4523809523809524,0.16666666666666666,-0.038687093444821644
9,2.0,19.0,18.0,3.0,0.09523809523809523,0.4,0.47619047619047616,0.5,0.15384615384615385,-0.07352146220938077
10,24.0,183.0,190.0,29.0,0.11691632737971411,0.4600000000000001,0.5026578073089701,0.18584999380651554,-0.02218700954833394,
