Type,ProjectTest,ModelBalance,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
cross,wikidata-toolkit.csv,naivebayes,0.0,199.0,1.0,0.0,0.0,0.0,0.005,0.9949999999999999,0.0,0.0,0.5
cross,marine-api.csv,naivebayes,0.0,91.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
cross,undertow.csv,naivebayes,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25
cross,admiral.csv,naivebayes,0.0,426.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
cross,wildfly-maven-plugin.csv,naivebayes,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1
cross,wro4j.csv,naivebayes,1.0,330.0,12.0,0.0,0.003333333333333333,0.1,0.03417384888701642,0.9690519575645965,0.0064516129032258064,0.003333333333333333,0.5016666666666667
cross,incubator-dubbo.csv,naivebayes,0.0,353.0,18.0,0.0,0.0,0.0,0.04925218583362996,0.95074781416637,0.0,0.0,0.5
cross,querydsl.csv,naivebayes,0.0,497.0,88.0,0.0,0.0,0.0,0.1523298946622524,0.8476701053377477,0.0,0.0,0.5
cross,activiti.csv,naivebayes,0.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
cross,webcollector.csv,naivebayes,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.15
cross,sawmill.csv,naivebayes,0.0,62.0,5.0,0.0,0.0,0.0,0.07638888888888888,0.923611111111111,0.0,0.0,0.5
cross,helios.csv,naivebayes,1.0,93.0,15.0,0.0,0.0058823529411764705,0.1,0.14358528898002582,0.8616778689147111,0.01111111111111111,0.008084520834544433,0.5029411764705882
cross,fastjson.csv,naivebayes,1.0,460.0,3.0,0.0,0.002325581395348837,0.1,0.008357327427094868,0.993968253968254,0.004545454545454545,0.0,0.5011627906976744
cross,dropwizard.csv,naivebayes,0.0,252.0,18.0,0.0,0.0,0.0,0.06536632782509844,0.9346336721749016,0.0,0.0,0.5
cross,c2mon.csv,naivebayes,0.0,165.0,3.0,0.0,0.0,0.0,0.015789473684210527,0.9842105263157894,0.0,0.0,0.5
cross,rxjava2-extras.csv,naivebayes,0.0,85.0,5.0,0.0,0.0,0.0,0.05,0.95,0.0,0.0,0.5
cross,delight-nashorn-sandbox.csv,naivebayes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.05
cross,alien4cloud.csv,naivebayes,0.0,76.0,5.0,0.0,0.0,0.0,0.05416666666666666,0.9458333333333334,0.0,0.0,0.5
cross,fluent-logger-java.csv,naivebayes,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1
cross,hutool.csv,naivebayes,1.0,117.0,8.0,0.0,0.00909090909090909,0.1,0.06297979797979798,0.946111111111111,0.01666666666666667,0.0,0.5045454545454545
cross,db-scheduler.csv,naivebayes,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25
cross,timely.csv,naivebayes,0.0,56.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
