Type,ProjectTest,ModelBalance,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
cross,wikidata-toolkit.csv,nearmissunder3_decisiontree,20.0,180.0,0.0,0.0,0.1051559696342305,0.8,0.1051559696342305,1.0,0.17743969755734462,0.0,0.44324635306214255
cross,marine-api.csv,nearmissunder3_decisiontree,0.0,90.0,1.0,0.0,0.0,0.0,0.01111111111111111,0.9888888888888889,0.0,0.0,0.5
cross,undertow.csv,nearmissunder3_decisiontree,0.0,4.0,1.0,0.0,0.1,0.1,0.1,0.4,0.1,0.0,0.3
cross,admiral.csv,nearmissunder3_decisiontree,140.0,285.0,0.0,1.0,0.3329821532058374,0.9923076923076923,0.3321286681418261,0.9973684210526315,0.49477918208019334,-0.02279803762937766,0.6538527634043064
cross,wildfly-maven-plugin.csv,nearmissunder3_decisiontree,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1
cross,wro4j.csv,nearmissunder3_decisiontree,61.0,265.0,15.0,2.0,0.18952941617415303,0.9742424242424242,0.2233964261455906,0.9509651097560369,0.3100979040964037,0.028826361089946552,0.3588381838999706
cross,incubator-dubbo.csv,nearmissunder3_decisiontree,52.0,311.0,6.0,2.0,0.14043523932355953,0.9583333333333334,0.15502163660648702,0.9764570828331331,0.24284115065998613,-0.04498892341856916,0.4974255557028836
cross,querydsl.csv,nearmissunder3_decisiontree,146.0,431.0,7.0,1.0,0.25539648266634046,0.9928571428571429,0.2643834439836532,0.9861676476613466,0.402748438775836,0.021229089499950733,0.5664655499225041
cross,activiti.csv,nearmissunder3_decisiontree,2.0,23.0,0.0,0.0,0.06666666666666667,0.2,0.06666666666666667,1.0,0.1,0.0,0.5333333333333333
cross,webcollector.csv,nearmissunder3_decisiontree,0.0,0.0,1.0,2.0,0.1,0.1,0.1,0.0,0.1,0.0,0.3
cross,sawmill.csv,nearmissunder3_decisiontree,37.0,28.0,2.0,0.0,0.6120851370851371,1.0,0.6120851370851371,0.9,0.7435486082544907,0.0,0.8093759018759018
cross,helios.csv,nearmissunder3_decisiontree,0.0,108.0,1.0,0.0,0.0,0.0,0.008333333333333333,0.9916666666666666,0.0,0.0,0.5
cross,fastjson.csv,nearmissunder3_decisiontree,3.0,460.0,1.0,0.0,0.00709065444359562,0.3,0.009262371615312792,0.9977777777777778,0.013846153846153847,0.0022727272727272726,0.3536319073083779
cross,dropwizard.csv,nearmissunder3_decisiontree,25.0,235.0,9.0,1.0,0.09068102440715127,0.8,0.12155094674884781,0.9623804713804713,0.160429527107519,-0.03544624529582786,0.3242793210827335
cross,c2mon.csv,nearmissunder3_decisiontree,0.0,154.0,14.0,0.0,0.0,0.0,0.0860349780938016,0.9139650219061984,0.0,0.0,0.5
cross,rxjava2-extras.csv,nearmissunder3_decisiontree,3.0,87.0,0.0,0.0,0.0288034188034188,0.3,0.0288034188034188,1.0,0.05246753246753246,0.0,0.3647222222222222
cross,delight-nashorn-sandbox.csv,nearmissunder3_decisiontree,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.05
cross,alien4cloud.csv,nearmissunder3_decisiontree,4.0,76.0,1.0,0.0,0.04055555555555555,0.3,0.05305555555555556,0.9875,0.06993006993006994,0.0,0.3746428571428571
cross,fluent-logger-java.csv,nearmissunder3_decisiontree,0.0,0.0,2.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2
