,idProject,nameProject,productionClass,testCase,NRDB,isMysteryGuestManual,isMysteryGuestManual,prediction
0,23.0,alien4cloud,ResourcePermissionService,alien4cloud.authorization.resourcepermissionservicetest.when_permission_revoked_the_resource_is_saved,0.0,False,False,False
2,23.0,alien4cloud,RepositoryManager,alien4cloud.git.repositorymanagertest.deletecurrentbranch,0.0,True,True,False
3,23.0,alien4cloud,OrchestratorService,alien4cloud.orchestrator.orchestratorservicetest.testinitializeconfigurableorchstratorinvalidconfig,0.0,False,False,False
4,23.0,alien4cloud,FunctionEvaluator,alien4cloud.paas.function.functionevaluatortest.parsecomplexproperty,0.0,False,False,False
5,23.0,alien4cloud,PatchUtil,alien4cloud.rest.utils.patchutiltest.check_an_update_override_everything,0.0,False,False,False
11,23.0,alien4cloud,ToscaPropertyDefaultValueConstraintsValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvalueconstraintsvalidatortest.invalidintegerequalsshouldcreateviolations,0.0,False,False,False
14,23.0,alien4cloud,ToscaPropertyDefaultValueConstraintsValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvalueconstraintsvalidatortest.validintegergreaterorequalshouldnotcreateviolations,0.0,False,False,False
15,23.0,alien4cloud,ToscaPropertyDefaultValueConstraintsValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvalueconstraintsvalidatortest.validintegergreaterthanshouldnotcreateviolations,0.0,False,False,False
17,23.0,alien4cloud,ToscaPropertyDefaultValueTypeValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvaluetypevalidatortest.invalidbooleandefaultshouldcreateviolations,0.0,False,False,False
18,23.0,alien4cloud,ToscaPropertyDefaultValueTypeValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvaluetypevalidatortest.invalidversiondefaultshouldcreateviolations,0.0,False,False,False
19,23.0,alien4cloud,ToscaPropertyDefaultValueTypeValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvaluetypevalidatortest.validbooleandefaultshouldnotcreateviolations,0.0,False,False,False
