,idProject,nameProject,productionClass,testCase,PR,isTestRedundancy,isTestRedundancyManual,prediction
1,50.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testboolean,0.0,False,False,False
3,50.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testcompactformat,0.0,False,False,False
5,50.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testdoublevalues,0.0,False,False,False
7,50.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testentityreference,0.0,False,False,False
15,50.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testhumanreadablevalues,0.0,False,False,False
16,50.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testincludeswithfallback,0.0,False,False,False
17,50.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testinputstreamresource,0.0,False,False,False
18,50.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testintegerranges,0.0,False,False,False
19,50.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testintegervalues,0.0,False,False,False
20,50.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testoverlay,0.0,False,False,False
22,50.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testtimeduration,0.0,False,False,False
24,50.0,hadoop,ConfServlet,org.apache.hadoop.conf.testconfservlet.testgetproperty,0.0,False,False,False
26,50.0,hadoop,KeyAuthorizationKeyProvider,org.apache.hadoop.crypto.key.kms.server.testkeyauthorizationkeyprovider.testopswhenaclattributeexists,0.0,False,False,False
29,50.0,hadoop,KMS,org.apache.hadoop.crypto.key.kms.server.testkms.testkmsjmx,0.0,False,False,False
30,50.0,hadoop,KMS,org.apache.hadoop.crypto.key.kms.server.testkms.testkmstimeout,0.0,False,False,False
31,50.0,hadoop,KMS,org.apache.hadoop.crypto.key.kms.server.testkms.testkmswithzkdtsm,0.0,False,False,False
32,50.0,hadoop,KMS,org.apache.hadoop.crypto.key.kms.server.testkms.testspecialkeynames,0.0,False,False,False
36,50.0,hadoop,KMSACLs,org.apache.hadoop.crypto.key.kms.server.testkmsacls.testkeyaclconfigurationload,0.0,False,False,False
37,50.0,hadoop,KMSAudit,org.apache.hadoop.crypto.key.kms.server.testkmsaudit.testaggregationunauth,0.1382974026922226,False,False,False
40,50.0,hadoop,LoadBalancingKMSClientProvider,org.apache.hadoop.crypto.key.kms.testloadbalancingkmsclientprovider.testclientretrieswithtimeoutsexception,0.0,False,False,False
41,50.0,hadoop,LoadBalancingKMSClientProvider,org.apache.hadoop.crypto.key.kms.testloadbalancingkmsclientprovider.testwarmupencryptedkeyswhenoneprovidersucceeds,0.0,False,False,False
