,idProject,nameProject,productionClass,testCase,FRNC,isResourceOptimism,isResourceOptimismManual,prediction
0,13.0,hadoop,ConfigRedactor,org.apache.hadoop.conf.testconfigredactor.testredactnocoredefault,0.0,False,False,False
2,13.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testclear,0.0,False,False,False
4,13.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testconcurrentaccesses,1.0,True,True,False
6,13.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testdumpproperty,1.0,True,True,False
7,13.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testentityreference,1.0,True,True,False
8,13.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testenumfromxml,1.0,True,True,False
9,13.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testfinalwarningsmultiple,0.0,False,False,False
10,13.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testfinalwarningsmultipleoverride,0.0,False,False,False
11,13.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testgetclassbynameornull,0.0,False,True,False
12,13.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testgettingpropertieswithprefix,0.0,False,False,False
14,13.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testhexvalues,1.0,True,True,False
15,13.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testhumanreadablevalues,1.0,True,True,False
22,13.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testtimeduration,0.0,False,False,False
25,13.0,hadoop,ConfServlet,org.apache.hadoop.conf.testconfservlet.testwritexml,0.0,False,False,False
28,13.0,hadoop,KMS,org.apache.hadoop.crypto.key.kms.server.testkms.testdelegationtokensopshttppseudo,0.0,False,True,False
33,13.0,hadoop,KMS,org.apache.hadoop.crypto.key.kms.server.testkms.teststartstophttpkerberos,0.0,False,False,False
36,13.0,hadoop,KMSACLs,org.apache.hadoop.crypto.key.kms.server.testkmsacls.testkeyaclconfigurationload,0.0,False,False,False
37,13.0,hadoop,KMSAudit,org.apache.hadoop.crypto.key.kms.server.testkmsaudit.testaggregationunauth,0.0,False,False,False
38,13.0,hadoop,KMSAudit,org.apache.hadoop.crypto.key.kms.server.testkmsaudit.testinitauditloggers,0.0,False,False,False
46,13.0,hadoop,KeyProviderFactory,org.apache.hadoop.crypto.key.testkeyproviderfactory.testjksprovider,23.0,True,False,False
47,13.0,hadoop,KeyShell,org.apache.hadoop.crypto.key.testkeyshell.testkeysuccessfulkeylifecycle,0.0,False,False,False
49,13.0,hadoop,OsSecureRandom,org.apache.hadoop.crypto.random.testossecurerandom.testrandomint,0.0,False,False,False
50,13.0,hadoop,OsSecureRandom,org.apache.hadoop.crypto.random.testossecurerandom.testrefillreservoir,0.0,False,False,False
52,13.0,hadoop,OpensslCipher,org.apache.hadoop.crypto.testopensslcipher.testdofinalarguments,0.0,False,False,False
55,13.0,hadoop,TeraSort,org.apache.hadoop.examples.terasort.testterasort.testterasortwithlessthantwoargs,0.0,False,False,False
59,13.0,hadoop,AliyunOSSBlockOutputStream,org.apache.hadoop.fs.aliyun.oss.testaliyunossblockoutputstream.testzerobyteupload,1.0,True,False,False
60,13.0,hadoop,AliyunOSSFileSystemStore,org.apache.hadoop.fs.aliyun.oss.testaliyunossfilesystemstore.testlargeupload,0.0,False,True,False
61,13.0,hadoop,AliyunOSSInputStream,org.apache.hadoop.fs.aliyun.oss.testaliyunossinputstream.testossfilereadertask,15.0,True,True,False
