Project,ERNC,FRNC
dnsjava,0.0,0.0
struts,0.017176,0.110498
admiral,0.011533,0.0
openpojo,0.0,0.075751
tyrus,0.0,0.0
helios,0.0,0.0
riptide,0.0,0.0
esper,0.0,0.0
undertow,0.0,0.0
java-websocket,0.0,0.0
hadoop,0.004731,0.055737
recast4j,0.0,0.0
noxy,0.0,0.0
c2mon,0.0,0.0
http-request,0.0,0.006744
yawp,0.112492,0.0
jimfs,0.0,0.0
unix4j,0.0,0.0
retrofit,0.001303,0.0
alien4cloud,0.006862,0.198515
spring-cloud-zuul-ratelimit,0.0,0.0
search-highlighter,0.0,0.0
aismessages,0.0,0.0
hsac-fitnesse-fixtures,0.097974,  0.2242
luwak,0.0,0.0
fastjson,0.0,0.0
achilles,0.0,0.042326
nexus-repository-helm,0.0,0.0
querydsl,0.007741,0.072378
webcollector,0.0,0.0
dropwizard,0.001635,0.000563
timely,0.0,0.0
wro4j,0.021092,0.137661
oci-java-sdk,0.004048,0.212416
vertx-mqtt,0.0,0.0
sawmill,0.0,0.0
spring-boot,0.0,0.0
hbase,0.004515,0.022707
carbon-apimgt,0.042021,0.0
db-scheduler,0.0,0.0
activiti,0.0,0.0
wikidata-toolkit,0.0,0.018852
vertexium,0.0,0.0
fluent-logger-java,0.0,0.0
aletheia,0.0,0.0
wildfly-maven-plugin,0.0,0.0
rxjava2-extras,0.0,0.0
junit-quickcheck,0.0,0.0
spring-ws,0.0,0.0
orbit,0.0,0.0
joda-time,0.0,0.0
pippo,0.0,0.0
cukes,0.023921,0.0
hutool,0.000516, 0.00498
one,0.0,0.0
vertx-completable-future,0.0,0.0
jfreechart,0.0,0.0
elastic-job-lite,0.0,0.0
incubator-dubbo,0.006999,0.000821
marine-api,0.0,0.0
jhipster-registry,0.0,0.0
wildfly,0.0,0.0
total,0.00588,0.01910
