,idProject,nameProject,productionClass,testCase,NMC,probabilityEagerTest,isEagerTest,isEagerTestManual,prediction
0,1.0,helios,AddExtraHostContainerDecorator,com.spotify.helios.agent.addextrahostcontainerdecoratortest.invalidargument,0.0,0.4511392555309621,False,False,False
1,1.0,helios,AgentParser,com.spotify.helios.agent.agentparsertest.testvalidateargument,0.0,1.0,True,False,False
4,1.0,helios,AgentZooKeeperRegistrar,com.spotify.helios.agent.agentzookeeperregistrartest.alreadyregistered_samehostid,0.0,0.3878807082233872,False,False,False
5,1.0,helios,DockerHealthChecker,com.spotify.helios.agent.dockerhealthcheckertest.testtimeouts,0.0,0.3850525909801411,False,False,False
6,1.0,helios,FlapController,com.spotify.helios.agent.flapcontrollertest.testenterandexitflapping,0.0,0.06277933508199,False,False,False
8,1.0,helios,Supervisor,com.spotify.helios.agent.supervisortest.verifyexceptionsetstaskstatustofailed,0.0,0.6634158910796473,True,False,True
9,1.0,helios,Supervisor,com.spotify.helios.agent.supervisortest.verifysupervisorstopsdockercontainerwithconfiguredkilltime,3.0,0.6968714053816423,True,False,False
11,1.0,helios,TaskHistoryWriter,com.spotify.helios.agent.taskhistorywritertest.testsimpleworkage,1.0,0.4917860418879426,False,False,True
14,1.0,helios,TaskMonitor,com.spotify.helios.agent.taskmonitortest.verifymonitorpropagatesimagemissing,0.0,0.5287793092111842,False,False,False
15,1.0,helios,TaskMonitor,com.spotify.helios.agent.taskmonitortest.verifymonitorpropagatesimagepullfailed,0.0,0.5407638143114363,False,False,False
16,1.0,helios,TaskMonitor,com.spotify.helios.agent.taskmonitortest.verifymonitorusesflapcontroller,0.0,0.6091685647544586,True,False,False
17,1.0,helios,TaskRunner,com.spotify.helios.agent.taskrunnertest.testpulltimeoutvariation,2.0,0.5999681155417312,False,False,False
20,1.0,helios,DeploymentGroupInspectCommand,com.spotify.helios.cli.command.deploymentgroupinspectcommandtest.testdeploymentgroupinspectcommandjson,0.0,0.3507577224375212,False,False,False
23,1.0,helios,HostListCommand,com.spotify.helios.cli.command.hostlistcommandtest.testpatternfilter,1.0,0.5168296457964118,False,False,False
24,1.0,helios,HostListCommand,com.spotify.helios.cli.command.hostlistcommandtest.testselectorslurping,1.0,0.5932468962708795,False,False,False
25,1.0,helios,JobCreateCommand,com.spotify.helios.cli.command.jobcreatecommandtest.testaddmetadatafromjsonfile,4.0,0.5817070219470722,False,False,False
28,1.0,helios,JobInspectCommand,com.spotify.helios.cli.command.jobinspectcommandtest.test,0.0,0.5659942809862282,False,False,False
30,1.0,helios,PortMappingParser,com.spotify.helios.cli.command.portmappingparsertest.testparseportmappings,1.0,0.3903798479156648,False,False,False
32,1.0,helios,RollingUpdateCommand,com.spotify.helios.cli.command.rollingupdatecommandtest.testrollingupdateasync,0.0,0.4283208804099001,False,False,False
33,1.0,helios,RollingUpdateCommand,com.spotify.helios.cli.command.rollingupdatecommandtest.testrollingupdateasyncjson,1.0,0.4167193374309108,False,False,False
35,1.0,helios,RollingUpdateCommand,com.spotify.helios.cli.command.rollingupdatecommandtest.testrollingupdatefailsonrollouttimeout,3.0,0.2655675618894684,False,False,False
36,1.0,helios,RollingUpdateCommand,com.spotify.helios.cli.command.rollingupdatecommandtest.testrollingupdatemigratejson,4.0,0.3228106394569372,False,False,False
37,1.0,helios,AuthenticatingHttpConnector,com.spotify.helios.client.authenticatinghttpconnectortest.testaccesstoken_responseisok,3.0,0.49039130280559,False,False,True
38,1.0,helios,Endpoints,com.spotify.helios.client.endpointstest.testsupplierfactory,0.0,0.4867368736271716,False,False,True
40,1.0,helios,HeliosClient,com.spotify.helios.client.heliosclienttest.listhostsfilterbynamepattern,5.0,0.6919738600924319,True,False,False
41,1.0,helios,HeliosClient,com.spotify.helios.client.heliosclienttest.listjobswithjobfilter,5.0,0.6548824951140864,True,False,False
43,1.0,helios,HealthCheck,com.spotify.helios.common.descriptors.healthchecktest.testexechealthcheckbuilder,0.0,0.382021686194305,False,False,False
