Unnamed: 0,Type,Project,ModelBalance,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
22,within,achilles,borderlinesmote_randomsearch_randomforest,6.0,0.0,66.0,31.0,0.5,0.1666666666666666,0.6990909090909092,0.0581818181818181,0.2466666666666666,0.2458456299824681,0.7337878787878788
236,within,admiral,borderlinesmote_randomsearch_randomforest,41.0,89.0,202.0,94.0,0.2193089430894308,0.3071428571428571,0.5698228128460687,0.306921373200443,0.1679894179894179,0.0058544332393619,0.5717234894525025
450,within,alien4cloud,borderlinesmote_randomsearch_randomforest,4.0,0.0,77.0,0.0,0.4,0.4,1.0,0.0486111111111111,0.4,0.4,0.7
664,within,carbon-apimgt,borderlinesmote_randomsearch_randomforest,33.0,24.0,0.0,0.0,0.5799999999999998,1.0,0.5799999999999998,1.0,0.7316666666666667,0.0,0.7899999999999999
1092,within,dropwizard,borderlinesmote_randomsearch_randomforest,0.0,24.0,242.0,4.0,0.0,0.0,0.8962962962962961,0.0888888888888888,0.0,0.0,0.5085299736495388
1520,within,hadoop,borderlinesmote_randomsearch_randomforest,105.0,290.0,1827.0,150.0,0.2658856961625971,0.4118461538461538,0.8145037761940219,0.1665337020884302,0.3187968247000293,0.227745048134683,0.2390401662921007
1628,within,hbase,borderlinesmote_randomsearch_randomforest,4.0,16.0,676.0,30.0,0.1533333333333333,0.1166666666666666,0.9366248097412482,0.0276065449010654,0.1269047619047619,0.1022189385475082,0.1503573734805883
1954,within,hutool,borderlinesmote_randomsearch_randomforest,0.0,0.0,122.0,4.0,0.0,0.0,0.9692307692307692,0.0,0.0,0.0,0.5163461538461538
2061,within,incubator-dubbo,borderlinesmote_randomsearch_randomforest,6.0,22.0,297.0,46.0,0.1783333333333333,0.1166666666666666,0.8167852062588905,0.0753911806543385,0.138015873015873,0.0488789105329712,0.1698185441080178
3131,within,oci-java-sdk,borderlinesmote_randomsearch_randomforest,3.0,4.0,39.0,1.0,0.25,0.3,0.8949999999999999,0.145,0.2666666666666666,0.2612372435695794,0.625
3238,within,openpojo,borderlinesmote_randomsearch_randomforest,0.0,1.0,135.0,2.0,0.0,0.0,0.9785714285714286,0.0071428571428571,0.0,0.0,0.5071428571428571
3452,within,oryx,borderlinesmote_randomsearch_randomforest,6.0,3.0,61.0,31.0,0.3833333333333333,0.1583333333333333,0.6618181818181819,0.0881818181818181,0.2185714285714285,0.1554007924121993,0.6624242424242425
3773,within,querydsl,borderlinesmote_randomsearch_randomforest,8.0,1.0,575.0,1.0,0.75,0.8,0.9966101694915256,0.0153711279953243,0.7666666666666666,0.7700984529319177,0.8258474576271186
3880,within,retrofit,borderlinesmote_randomsearch_randomforest,0.0,0.0,96.0,2.0,0.0,0.0,0.98,0.0,0.0,0.0,0.51
4736,within,struts,borderlinesmote_randomsearch_randomforest,2.0,1.0,95.0,7.0,0.2,0.2,0.9254545454545454,0.029090909090909,0.2,0.19,0.5911111111111111
5485,within,wikidata-toolkit,borderlinesmote_randomsearch_randomforest,3.0,7.0,175.0,15.0,0.1333333333333333,0.15,0.8899999999999999,0.05,0.1399999999999999,0.0986205174624862,0.2960270467836257
5699,within,wro4j,borderlinesmote_randomsearch_randomforest,31.0,21.0,261.0,30.0,0.6438095238095237,0.5095238095238096,0.8511764705882353,0.1515126050420168,0.5345970695970695,0.471802222041281,0.64869310490298
5806,within,yawp,borderlinesmote_randomsearch_randomforest,0.0,10.0,36.0,4.0,0.0,0.0,0.72,0.2,0.0,0.0,0.5399999999999999
,within,total,borderlinesmote_randomsearch_randomforest,252.0,513.0,4982.0,452.0,0.32941176470588235,0.35795454545454547,0.8443297306017099,0.13657966313772338,0.3430905377808033,0.2552492491583915,0.5325471888671508
