Unnamed: 0,Type,Project,ModelBalance,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
74,within,achilles,randomover_randomsearch_randomforest,68.0,15.0,6.0,14.0,0.8236904761904762,0.8291666666666666,0.72,0.8054545454545454,0.8225326797385621,0.1125863093015823,0.8821843684864519
169,within,activiti,randomover_randomsearch_randomforest,8.0,5.0,8.0,4.0,0.4833333333333333,0.6,0.6,0.5166666666666666,0.5166666666666666,0.2,0.7416666666666666
276,within,admiral,randomover_randomsearch_randomforest,13.0,42.0,331.0,40.0,0.2291269841269841,0.2466666666666666,0.8075858250276855,0.1289590254706533,0.2349494949494949,0.1272143481159238,0.3286521332799035
365,within,alien4cloud,randomover_randomsearch_randomforest,0.0,3.0,72.0,6.0,0.0,0.0,0.8902777777777778,0.0361111111111111,0.0,-0.0125,0.4409722222222222
454,within,c2mon,randomover_randomsearch_randomforest,0.0,10.0,138.0,20.0,0.0,0.0,0.8213235294117647,0.0595588235294117,0.0,-0.0777754200424762,0.0956526643291349
543,within,carbon-apimgt,randomover_randomsearch_randomforest,2.0,6.0,42.0,7.0,0.15,0.2,0.7766666666666666,0.1333333333333333,0.1666666666666666,0.0716227766016837,0.4308333333333333
621,within,dnsjava,randomover_randomsearch_randomforest,32.0,21.0,44.0,22.0,0.6196428571428572,0.5866666666666667,0.6386363636363638,0.4454545454545454,0.5832683982683983,0.277072732261413,0.6749025974025974
728,within,dropwizard,randomover_randomsearch_randomforest,5.0,20.0,228.0,17.0,0.1416666666666666,0.25,0.8629629629629629,0.0925925925925925,0.1733333333333333,0.1210396374738259,0.1283210296039243
835,within,elastic-job-lite,randomover_randomsearch_randomforest,3.0,12.0,115.0,10.0,0.2,0.2,0.8428571428571427,0.1071428571428571,0.2,0.1276576746321559,0.2975694444444444
930,within,esper,randomover_randomsearch_randomforest,37.0,33.0,46.0,32.0,0.5304761904761904,0.5357142857142858,0.5595238095238095,0.4733333333333333,0.5292307692307693,0.118516255245567,0.5655326452647882
1037,within,fastjson,randomover_randomsearch_randomforest,133.0,122.0,153.0,56.0,0.5244061735366083,0.7032163742690057,0.6162349676225717,0.5499537465309897,0.5979879294310376,0.258817673452927,0.581289465907034
