Group,Min,Q1,Q2 (Mediana),Q3,Max
adaboost,-0.0208786153520453,0.0,0.0,0.21792281499123406,0.6700984529319177
adasyn_adaboost,-0.0208786153520453,0.0333333333333333,0.0841484434159858,0.2179156810341244,0.7700984529319177
adasyn_decisiontree,-0.0208786153520453,0.0333333333333333,0.0853519441952788,0.143088317284388,0.7700984529319177
adasyn_multilayerperceptron,-0.0107211253483779,0.0333333333333333,0.1008254999875283,0.233865582346369,0.7700984529319177
adasyn_naivebayes,-0.1223609585529075,-0.0612372435695794,0.0300088325162475,0.0379103490237555,0.5700984529319177
adasyn_randomforest,-0.0208786153520453,0.0333333333333333,0.1062677085915049,0.2471431291803171,0.7700984529319177
adasyn_randomsearch_adaboost,-0.0107211253483779,0.0333333333333333,0.0686835291248781,0.175,0.7700984529319177
adasyn_randomsearch_decisiontree,-0.0208786153520453,0.0333333333333333,0.0864018702588103,0.1505072593726734,0.7700984529319177
adasyn_randomsearch_multilayerperceptron,-0.0596125452182101,0.0,0.0300088325162475,0.2468511661942651,0.7700984529319177
adasyn_randomsearch_naivebayes,-0.0032119881998738,0.0,0.0076923076923076,0.0460315833977037,0.488921916727384
adasyn_randomsearch_randomforest,-0.0126576784275301,0.0300088325162475,0.0899363190856975,0.1491491956317668,0.6700984529319177
adasyn_randomsearch_svm,-0.0904448375702687,-0.0057067678929935,0.0333333333333333,0.175,0.7700984529319177
adasyn_svm,-0.0904448375702687,-0.0057067678929935,0.0333333333333333,0.175,0.7700984529319177
borderlinesmote_adaboost,-0.0593091545578812,0.0,0.11220057637462005,0.2519126759858156,0.7700984529319177
borderlinesmote_decisiontree,-0.0460878407856404,0.0,0.0818675598459768,0.2381980624935699,0.7700984529319177
borderlinesmote_multilayerperceptron,-0.0074163537947033,0.0,0.06351840922964674,0.2552187940989763,0.7700984529319177
borderlinesmote_naivebayes,-0.0786789660041593,0.0,0.03197916666666665,0.1519426550480688,0.6700984529319177
borderlinesmote_randomforest,-0.0359834164927057,0.0,0.0936778185772199,0.24681875438085485,0.7700984529319177
