,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc
0,0.0,7.0,3.0,1.0,0.0,0.0,0.2727272727272727,0.6363636363636364,0.0,-0.4183300132670378
1,0.0,3.0,7.0,1.0,0.0,0.0,0.6363636363636364,0.2727272727272727,0.0,-0.19364916731037085
2,1.0,6.0,4.0,0.0,0.14285714285714285,1.0,0.45454545454545453,0.6363636363636364,0.25,0.23904572186687872
3,1.0,7.0,3.0,0.0,0.125,1.0,0.36363636363636365,0.7272727272727273,0.2222222222222222,0.19364916731037085
4,1.0,5.0,5.0,0.0,0.16666666666666666,1.0,0.5454545454545454,0.5454545454545454,0.2857142857142857,0.28867513459481287
5,0.0,8.0,2.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0
6,1.0,6.0,3.0,0.0,0.14285714285714285,1.0,0.4,0.7,0.25,0.21821789023599236
7,1.0,3.0,6.0,0.0,0.25,1.0,0.7,0.4,0.4,0.408248290463863
8,0.0,4.0,5.0,1.0,0.0,0.0,0.5,0.4,0.0,-0.2721655269759087
9,0.0,4.0,5.0,1.0,0.0,0.0,0.5,0.4,0.0,-0.2721655269759087
10,5.0,53.0,43.0,4.0,0.08273809523809524,0.5,0.4572727272727272,0.14079365079365078,0.01915259699426919,
