,idProject,nameProject,productionClass,testCase,NMC,SimilaritiesCoefficient,isEagerTest,isEagerTestManual,prediction
2,44.0,activiti,ServiceTaskParseHandler,org.activiti.engine.impl.bpmn.parser.handler.servicetaskparsehandlertest.executeparseshouldusedefaultbehaviorwhennoinformationisprovided,0.0,0.3914051716902709,True,False,False
5,44.0,activiti,MapBusinessCalendarManager,org.activiti.engine.test.impl.calendar.mapbusinesscalendarmanagertest.testnullcalendars,0.0,0.5963960057990416,False,False,True
7,44.0,activiti,Task,org.activiti.examples.bpmn.subprocess.subprocesstest.testsimplesubprocess,0.0,0.0,True,True,False
9,44.0,activiti,APITaskConverter,org.activiti.runtime.api.model.impl.apitaskconvertertest.calculatestatuscreatedandnotassignedtaskshouldreturncreated,0.0,0.4767143830621226,False,False,False
10,44.0,activiti,ProcessDefinitionResourceFinderIT,org.activiti.spring.boot.processdefinitionresourcefinderit.shouldreturnalltheprocessdefinitionfilesonspecifiedfolder,0.0,0.4388833512294651,False,False,False
12,44.0,activiti,SecurityPoliciesProcessDefinitionRestrictionApplier,org.activiti.spring.security.policies.securitypoliciesprocessdefinitionrestrictionappliertest.denyallshouldaddunmatchablefilter,0.0,0.6127016614040777,False,False,True
16,44.0,activiti,ResourceParentFolderAutoDeploymentStrategy,org.activiti.spring.test.autodeployment.resourceparentfolderautodeploymentstrategytest.testhandlesmode,0.0,0.2573693829523297,True,False,False
17,44.0,activiti,SingleResourceAutoDeploymentStrategy,org.activiti.spring.test.autodeployment.singleresourceautodeploymentstrategytest.testdeployresources,0.0,0.4431094817101162,False,False,False
18,44.0,activiti,DurationHelper,org.activiti.standalone.calendar.durationhelpertest.daylightsaving23hourday,2.0,0.7179885741198776,False,True,False
19,44.0,activiti,DurationHelper,org.activiti.standalone.calendar.durationhelpertest.daylightsaving25hourdayeurope,2.0,0.7011986432347633,False,True,False
20,44.0,activiti,DurationHelper,org.activiti.standalone.calendar.durationhelpertest.daylightsavingfall,2.0,0.6948425983935141,False,True,False
21,44.0,activiti,DurationHelper,org.activiti.standalone.calendar.durationhelpertest.daylightsavingfallfirsthour,2.0,0.7093912646774753,False,True,False
22,44.0,activiti,DurationHelper,org.activiti.standalone.calendar.durationhelpertest.daylightsavingfallobservedsecondhour,3.0,0.6861869814120236,False,True,True
0,44.0,activiti,Task,org.activiti.editor.language.subprocesstest.doubleconversionvalidation,1.0,0.3505178206274787,True,False,False
1,44.0,activiti,CommaSplitter,org.activiti.editor.language.xml.commasplittertest.testomanycomainexpression,0.0,0.7933473315693736,False,False,True
3,44.0,activiti,MapBusinessCalendarManager,org.activiti.engine.test.impl.calendar.mapbusinesscalendarmanagertest.testinvalidcalendarnamerequest,0.0,0.7009666272600233,False,False,True
4,44.0,activiti,MapBusinessCalendarManager,org.activiti.engine.test.impl.calendar.mapbusinesscalendarmanagertest.testmapconstructor,0.0,0.688664990125547,False,True,True
6,44.0,activiti,AsyncExecutor,org.activiti.engine.test.jobexecutor.asyncexecutortest.testregularasyncexecution,9.0,0.6628748116606581,False,True,True
8,44.0,activiti,DefaultServiceTaskBehavior,org.activiti.runtime.api.connector.defaultservicetaskbehaviortest.hasconnectorbeanshouldreturnfalseifabeanofdifferenttypeisfound,1.0,0.6041101655490175,False,True,False
11,44.0,activiti,ProcessDefinitionResourceFinderIT,org.activiti.spring.boot.processdefinitionresourcefinderit.shouldreturnemptylistwhenprocessdefinitionsfolderisnotfound,0.0,0.6722790577045754,False,False,True
13,44.0,activiti,SecurityPoliciesServiceIT,org.activiti.spring.security.policies.securitypoliciesserviceit.shouldgetkeysforread,0.0,0.7956655108048151,False,True,True
14,44.0,activiti,DefaultAutoDeploymentStrategy,org.activiti.spring.test.autodeployment.defaultautodeploymentstrategytest.testdeployresources,0.0,0.4959740878910005,False,False,False
15,44.0,activiti,DefaultAutoDeploymentStrategy,org.activiti.spring.test.autodeployment.defaultautodeploymentstrategytest.testdetermineresourcenamewithexceptionfailsgracefully,0.0,0.4084417515364906,False,False,False
23,44.0,activiti,DurationHelper,org.activiti.standalone.calendar.durationhelpertest.shouldnotexceednumber,0.0,0.5169995084701813,False,True,False
24,44.0,activiti,ServiceTaskValidator,org.activiti.validation.validator.impl.servicetaskvalidatortest.executevalidationshouldnotriseerrorsforservicetaskssettingonlytheimplementation,0.0,0.8206421290295993,False,True,True
