Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language
39,Male,Black,South Africa,South Africa,South Africa,English
39,Male,Black,South Africa,South Africa,South Africa,English
34,Male,Black,South Africa,South Africa,South Africa,English
33,Male,White,Germany,Greece,Greece,Greek
33,Male,White,Germany,Greece,Greece,Greek
33,Male,White,Germany,Greece,Greece,Greek
33,Male,White,Germany,Greece,Greece,Greek
33,Male,White,Germany,Greece,Greece,Greek
33,Male,White,Germany,Greece,Greece,Greek
33,Male,White,Germany,Greece,Greece,Greek
33,Male,White,Portugal,Portugal,Portugal,Portuguese
26,Female,White,Netherlands,Netherlands,Netherlands,Dutch
30,Male,Mixed,Mexico,Mexico,Mexico,Spanish
22,Male,White,Portugal,Portugal,Portugal,Portuguese
23,Male,White,Portugal,Portugal,Portugal,Portuguese
23,Male,White,Portugal,Portugal,Portugal,Portuguese
24,Male,Mixed,Portugal,Portugal,Portugal,Chinese
24,Male,Mixed,Portugal,Portugal,Portugal,Chinese
23,Male,White,Syrian Arab Republic,Poland,Syrian Arab Republic,Arabic
22,Female,White,United States,Portugal,United States,English
22,Female,White,United States,Portugal,United States,English
23,Male,White,Portugal,Portugal,Portugal,Portuguese
23,Male,White,Portugal,Portugal,Portugal,Portuguese
23,Male,White,Portugal,Portugal,Portugal,Portuguese
23,Male,White,Portugal,Portugal,Portugal,Portuguese
23,Male,White,Portugal,Portugal,Portugal,Portuguese
23,Male,White,Portugal,Portugal,Portugal,Portuguese
23,Male,White,Portugal,Portugal,Portugal,Portuguese
23,Male,White,Portugal,Portugal,Portugal,Portuguese
23,Male,White,Portugal,Portugal,Portugal,Portuguese
28,Male,Other,South Africa,South Africa,South Africa,English
27,Male,White,Portugal,Portugal,Portugal,Portuguese
27,Male,White,Portugal,Portugal,Portugal,Portuguese
27,Male,White,Portugal,Portugal,Portugal,Portuguese
27,Male,White,Portugal,Portugal,Portugal,Portuguese
27,Male,White,Portugal,Portugal,Portugal,Portuguese
27,Male,White,Portugal,Portugal,Portugal,Portuguese
27,Male,White,Portugal,Portugal,Portugal,Portuguese
47,Female,Mixed,Mexico,Mexico,Mexico,Spanish
46,Male,White,Italy,Italy,Italy,Italian
22,Male,White,Portugal,Portugal,Portugal,Portuguese
22,Male,White,Portugal,Portugal,Portugal,Portuguese
22,Male,White,Portugal,Portugal,Portugal,Portuguese
22,Male,White,Portugal,Portugal,Portugal,Portuguese
22,Male,White,Portugal,Portugal,Portugal,Portuguese
22,Male,White,Portugal,Portugal,Portugal,Portuguese
22,Male,White,Portugal,Portugal,Portugal,Portuguese
22,Male,White,Portugal,Portugal,Portugal,Portuguese
22,Male,White,Portugal,Portugal,Portugal,Portuguese
22,Male,White,Portugal,Portugal,Portugal,Portuguese
22,Male,White,Portugal,Portugal,Portugal,Portuguese
31,Male,White,Portugal,Portugal,Portugal,Portuguese
