,idProject,nameProject,productionClass,testCase,isEagerTest,isEagerTestManual,prediction
0,7.0,pippo,ControllerRegistry,ro.pippo.controller.controllerregistrytest.testwithoutpath,False,False,False
1,7.0,pippo,ControllerRegistry,ro.pippo.controller.controllerregistrytest.testwithpathwithmultivalue,False,False,False
11,7.0,pippo,ParameterValue,ro.pippo.core.parametervaluetest.testintegerhashset,True,False,False
17,7.0,pippo,PathRegexBuilder,ro.pippo.core.pathregexbuildertest.testmultiincludeantwithsameregex,False,False,False
41,7.0,pippo,CsvEngine,ro.pippo.csv.csvenginetest.testfromarray,False,False,False
43,7.0,pippo,PippoSessionStore,ro.pippo.pac4j.pipposessionstoretest.shouldaskroutecontexttorecreatesessiononrenewsession,False,False,False
14,7.0,pippo,ParameterValue,ro.pippo.core.parametervaluetest.testsqltimestamp,True,False,False
16,7.0,pippo,PathRegexBuilder,ro.pippo.core.pathregexbuildertest.testincludeant,False,False,False
26,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testintidroute2,False,False,False
34,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testposixalnum,False,False,False
49,7.0,pippo,PippoWebContext,ro.pippo.pac4j.pippowebcontexttest.shouldreturnnullvalueifnorequestparameterwithspecifiednamewasfound,False,False,False
54,7.0,pippo,HazelcastSessionDataStorage,ro.pippo.session.hazelcast.hazelcastsessiondatastoragetest.testgetexpired,False,False,False
3,7.0,pippo,AbstractTemplateEngine,ro.pippo.core.abstracttemplateenginetest.shouldgetlanguageordefaultforspecifiedroutecontextfromapplicationlanguages,False,False,False
9,7.0,pippo,ParameterValue,ro.pippo.core.parametervaluetest.testencodedarraylist,True,False,False
15,7.0,pippo,ParameterValue,ro.pippo.core.parametervaluetest.teststring,False,False,False
25,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testfindroutes,False,False,False
29,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testoptionalsuffixgroup,False,False,False
56,7.0,pippo,JDBCSessionDataStorage,ro.pippo.session.jdbc.jdbcsessiondatastoragetest.testdelete,False,False,False
20,7.0,pippo,Request,ro.pippo.core.requesttest.createentitytest,False,False,False
42,7.0,pippo,JacksonBaseEngine,ro.pippo.jackson.jacksonbaseenginetest.testengine,False,False,False
47,7.0,pippo,PippoWebContext,ro.pippo.pac4j.pippowebcontexttest.shouldaddspecifiedcookietounderlyingresponse,True,False,False
50,7.0,pippo,PippoWebContext,ro.pippo.pac4j.pippowebcontexttest.shouldreturnpipposessionstorewhenaccessed,True,False,False
51,7.0,pippo,PippoWebContext,ro.pippo.pac4j.pippowebcontexttest.shouldthrowunsupportedoperationexceptionifsettingsessionstoreisattempted,True,False,False
53,7.0,pippo,HazelcastSessionDataStorage,ro.pippo.session.hazelcast.hazelcastsessiondatastoragetest.testcreate,False,False,False
7,7.0,pippo,ParameterValue,ro.pippo.core.parametervaluetest.testdoubledefaultlocale,True,False,False
27,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testnestgroup,False,False,False
28,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testnulluripatternroute,False,False,False
30,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testparametersdontcrossslashes,False,False,False
39,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testunspecifiedmethodrequestroute,False,False,False
57,7.0,pippo,JedisSessionDataStorage,ro.pippo.session.jedis.jedissessiondatastoragetest.testcreate,False,False,False
2,7.0,pippo,ControllerRegistry,ro.pippo.controller.controllerregistrytest.testwithpathwithsinglevalue,False,False,False
13,7.0,pippo,ParameterValue,ro.pippo.core.parametervaluetest.testintegertreeset,True,False,False
21,7.0,pippo,Response,ro.pippo.core.responsetest.testresetresponse,True,False,False
31,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testpathparamsroute,False,False,False
35,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testposixdigit,False,False,False
46,7.0,pippo,PippoSessionStore,ro.pippo.pac4j.pipposessionstoretest.shouldreturnnullvaluefromsessionifnoentrywithspecifiedkeyexists,False,False,False
12,7.0,pippo,ParameterValue,ro.pippo.core.parametervaluetest.testintegers,False,False,False
33,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testpointsinregexdontcrashregexinthemiddleoftheroute,False,False,False
37,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testremoveroute,False,False,False
38,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testunderlineinpathparameter,False,False,False
45,7.0,pippo,PippoSessionStore,ro.pippo.pac4j.pipposessionstoretest.shouldremoveexistingentrywithspecifiedkeywhenspecifiedvalueisnull,False,False,False
59,7.0,pippo,MongoDBSessionDataStorage,ro.pippo.session.mongodb.mongodbsessiondatastoragetest.testsave,False,False,False
4,7.0,pippo,DefaultErrorHandler,ro.pippo.core.defaulterrorhandlertest.testpipporuntimeexceptionhandlercalledifpresent,False,False,False
8,7.0,pippo,ParameterValue,ro.pippo.core.parametervaluetest.testencodedarray,True,False,False
23,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testemptyuripatternroute,False,False,False
40,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testuriforwithmultipleregex,False,False,False
44,7.0,pippo,PippoSessionStore,ro.pippo.pac4j.pipposessionstoretest.shouldbuildfromprovidedtrackablesession,True,False,False
