,idProject,nameProject,productionClass,testCase,isTestRedundancy,isTestRedundancyManual,prediction
61,22.0,alien4cloud,ToscaPropertyConstraintValidator,org.alien4cloud.tosca.model.definitions.constraints.toscapropertyconstraintvalidatortest.validfloatinrangeconstraintshouldnotcreateviolations,False,False,False
79,22.0,alien4cloud,VariableResolver,org.alien4cloud.tosca.variable.variableresolvertest.resolve_complex_with_dot_field,False,False,False
2,22.0,alien4cloud,RepositoryManager,alien4cloud.git.repositorymanagertest.deletecurrentbranch,False,False,False
4,22.0,alien4cloud,FunctionEvaluator,alien4cloud.paas.function.functionevaluatortest.parsecomplexproperty,False,False,False
35,22.0,alien4cloud,ConstraintPropertyService,alien4cloud.utils.services.constraintpropertyservicetest.testvalidversionproperty,False,False,False
42,22.0,alien4cloud,VersionUtil,alien4cloud.utils.versionutiltest.testparseversionsuccess,False,False,False
57,22.0,alien4cloud,ToscaPropertyConstraintValidator,org.alien4cloud.tosca.model.definitions.constraints.toscapropertyconstraintvalidatortest.invalidintegerlessthanconstraintshouldcreateviolations,False,False,False
71,22.0,alien4cloud,SpelExpressionProcessor,org.alien4cloud.tosca.variable.spelexpressionprocessortest.parse,False,False,False
73,22.0,alien4cloud,VariableResolver,org.alien4cloud.tosca.variable.variableresolvertest.check_app_variable_can_be_overridden_in_env,False,False,False
76,22.0,alien4cloud,VariableResolver,org.alien4cloud.tosca.variable.variableresolvertest.resolve_app_var_complex,False,False,False
0,22.0,alien4cloud,ResourcePermissionService,alien4cloud.authorization.resourcepermissionservicetest.when_permission_revoked_the_resource_is_saved,False,False,False
3,22.0,alien4cloud,OrchestratorService,alien4cloud.orchestrator.orchestratorservicetest.testinitializeconfigurableorchstratorinvalidconfig,False,False,False
5,22.0,alien4cloud,PatchUtil,alien4cloud.rest.utils.patchutiltest.check_an_update_override_everything,False,False,False
37,22.0,alien4cloud,ComparableVersion,alien4cloud.utils.version.comparableversiontest.testreuse,False,False,False
53,22.0,alien4cloud,ToscaPropertyConstraintValidator,org.alien4cloud.tosca.model.definitions.constraints.toscapropertyconstraintvalidatortest.invalidintegergreaterorequalconstraintshouldcreateviolations,False,False,False
55,22.0,alien4cloud,ToscaPropertyConstraintValidator,org.alien4cloud.tosca.model.definitions.constraints.toscapropertyconstraintvalidatortest.invalidintegerinrangeconstraintshouldcreateviolations,False,False,False
62,22.0,alien4cloud,ToscaPropertyConstraintValidator,org.alien4cloud.tosca.model.definitions.constraints.toscapropertyconstraintvalidatortest.validintegerinrangeconstraintshouldnotcreateviolations,False,False,False
68,22.0,alien4cloud,AlienContextVariables,org.alien4cloud.tosca.variable.aliencontextvariablestest.check_app_meta_can_be_resolved,False,False,False
11,22.0,alien4cloud,ToscaPropertyDefaultValueConstraintsValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvalueconstraintsvalidatortest.invalidintegerequalsshouldcreateviolations,False,False,False
13,22.0,alien4cloud,ToscaPropertyDefaultValueConstraintsValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvalueconstraintsvalidatortest.validfloatgreaterorequalshouldnotcreateviolations,False,False,False
19,22.0,alien4cloud,ToscaPropertyDefaultValueTypeValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvaluetypevalidatortest.validbooleandefaultshouldnotcreateviolations,False,False,False
24,22.0,alien4cloud,ToscaSerializerUtils,alien4cloud.tosca.serializer.toscaserializerutilstest.testrenderdescription,False,False,False
29,22.0,alien4cloud,ConstraintPropertyService,alien4cloud.utils.services.constraintpropertyservicetest.testinvalidconstraintproperty,False,False,False
43,22.0,alien4cloud,DeploymentConfigurationDao,org.alien4cloud.alm.deployment.configuration.services.deploymentconfigurationdaotest.migrate_data_previously_store_in_elastic_search,False,False,False
47,22.0,alien4cloud,EqualConstraint,org.alien4cloud.tosca.model.definitions.constraints.equalconstrainttest.testequalconstraintsatisfiedfloat,False,False,False
67,22.0,alien4cloud,NodeTemplateUtils,org.alien4cloud.tosca.utils.nodetemplateutilstest.getmissingcapabilitybytypetest,False,False,False
15,22.0,alien4cloud,ToscaPropertyDefaultValueConstraintsValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvalueconstraintsvalidatortest.validintegergreaterthanshouldnotcreateviolations,False,False,False
23,22.0,alien4cloud,ToscaSerializerUtils,alien4cloud.tosca.serializer.toscaserializerutilstest.testmapisnotemptyandcontainsnotnullvalues,False,False,False
26,22.0,alien4cloud,JSonMapEntryArraySerializer,alien4cloud.utils.jsonmapentryarrayserializertest.serializationwithmapcontextshouldserializetoarray,False,False,False
38,22.0,alien4cloud,ComparableVersion,alien4cloud.utils.version.comparableversiontest.testversionsequal,False,False,False
50,22.0,alien4cloud,ToscaPropertyConstraintValidator,org.alien4cloud.tosca.model.definitions.constraints.toscapropertyconstraintvalidatortest.invalidfloatgreaterthanconstraintshouldcreateviolations,False,False,False
54,22.0,alien4cloud,ToscaPropertyConstraintValidator,org.alien4cloud.tosca.model.definitions.constraints.toscapropertyconstraintvalidatortest.invalidintegergreaterthanconstraintshouldcreateviolations,False,False,False
56,22.0,alien4cloud,ToscaPropertyConstraintValidator,org.alien4cloud.tosca.model.definitions.constraints.toscapropertyconstraintvalidatortest.invalidintegerlengthconstraintshouldcreateviolations,False,False,False
58,22.0,alien4cloud,ToscaPropertyConstraintValidator,org.alien4cloud.tosca.model.definitions.constraints.toscapropertyconstraintvalidatortest.invalidintegervalidvaluesconstraintshouldcreateviolations,False,False,False
10,22.0,alien4cloud,ToscaPropertyDefaultValueConstraintsValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvalueconstraintsvalidatortest.invalidfloatgreaterthanshouldcreateviolations,False,False,False
18,22.0,alien4cloud,ToscaPropertyDefaultValueTypeValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvaluetypevalidatortest.invalidversiondefaultshouldcreateviolations,False,False,False
27,22.0,alien4cloud,NameValidationUtils,alien4cloud.utils.namevalidationutilstest.validateapplicationidtest,False,False,False
30,22.0,alien4cloud,ConstraintPropertyService,alien4cloud.utils.services.constraintpropertyservicetest.testinvalidlistproperty,False,False,False
33,22.0,alien4cloud,ConstraintPropertyService,alien4cloud.utils.services.constraintpropertyservicetest.testvalidintegerproperty,False,False,False
34,22.0,alien4cloud,ConstraintPropertyService,alien4cloud.utils.services.constraintpropertyservicetest.testvalidstringconstraintproperty,False,False,False
70,22.0,alien4cloud,InputsMappingFileVariableResolver,org.alien4cloud.tosca.variable.inputsmappingfilevariableresolvertest.should_comply_with_property_definition_even_if_does_not_match_reality,False,False,False
80,22.0,alien4cloud,VariableResolver,org.alien4cloud.tosca.variable.variableresolvertest.resolve_complex_with_list_var_in_body,False,False,False
17,22.0,alien4cloud,ToscaPropertyDefaultValueTypeValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvaluetypevalidatortest.invalidbooleandefaultshouldcreateviolations,False,False,False
21,22.0,alien4cloud,ToscaPropertyDefaultValueTypeValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvaluetypevalidatortest.validversiondefaultshouldnotcreateviolations,False,False,False
25,22.0,alien4cloud,JSonMapEntryArraySerializer,alien4cloud.utils.jsonmapentryarrayserializertest.deserializationwithdefaultcontext,False,False,False
49,22.0,alien4cloud,ToscaPropertyConstraintValidator,org.alien4cloud.tosca.model.definitions.constraints.toscapropertyconstraintvalidatortest.invalidfloatgreaterorequalconstraintshouldcreateviolations,False,False,False
60,22.0,alien4cloud,ToscaPropertyConstraintValidator,org.alien4cloud.tosca.model.definitions.constraints.toscapropertyconstraintvalidatortest.invalidstringlessthanconstraintshouldcreateviolations,False,False,False
64,22.0,alien4cloud,FunctionEvaluator,org.alien4cloud.tosca.utils.functionevaluatortest.nodegetcomplexpropmap,False,False,False
65,22.0,alien4cloud,FunctionEvaluator,org.alien4cloud.tosca.utils.functionevaluatortest.nodegetconcatprop,False,False,False
77,22.0,alien4cloud,VariableResolver,org.alien4cloud.tosca.variable.variableresolvertest.resolve_app_var_complex_with_var_in_leaf,False,False,False
7,22.0,alien4cloud,UserService,alien4cloud.security.userservicetest.testensureadminusershouldnotcreateuser,False,False,False
12,22.0,alien4cloud,ToscaPropertyDefaultValueConstraintsValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvalueconstraintsvalidatortest.validfloatequalsshouldnotcreateviolations,False,False,False
14,22.0,alien4cloud,ToscaPropertyDefaultValueConstraintsValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvalueconstraintsvalidatortest.validintegergreaterorequalshouldnotcreateviolations,False,False,False
36,22.0,alien4cloud,ComparableVersion,alien4cloud.utils.version.comparableversiontest.testlocaleindependent,False,False,False
45,22.0,alien4cloud,ToscaTypeIndexerService,org.alien4cloud.tosca.catalog.index.toscatypeindexerservicetest.test,False,False,False
48,22.0,alien4cloud,EqualConstraint,org.alien4cloud.tosca.model.definitions.constraints.equalconstrainttest.testequalconstraintsatisfiedtime,False,False,False
66,22.0,alien4cloud,NodeTemplateUtils,org.alien4cloud.tosca.utils.nodetemplateutilstest.getcapabilitybytypetest,False,False,False
78,22.0,alien4cloud,VariableResolver,org.alien4cloud.tosca.variable.variableresolvertest.resolve_app_var_int,False,False,False
16,22.0,alien4cloud,ToscaPropertyDefaultValueConstraintsValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvalueconstraintsvalidatortest.validstringequalsshouldnotcreateviolations,False,False,False
31,22.0,alien4cloud,ConstraintPropertyService,alien4cloud.utils.services.constraintpropertyservicetest.testinvalidversionproperty,False,False,False
40,22.0,alien4cloud,Version,alien4cloud.utils.version.versiontest.testversioncomparing,False,False,False
51,22.0,alien4cloud,ToscaPropertyConstraintValidator,org.alien4cloud.tosca.model.definitions.constraints.toscapropertyconstraintvalidatortest.invalidfloatvalidvaluesconstraintshouldcreateviolations,False,False,False
59,22.0,alien4cloud,ToscaPropertyConstraintValidator,org.alien4cloud.tosca.model.definitions.constraints.toscapropertyconstraintvalidatortest.invalidstringgreaterthanconstraintshouldcreateviolations,False,False,False
63,22.0,alien4cloud,ToscaPropertyConstraintValidator,org.alien4cloud.tosca.model.definitions.constraints.toscapropertyconstraintvalidatortest.validintegerlessthanconstraintshouldnotcreateviolations,False,False,False
74,22.0,alien4cloud,VariableResolver,org.alien4cloud.tosca.variable.variableresolvertest.check_variable_from_env_type_can_be_resolved,False,False,False
75,22.0,alien4cloud,VariableResolver,org.alien4cloud.tosca.variable.variableresolvertest.predefined_var_cannot_be_redefined,False,False,False
