Project,NMC,SimilaritiesCoefficient,probabilityEagerTest
spring-ws,0.010455,0.667323,0.667323
incubator-dubbo,0.00865,0.248148,0.248148
search-highlighter,0.049167,0.688605,0.688605
carbon-apimgt,0.042487,0.434431,0.434431
helios,0.016259,0.461345,0.461345
sawmill,0.079472,0.522657,0.522657
dnsjava,0.031961,0.689606,0.689606
hutool,0.003735,0.653636,0.653636
wildfly,0.0,0.0,0.0
fastjson,0.003329,0.473709,0.473709
elastic-job-lite,0.003232,0.314492,0.314492
struts,0.005948,0.175975,0.175975
vertexium,0.045652,0.55108,0.55108
riptide,0.00368,0.377238,0.377238
java-websocket,0.239293,0.382388,0.382388
esper,0.014895,0.672044,0.672044
jfreechart,0.00301,0.667915,0.667915
oci-java-sdk,0.139514,0.651757,0.651757
achilles,0.053846,0.509312,0.509312
timely,0.039361,0.652566,0.652566
yawp,0.0,0.0,0.0
junit-quickcheck,0.009781,0.59827,0.59827
tyrus,0.0,0.0,0.0
openpojo,0.006515,0.168968,0.168968
wro4j,0.006425,0.021846,0.021846
retrofit,0.020273,0.692889,0.692889
aismessages,0.0,0.0,0.0
vertx-completable-future,0.0,0.0,0.0
jimfs,0.030357,0.08365,0.08365
hadoop,0.016441,0.574842,0.575022
http-request,0.0,0.0,0.0
marine-api,0.00837,0.115774,0.115774
joda-time,0.022258,0.118194,0.118194
querydsl,0.000843,0.216345,0.217326
hbase,0.033561,0.619451,0.619451
oryx,0.003033,0.291215,0.291215
unix4j,0.056411,0.358761,0.358761
cukes,0.0,0.0,0.0
wikidata-toolkit,0.014055,0.325083,0.325083
admiral,0.008956,0.373785,0.373785
dropwizard,0.002101,0.26469,0.26469
c2mon,0.020346,0.365339,0.365339
pippo,0.003,0.092216,0.092216
activiti,0.249417,0.693147,0.693147
rxjava2-extras,0.035096,0.440488,0.440488
luwak,0.0,0.0,0.0
alien4cloud,0.020021,0.2522,0.2522
jhipster-registry,0.053282,0.562335,0.562335
spring-boot,0.113554,0.529706,0.529706
total,0.03726931707317073,0.4281322195121951,0.42816053658536585
