Project,ERNC,FRNC
spring-ws,0.017452,5.4e-05
incubator-dubbo,0.008414,0.000447
search-highlighter,0.0,0.0
carbon-apimgt,0.032493,0.010541
helios,0.0,0.0
spring-cloud-zuul-ratelimit,0.0,0.0
orbit,0.0,0.0
dnsjava,0.0,0.0
hutool,0.000644,0.00441
wildfly,0.0,0.0
fastjson,0.0,0.0
elastic-job-lite,0.0,0.0
struts,0.020198,0.05583
vertexium,0.0,0.0
riptide,0.0,0.0
java-websocket,0.0,0.0
esper,0.0,0.0
oci-java-sdk,0.003619,0.211853
achilles,0.0,0.046367
timely,0.0,0.0
yawp,0.056581,0.056581
junit-quickcheck,0.0,0.0
tyrus,0.0,0.0
openpojo,0.0,0.071385
wro4j,0.009932,0.152756
retrofit,0.000798,0.0
aismessages,0.0,0.0
vertx-completable-future,0.0,0.0
jimfs,0.0,0.0
hadoop,0.003443,0.045746
http-request,0.0,0.004244
marine-api,0.0,0.0
joda-time,0.0,0.0
querydsl,0.003251,0.064975
hbase,0.00584,0.016563
oryx,0.032525,0.035598
unix4j,0.000213,0.001562
cukes,0.028128,0.0
wikidata-toolkit,0.0,0.016128
admiral,0.00648,0.00399
dropwizard,0.002033,0.000985
c2mon,0.0,0.0
pippo,0.0,0.0
activiti,0.0,0.004439
rxjava2-extras,0.0,0.0
luwak,0.0,0.0
alien4cloud,0.005019,0.173205
jhipster-registry,0.0,0.0
hsac-fitnesse-fixtures,0.044805,0.265023
spring-boot,0.0,0.0
total,0.0117445,0.05177841666666667
