Project,NRDB,NRF
spring-ws,0.021758,0.021643
incubator-dubbo,0.006482,0.006405
search-highlighter,0.0,0.0
carbon-apimgt,0.032493,0.032493
helios,0.0,0.0
spring-cloud-zuul-ratelimit,0.0,0.0
orbit,0.0,0.0
dnsjava,0.0,0.0
hutool,0.001087,0.117521
wildfly,0.0,0.0
fastjson,0.006936,0.03351
elastic-job-lite,0.035031,0.02326
struts,0.056888,0.087017
vertexium,0.0,0.000363
riptide,0.00213,0.00213
java-websocket,0.0,0.0
esper,0.020655,0.020655
jfreechart,0.0,0.0
oci-java-sdk,0.010339,0.148877
achilles,0.0,0.068871
timely,0.0,0.0
yawp,0.056581,0.056581
junit-quickcheck,0.0,0.0
tyrus,0.0,0.0
openpojo,0.0,0.071385
wro4j,0.011388,0.079391
retrofit,0.0,0.017066
aismessages,0.0,0.0
vertx-completable-future,0.0,0.0
jimfs,0.0,0.262886
hadoop,0.005815,0.148494
http-request,0.0,0.004244
marine-api,0.0,0.0
joda-time,0.0,0.0
querydsl,0.00767,0.041794
hbase,0.006347,0.044939
oryx,0.032525,0.068892
unix4j,0.001098,0.132396
cukes,0.0,0.028128
wikidata-toolkit,0.0,0.041992
admiral,0.005549,0.008535
dropwizard,0.013379,0.048699
c2mon,0.0,0.0
pippo,0.0,0.0
activiti,0.0,0.009106
rxjava2-extras,0.0,0.105854
luwak,0.0,0.0
alien4cloud,0.005019,0.093641
jhipster-registry,0.0,0.0
spring-boot,0.116172,0.222463
total,0.014688451612903226,0.06610422580645162
