,idProject,nameProject,productionClass,testCase,probabilityEagerTest,isEagerTest,isEagerTestManual,prediction
0,40.0,dropwizard,ResilentSocketOutputStream,ch.qos.logback.core.recovery.resilentsocketoutputstreamtest.testcreatescleanoutputstream,0.5435708301354463,False,False,False
1,40.0,dropwizard,ResilentSocketOutputStream,ch.qos.logback.core.recovery.resilentsocketoutputstreamtest.testthrowsexceptionifcantcreateoutputstream,0.5483738654871082,False,False,False
3,40.0,dropwizard,App1,com.example.app1.app1test.customjsonprovidermissingheader,0.3504632089627775,False,False,True
7,40.0,dropwizard,ProtectedClassResource,com.example.helloworld.resources.protectedclassresourcetest.testprotectedguestendpoint,0.3481730985832429,False,False,True
9,40.0,dropwizard,AssetsBundle,io.dropwizard.assets.assetsbundletest.canhavedifferenturiandresourcepaths,0.4055669217816217,False,False,True
15,40.0,dropwizard,CachingAuthorizer,io.dropwizard.auth.cachingauthorizertest.invalidatesallprincipals,0.4046496322603732,False,False,False
18,40.0,dropwizard,CachingAuthorizer,io.dropwizard.auth.cachingauthorizertest.respectsthecacheconfiguration,0.5378971230321911,False,False,False
19,40.0,dropwizard,Bundle,io.dropwizard.bundletest.deprecatedbundlewillbeinitializedandrun,1.0,True,True,False
21,40.0,dropwizard,Cli,io.dropwizard.cli.clitest.unhandledexceptionscustomcommanddebug,0.4544131089998023,False,False,False
22,40.0,dropwizard,ConfiguredCommand,io.dropwizard.cli.configuredcommandtest.canusecustomconfigurationfactory,1.0,True,False,False
23,40.0,dropwizard,ServerCommand,io.dropwizard.cli.servercommandtest.buildsandrunsaconfiguredserver,0.5698285152512564,False,False,False
24,40.0,dropwizard,ServerCommand,io.dropwizard.cli.servercommandtest.hasadescription,0.5831823363799236,False,False,False
25,40.0,dropwizard,ServerCommand,io.dropwizard.cli.servercommandtest.stopsaserverifthereisanerrorstartingit,0.4774302840825061,False,False,False
29,40.0,dropwizard,HttpClientBuilder,io.dropwizard.client.httpclientbuildertest.canuseacustomdnsresolver,0.7534008953210867,True,False,True
30,40.0,dropwizard,HttpClientBuilder,io.dropwizard.client.httpclientbuildertest.canuseacustomhostnameverifierwhentlsconfigurationspecified,0.7880952961125842,True,False,False
31,40.0,dropwizard,HttpClientBuilder,io.dropwizard.client.httpclientbuildertest.configurecredentialreturnsntcredentialsforbasicconfig,0.7602293916978703,True,False,False
