Type,Project,ModelBalance,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
within,hadoop,adaboost,0.0,0.0,1594.0,6.0,0.0,0.0,0.99625,0.0,0.0,0.0,0.5032580572606039
within,hadoop,decisiontree,0.0,0.0,1594.0,6.0,0.0,0.0,0.99625,0.0,0.0,0.0,0.5032580572606039
within,hadoop,multilayerperceptron,0.0,0.0,1594.0,6.0,0.0,0.0,0.99625,0.0,0.0,0.0,0.5032580572606039
within,hadoop,naivebayes,6.0,1539.0,55.0,0.0,0.0039096687127247,0.6,0.038125,0.965625,0.0077687043789138,0.0096505810417633,0.5032580572606039
within,hadoop,randomforest,0.0,0.0,1594.0,6.0,0.0,0.0,0.99625,0.0,0.0,0.0,0.5032580572606039
within,hadoop,svm,0.0,0.0,1594.0,6.0,0.0,0.0,0.99625,0.0,0.0,0.0,0.5032580572606039
within,hbase,adaboost,0.0,0.0,722.0,4.0,0.0,0.0,0.9945205479452056,0.0,0.0,0.0,0.5073820041850732
within,hbase,decisiontree,0.0,0.0,722.0,4.0,0.0,0.0,0.9945205479452056,0.0,0.0,0.0,0.5073820041850732
within,hbase,multilayerperceptron,0.0,0.0,722.0,4.0,0.0,0.0,0.9945205479452056,0.0,0.0,0.0,0.5076195903100436
within,hbase,naivebayes,4.0,678.0,44.0,0.0,0.0059056033480585,0.4,0.0661149162861491,0.9393645357686452,0.0116393189332838,0.0130669482301892,0.5073820041850732
within,hbase,randomforest,0.0,0.0,722.0,4.0,0.0,0.0,0.9945205479452056,0.0,0.0,0.0,0.5073820041850732
within,hbase,svm,0.0,0.0,722.0,4.0,0.0,0.0,0.9945205479452056,0.0,0.0,0.0,0.5073820041850732
within,struts,adaboost,0.0,0.0,96.0,9.0,0.0,0.0,0.9145454545454548,0.0,0.0,0.0,0.5521184062850729
within,struts,decisiontree,0.0,0.0,96.0,9.0,0.0,0.0,0.9145454545454548,0.0,0.0,0.0,0.5521184062850729
within,struts,multilayerperceptron,0.0,0.0,96.0,9.0,0.0,0.0,0.9145454545454548,0.0,0.0,0.0,0.3914902998236331
within,struts,naivebayes,9.0,85.0,11.0,0.0,0.0969877344877345,0.9,0.1890909090909091,0.8963636363636363,0.1747979797979797,0.0760938256046349,0.5538820747154081
within,struts,randomforest,0.0,0.0,96.0,9.0,0.0,0.0,0.9145454545454548,0.0,0.0,0.0,0.5538820747154081
within,struts,svm,0.0,0.0,96.0,9.0,0.0,0.0,0.9145454545454548,0.0,0.0,0.0,0.5538820747154081
