nameProject,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
achilles,6,0,66,31,1.0,0.16216216216216217,0.6990291262135923,0.3592233009708738,0.27906976744186046,0.3321703497679712,0.731566517974285
activiti,0,2,22,1,0.0,0.0,0.88,0.04,0.0,-0.0601929265428846,0.02
admiral,5,9,282,130,0.35714285714285715,0.037037037037037035,0.6737089201877934,0.31690140845070425,0.06711409395973154,0.01594355767375716,0.3496721067143603
aismessages,0,0,12,0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
aletheia,0,0,7,0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
alien4cloud,4,8,69,0,0.3333333333333333,1.0,0.9012345679012346,0.04938271604938271,0.5,0.5465357250000211,0.6666666666666666
c2mon,0,26,142,0,0.0,0.0,0.8452380952380952,0.0,0.0,0.0,0.5
carbon-apimgt,4,0,24,29,1.0,0.12121212121212122,0.49122807017543857,0.5789473684210527,0.21621621621621626,0.23428296506296908,0.8149920255183413
cukes,0,2,11,2,0.0,0.0,0.7333333333333333,0.13333333333333333,0.0,-0.15384615384615385,0.06666666666666667
db-scheduler,0,0,8,0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
delight-nashorn-sandbox,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
dnsjava,0,0,119,0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
dropwizard,0,46,220,4,0.0,0.0,0.8148148148148148,0.014814814814814815,0.0,-0.05557047180110708,0.007407407407407408
elastic-job-lite,0,25,115,0,0.0,0.0,0.8214285714285714,0.0,0.0,0.0,0.5
esper,0,19,129,0,0.0,0.0,0.8716216216216216,0.0,0.0,0.0,0.5
fastjson,0,8,456,0,0.0,0.0,0.9827586206896551,0.0,0.0,0.0,0.5
fluent-logger-java,0,0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0
hadoop,161,632,1485,94,0.2030264817150063,0.6313725490196078,0.693929173693086,0.10750421585160203,0.3072519083969466,0.21854169636464849,0.43701401789681804
hbase,12,110,582,22,0.09836065573770492,0.35294117647058826,0.8181818181818182,0.046831955922865015,0.15384615384615383,0.10961115280572803,0.24080243125566175
helios,0,6,103,0,0.0,0.0,0.944954128440367,0.0,0.0,0.0,0.5
hsac-fitnesse-fixtures,10,4,40,0,0.7142857142857143,1.0,0.9259259259259259,0.18518518518518517,0.8333333333333333,0.8058229640253802,0.8571428571428572
http-request,0,4,31,1,0.0,0.0,0.8611111111111112,0.027777777777777776,0.0,-0.05976143046671968,0.013888888888888888
hutool,0,16,106,4,0.0,0.0,0.8412698412698413,0.031746031746031744,0.0,-0.06905795747278488,0.015873015873015872
incubator-dubbo,8,24,295,44,0.25,0.15384615384615385,0.816711590296496,0.14016172506738545,0.1904761904761905,0.09720883532060397,0.26122226829774
java-websocket,0,0,96,0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
jfreechart,0,0,558,2,0.0,0.0,0.9964285714285714,0.0035714285714285713,0.0,0.0,0.5017857142857143
jhipster-registry,0,1,13,0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.5
