idProject,nameProject,productionClass,testCase,ERNC,FRNC,isResourceOptimism,isResourceOptimismManual
8,tyrus,AuthConfig,org.glassfish.tyrus.client.auth.authconfigtest.testoverridebasic,0,0,False,False
8,tyrus,Credentials,org.glassfish.tyrus.client.auth.credentialstest.testgetpasswordstring,0,0,False,False
8,tyrus,Credentials,org.glassfish.tyrus.client.auth.credentialstest.testnullpassword2,0,0,False,False
8,tyrus,TyrusClientEngine,org.glassfish.tyrus.client.tyrusclientenginetest.testauthflow,0,0,False,False
8,tyrus,TyrusClientEngine,org.glassfish.tyrus.client.tyrusclientenginetest.testcallcreaterequesttwice,0,0,False,False
8,tyrus,TyrusClientEngine,org.glassfish.tyrus.client.tyrusclientenginetest.testerrorflow3,0,0,False,False
8,tyrus,TyrusClientEngine,org.glassfish.tyrus.client.tyrusclientenginetest.testredirectflow,0,0,False,False
8,tyrus,TyrusClientEngine,org.glassfish.tyrus.client.tyrusclientenginetest.testtrasformlocationhttptows,0,0,False,False
8,tyrus,SslFilter,org.glassfish.tyrus.container.jdk.client.sslfiltertest.testcloseserver,0,0,False,False
8,tyrus,SslFilter,org.glassfish.tyrus.container.jdk.client.sslfiltertest.testcustomhostameverificationfail,0,0,False,False
8,tyrus,SslFilter,org.glassfish.tyrus.container.jdk.client.sslfiltertest.testecho100k,0,0,False,False
8,tyrus,SslFilter,org.glassfish.tyrus.container.jdk.client.sslfiltertest.testrehandshakeclient,0,0,False,False
8,tyrus,SslFilter,org.glassfish.tyrus.container.jdk.client.sslfiltertest.testrehandshakeserver,0,0,False,False
8,tyrus,Frame,org.glassfish.tyrus.core.frametest.testisrsv2,0,0,False,False
8,tyrus,Frame,org.glassfish.tyrus.core.frametest.testisrsv3,0,0,False,False
8,tyrus,Frame,org.glassfish.tyrus.core.frametest.testpayloaddatachange,0,0,False,False
8,tyrus,MessageHandlerManager,org.glassfish.tyrus.core.messagehandlermanagertest.multiplebinaryhandlerswithbytearray,0,0,False,False
8,tyrus,MessageHandlerManager,org.glassfish.tyrus.core.messagehandlermanagertest.multiplebinaryhandlerswithbytearraypartial,0,0,False,False
8,tyrus,MessageHandlerManager,org.glassfish.tyrus.core.messagehandlermanagertest.multipletexthandlers,0,0,False,False
8,tyrus,MessageHandlerManager,org.glassfish.tyrus.core.messagehandlermanagertest.multipletexthandlerspartial,0,0,False,False
8,tyrus,TyrusExtension,org.glassfish.tyrus.core.tyrusextensiontest.testparseheadersquoted1,0,0,False,False
8,tyrus,TyrusExtension,org.glassfish.tyrus.core.tyrusextensiontest.testparseheadersquoted2,0,0,False,False
8,tyrus,TyrusFuture,org.glassfish.tyrus.core.tyrusfuturetest.testinterrupted,0,0,False,False
8,tyrus,TyrusFuture,org.glassfish.tyrus.core.tyrusfuturetest.testisdone,0,0,False,False
8,tyrus,TyrusRemoteEndpoint,org.glassfish.tyrus.core.tyrusremoteendpointtest.testasyncsendtexthandler2,0,0,False,False
8,tyrus,TyrusRemoteEndpoint,org.glassfish.tyrus.core.tyrusremoteendpointtest.testbasicsendbinary,0,0,False,False
8,tyrus,TyrusRemoteEndpoint,org.glassfish.tyrus.core.tyrusremoteendpointtest.testgetsendstream,0,0,False,True
8,tyrus,Utils,org.glassfish.tyrus.core.utilstest.testparsehttpdateansicasc,0,0,False,False
8,tyrus,Utils,org.glassfish.tyrus.core.utilstest.testparsehttpdatefail,0,0,False,False
8,tyrus,Utils,org.glassfish.tyrus.core.utilstest.testparsehttpdaterfc1036,0,0,False,False
8,tyrus,SessionBuilder,org.glassfish.tyrus.ext.client.java8.sessionbuildertest.testallmethods,0,0,False,True
8,tyrus,SessionBuilder,org.glassfish.tyrus.ext.client.java8.sessionbuildertest.testencoderdecoder,0,0,False,True
8,tyrus,TextAndBinaryProgrammaticDecoder,org.glassfish.tyrus.test.e2e.appconfig.textandbinaryprogrammaticdecoder.test2decoders1handler,0,0,False,True
8,tyrus,ClientOnErrorDuplication,org.glassfish.tyrus.tests.qa.clientonerrorduplicationtest.testclientonerrorduplication,0,0,False,False
8,tyrus,ClientOnOpenDuplication,org.glassfish.tyrus.tests.qa.clientonopenduplicationtest.testclientonopenduplication,0,0,False,False
8,tyrus,MaxMessageSizeOnServer,org.glassfish.tyrus.tests.qa.maxmessagesizeonservertest.testmaxmessagesizeonserver,0,0,False,False
8,tyrus,ServerOnOpenDuplication,org.glassfish.tyrus.tests.qa.serveronopenduplicationtest.testserveronopenduplication,0,0,False,False
8,tyrus,Server,org.glassfish.tyrus.tests.servlet.autobahn.standaloneserver.testserver,0,0,False,False
