,idProject,nameProject,productionClass,testCase,NMC,probabilityEagerTest,isEagerTest,isEagerTestManual,prediction
53,23.0,timely,TwoWaySSLOpenSSLIT,timely.test.integration.twowaysslopensslit.testbasicauthlogin,0.0,0.8590983160211199,True,False,False
55,23.0,timely,TimelyUdpIT,timely.test.integration.udp.timelyudpit.testputmultiplebinary,2.0,0.53995892858214,False,True,True
1,23.0,timely,MetricHistogram,timely.analytics.flink.metrichistogramtest.test90thpercentile,0.0,0.3752258145294633,False,False,False
5,23.0,timely,AggregatorsResponse,timely.api.response.timeseries.aggregatorsresponsetest.testaggregatorsresponseempty,0.0,0.0805255548579282,False,False,True
6,23.0,timely,MetricsResponse,timely.api.response.timeseries.metricsresponsetest.testgeneratehtmlwithignoredtags,0.0,0.0126315594226141,False,True,True
10,23.0,timely,Metric,timely.model.metrictest.testjson,0.0,0.4249404486610824,False,True,False
11,23.0,timely,TagListParser,timely.model.parse.taglistparsertest.testlistcombine,0.0,0.2474553406401862,False,False,True
13,23.0,timely,TagListParser,timely.model.parse.taglistparsertest.testlistparse,0.0,0.2517159544566983,False,False,True
16,23.0,timely,HttpRequestDecoder,timely.netty.http.httprequestdecodertest.testlookupuriwithlimit,1.0,0.3294215254571448,False,False,False
17,23.0,timely,HttpRequestDecoder,timely.netty.http.httprequestdecodertest.testlookupuriwithlimitandtags,1.0,0.3638623750068083,False,False,False
20,23.0,timely,HttpRequestDecoder,timely.netty.http.httprequestdecodertest.testsuggesturiwithinvalidtypeanonaccess,0.0,0.3111676963686187,False,False,True
21,23.0,timely,HttpRequestDecoder,timely.netty.http.httprequestdecodertest.testsuggesturiwithvalidtype,1.0,0.3154925875705172,False,False,False
22,23.0,timely,HttpRequestDecoder,timely.netty.http.httprequestdecodertest.testversionpost,0.0,0.3029076080059678,False,False,True
24,23.0,timely,WebSocketRequestDecoder,timely.netty.websocket.websocketrequestdecodertest.testcreatesubscriptionwithvalidsessionidandnonanonymousaccess,0.0,0.3523699549297028,False,True,True
25,23.0,timely,WebSocketRequestDecoder,timely.netty.websocket.websocketrequestdecodertest.testmetrics,0.0,0.3871358582551799,False,True,False
28,23.0,timely,AggregationIterator,timely.sample.iterators.aggregationiteratortest.simpleaggregatedsample,1.0,0.5810629538248329,False,True,True
31,23.0,timely,DownsampleIterator,timely.sample.iterators.downsampleiteratortest.simplegettwosamples,1.0,0.5879482573716364,False,True,True
33,23.0,timely,RateIterator,timely.store.iterators.rateiteratortest.testcounterrate,0.0,0.1492864147451404,False,True,True
37,23.0,timely,MetricAgeOffIterator,timely.store.metricageoffiteratortest.testdefaultmissing,0.0,0.4386603911084759,False,False,True
38,23.0,timely,TcpClientIT,timely.test.integration.client.tcpclientit.testpersistencewithvisibility,1.0,0.5712200450431943,False,True,True
39,23.0,timely,WebSocketClientIT,timely.test.integration.client.websocketclientit.testworkflow,0.0,0.4474785139318967,False,True,True
40,23.0,timely,DataStoreIT,timely.test.integration.datastoreit.testmultipleageoff,0.0,0.6060234478963122,True,True,True
45,23.0,timely,HttpApiIT,timely.test.integration.http.httpapiit.testquerywithoutmsresolution,0.0,0.3353722474114919,False,True,False
46,23.0,timely,HttpApiIT,timely.test.integration.http.httpapiit.testquerywithtagwildcard,0.0,0.6118513459926971,True,True,True
47,23.0,timely,HttpApiIT,timely.test.integration.http.httpapiit.testratecounterwithoptions,0.0,0.3660298650894238,False,True,False
48,23.0,timely,HTTPStrictTransportSecurityIT,timely.test.integration.http.httpstricttransportsecurityit.testhstsrequestget,0.0,0.6448499755264727,True,True,True
50,23.0,timely,StaticFileServerIT,timely.test.integration.staticfileserverit.testgetgoodpath,0.0,0.4326219123294154,False,False,False
51,23.0,timely,TimelyTcpIT,timely.test.integration.tcp.timelytcpit.testputmultiple,0.0,0.4640994506162361,False,True,True
52,23.0,timely,TwoWaySSLIT,timely.test.integration.twowaysslit.testbasicauthlogin,0.0,0.7979403062341561,True,False,True
54,23.0,timely,TimelyUdpIT,timely.test.integration.udp.timelyudpit.testpersistencewithvisibility,1.0,0.6096406523598965,True,True,True
