,idProject,nameProject,productionClass,testCase,SimilaritiesCoefficient,isEagerTest,isEagerTestManual,prediction
0,16.0,vertexium,EdgeBuilderBase,org.vertexium.edgebuilderbasetest.testhaschangesalteredgelabel,0.581494744634791,False,False,True
3,16.0,vertexium,Elasticsearch5SearchIndex,org.vertexium.elasticsearch5.elasticsearch5searchindextest.testqueryexecutioncountwhenscrollingapi,0.3384148765652273,True,True,True
4,16.0,vertexium,Elasticsearch5SearchIndex,org.vertexium.elasticsearch5.elasticsearch5searchindextest.testretrievingverticesfromelasticsearchedge,0.2773673758175337,True,False,True
5,16.0,vertexium,Ascii85,org.vertexium.elasticsearch5.utils.ascii85test.testencode,0.7571428571428571,False,False,False
6,16.0,vertexium,ElementBuilder,org.vertexium.elementbuildertest.testhaschangesproperties,0.7067925191503753,False,False,False
8,16.0,vertexium,SimpleNameSubstitutionStrategy,org.vertexium.id.simplenamesubstitutionstrategytest.testinflatecache,0.5431839931663729,False,False,True
13,16.0,vertexium,ExistingElementMutationImpl,org.vertexium.mutation.existingelementmutationimpltest.testhaschangessoftdeleteproperty,0.6766142380547719,False,False,False
14,16.0,vertexium,Range,org.vertexium.rangetest.testhashcode,0.7051632958996898,False,False,False
16,16.0,vertexium,KryoVertexiumSerializer,org.vertexium.serializer.kryo.kryovertexiumserializertest.testlong,0.5137514586083314,False,False,True
17,16.0,vertexium,KryoVertexiumSerializer,org.vertexium.serializer.kryo.kryovertexiumserializertest.testtestclassquick,0.3497124906262995,True,True,True
18,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.benchmark,0.1746262750012244,True,True,False
22,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testaddedgewithvisibility,0.3890610299998676,True,True,True
23,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testaddextendeddatarows,0.2996818541501995,True,True,False
24,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testaddvertexwithoutindexing,0.3725776845534517,True,True,True
25,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testaddvertexwithpropertieswithtwodifferentvisibilities,0.4469053317183691,False,True,True
29,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testelementmutationdoesntchangeobjectuntilsave,0.4100950086874097,False,True,True
30,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testemptypropertymutation,0.33299904617317,True,False,True
31,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testextendeddatadelete,0.3894406573779231,True,True,True
32,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testextendeddatadifferentvalue,0.3797234704845152,True,True,True
33,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testextendeddataqueryedges,0.2778325096519613,True,True,True
39,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testfindpathexcludelabels,0.3207526047931974,True,True,True
42,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testgetvertexpropertycountbyvalue,0.4042721700105441,False,True,True
43,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testgetverticesinrange,0.3620618966345247,True,True,True
49,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testgraphqueryhaswithspaces,0.3621983647678405,True,True,True
51,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testgraphqueryhidden,0.3088660312087262,True,True,True
53,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testgraphquerypagingforuniqueidssortedorder,0.3621224492355086,True,True,True
55,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testgraphquerysort,0.407274468718257,False,True,True
56,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testgraphquerysortonpropertythathasnovaluesintheindex,0.4401330926204525,False,False,True
58,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testgraphqueryvertexnovisibility,0.4206117414059617,False,True,False
60,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testgraphquerywithquerystring,0.4437892080349772,False,True,True
62,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testiteratorwithmorethanpagesizeresultspageone,0.2558501353349244,True,True,True
64,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testmarkhiddenwithvisibilitychange,0.3694886153357116,True,True,True
68,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testpartialupdateofvertex,0.4425205258196821,False,True,True
69,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testpartialupdateofvertexpropertykey,0.4167005766792814,False,True,True
70,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testreaddingsoftdeletedvertex,0.4440718985481408,False,True,True
72,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testsaveelementmutations,0.3841183289003894,True,True,True
74,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testsoftdeletepropertythroughmutationwithvisibility,0.4148012279830544,False,True,True
76,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.teststoregeocollection,0.1726304522976473,True,True,True
78,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.teststoregeorect,0.1571010707954367,True,True,True
79,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testvaluetypes,0.3911765703931443,True,False,True
81,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testvertexquerywithnestedtermsaggregationonextendeddata,0.3597230525539384,True,True,True
83,16.0,vertexium,IncreasingTime,org.vertexium.util.increasingtimetest.currenttimemillisreturnseverincreasingtime,0.76340802305095,False,True,False
1,16.0,vertexium,Elasticsearch5SearchIndex,org.vertexium.elasticsearch5.elasticsearch5searchindextest.testdisallowleadingwildcardsinquerystring,0.2394150949835637,True,False,True
2,16.0,vertexium,Elasticsearch5SearchIndex,org.vertexium.elasticsearch5.elasticsearch5searchindextest.testqueryexecutioncountwhenpaging,0.2454785841052202,True,False,True
7,16.0,vertexium,SimpleNameSubstitutionStrategy,org.vertexium.id.simplenamesubstitutionstrategytest.testinflate,0.7425903793526291,False,False,False
9,16.0,vertexium,SimpleNameSubstitutionStrategy,org.vertexium.id.simplenamesubstitutionstrategytest.testsubstitutionisinvertible,0.7205094088705605,False,False,False
10,16.0,vertexium,InMemoryGraph,org.vertexium.inmemory.inmemorygraphtest.teststricttyping,0.2363768278839201,True,True,True
11,16.0,vertexium,ExistingElementMutationImpl,org.vertexium.mutation.existingelementmutationimpltest.testhaschangesproperties,0.734078329456085,False,False,False
12,16.0,vertexium,ExistingElementMutationImpl,org.vertexium.mutation.existingelementmutationimpltest.testhaschangessetpropertymetadata,0.6910835158434689,False,False,False
15,16.0,vertexium,Range,org.vertexium.rangetest.testisinrange,0.6875033558247253,False,False,False
19,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.benchmarksaveelementmutations,0.1911364718300214,True,False,True
20,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testaddedgewithnulllabels,0.3549022594896258,True,True,True
21,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testaddedgewithoutindexing,0.3783375522501281,True,True,True
26,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testclosingiterables,0.3739010598579435,True,True,True
27,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testconcurrentmodificationofproperties,0.3740960752956794,True,True,True
28,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testdeletepropertywithmutation,0.4376252747294578,False,True,False
34,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testextendeddataqueryvertices,0.2465561977775828,True,True,False
35,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testextendeddataquerywithmultivalue,0.2744840509317538,True,True,False
36,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testfetchhintsedgessummary,0.3123385924754661,True,True,True
37,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testfetchhintsexceptions,0.1084282271301634,True,True,False
38,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testfetchhintsproperties,0.1529467042754842,True,True,False
40,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testfindpaths,0.2288222171022016,True,True,True
41,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testgetedgeswithids,0.4401463359051445,False,True,False
44,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testgetverticeswithids,0.4304003649648399,False,True,False
45,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testgraphquery,0.3796382531343933,True,True,True
46,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testgraphqueryedgehaswithsecurity,0.4130696353803739,False,True,True
47,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testgraphqueryforids,0.2048573620487844,True,True,False
48,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testgraphqueryhas,0.3577139660910871,True,True,True
50,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testgraphqueryhaswithspacesandfieldedquerystring,0.3468557151418784,True,True,True
52,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testgraphqueryin,0.3744763003925807,True,True,True
54,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testgraphqueryrange,0.3571795991467666,True,True,True
57,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testgraphqueryvertexhaswithsecuritycantseeproperty,0.4238769957624322,False,False,True
59,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testgraphqueryvertexwithtermsaggregationalterelementvisibility,0.3866789336976822,True,True,False
61,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testhaspath,0.3642632267141025,True,True,True
63,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testiteratorwithmorethanpagesizeresultspagetwo,0.2552482686486657,True,True,True
65,16.0,vertexium,GraphBase,org.vertexium.test.graphtestbase.testmarkvertexandpropertieshidden,0.4515792784116655,False,True,True
