Type,Project,ModelBalance,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
within,aismessages,adaboost,,,,,,,,,,,
within,aismessages,decisiontree,,,,,,,,,,,
within,aismessages,multilayerperceptron,,,,,,,,,,,
within,aismessages,naivebayes,,,,,,,,,,,
within,aismessages,randomforest,,,,,,,,,,,
within,aismessages,svm,,,,,,,,,,,
within,cukes,adaboost,,,,,,,,,,,
within,cukes,decisiontree,,,,,,,,,,,
within,cukes,multilayerperceptron,,,,,,,,,,,
within,cukes,naivebayes,,,,,,,,,,,
within,cukes,randomforest,,,,,,,,,,,
within,cukes,svm,,,,,,,,,,,
within,db-scheduler,adaboost,,,,,,,,,,,
within,db-scheduler,decisiontree,,,,,,,,,,,
within,db-scheduler,multilayerperceptron,,,,,,,,,,,
within,db-scheduler,naivebayes,,,,,,,,,,,
within,db-scheduler,randomforest,,,,,,,,,,,
within,db-scheduler,svm,,,,,,,,,,,
within,http-request,adaboost,,,,,,,,,,,
within,http-request,decisiontree,,,,,,,,,,,
within,http-request,multilayerperceptron,,,,,,,,,,,
within,http-request,naivebayes,,,,,,,,,,,
within,http-request,randomforest,,,,,,,,,,,
within,http-request,svm,,,,,,,,,,,
within,jimfs,adaboost,,,,,,,,,,,
within,jimfs,decisiontree,,,,,,,,,,,
within,jimfs,multilayerperceptron,,,,,,,,,,,
within,jimfs,naivebayes,,,,,,,,,,,
within,jimfs,randomforest,,,,,,,,,,,
within,jimfs,svm,,,,,,,,,,,
within,luwak,adaboost,,,,,,,,,,,
within,luwak,decisiontree,,,,,,,,,,,
within,luwak,multilayerperceptron,,,,,,,,,,,
within,luwak,naivebayes,,,,,,,,,,,
within,luwak,randomforest,,,,,,,,,,,
within,luwak,svm,,,,,,,,,,,
within,noxy,adaboost,,,,,,,,,,,
within,noxy,decisiontree,,,,,,,,,,,
within,noxy,multilayerperceptron,,,,,,,,,,,
within,noxy,naivebayes,,,,,,,,,,,
within,noxy,randomforest,,,,,,,,,,,
within,noxy,svm,,,,,,,,,,,
within,orbit,adaboost,,,,,,,,,,,
within,orbit,decisiontree,,,,,,,,,,,
within,orbit,multilayerperceptron,,,,,,,,,,,
within,orbit,naivebayes,,,,,,,,,,,
within,orbit,randomforest,,,,,,,,,,,
within,orbit,svm,,,,,,,,,,,
within,otto,adaboost,,,,,,,,,,,
within,otto,decisiontree,,,,,,,,,,,
within,otto,multilayerperceptron,,,,,,,,,,,
within,otto,naivebayes,,,,,,,,,,,
within,otto,randomforest,,,,,,,,,,,
within,otto,svm,,,,,,,,,,,
within,pippo,adaboost,,,,,,,,,,,
within,pippo,decisiontree,,,,,,,,,,,
within,pippo,multilayerperceptron,,,,,,,,,,,
within,pippo,naivebayes,,,,,,,,,,,
within,pippo,randomforest,,,,,,,,,,,
within,pippo,svm,,,,,,,,,,,
within,spring-cloud-zuul-ratelimit,adaboost,,,,,,,,,,,
within,spring-cloud-zuul-ratelimit,decisiontree,,,,,,,,,,,
within,spring-cloud-zuul-ratelimit,multilayerperceptron,,,,,,,,,,,
within,spring-cloud-zuul-ratelimit,naivebayes,,,,,,,,,,,
within,spring-cloud-zuul-ratelimit,randomforest,,,,,,,,,,,
within,spring-cloud-zuul-ratelimit,svm,,,,,,,,,,,
within,tyrus,adaboost,,,,,,,,,,,
within,tyrus,decisiontree,,,,,,,,,,,
within,tyrus,multilayerperceptron,,,,,,,,,,,
within,tyrus,naivebayes,,,,,,,,,,,
within,tyrus,randomforest,,,,,,,,,,,
within,tyrus,svm,,,,,,,,,,,
within,undertow,adaboost,,,,,,,,,,,
within,undertow,decisiontree,,,,,,,,,,,
within,undertow,multilayerperceptron,,,,,,,,,,,
within,undertow,naivebayes,,,,,,,,,,,
within,undertow,randomforest,,,,,,,,,,,
within,undertow,svm,,,,,,,,,,,
within,vertx-completable-future,adaboost,,,,,,,,,,,
within,vertx-completable-future,decisiontree,,,,,,,,,,,
within,vertx-completable-future,multilayerperceptron,,,,,,,,,,,
within,vertx-completable-future,naivebayes,,,,,,,,,,,
within,vertx-completable-future,randomforest,,,,,,,,,,,
within,vertx-completable-future,svm,,,,,,,,,,,
within,wildfly,adaboost,,,,,,,,,,,
within,wildfly,decisiontree,,,,,,,,,,,
within,wildfly,multilayerperceptron,,,,,,,,,,,
within,wildfly,naivebayes,,,,,,,,,,,
within,wildfly,randomforest,,,,,,,,,,,
within,wildfly,svm,,,,,,,,,,,
within,wro4j,adaboost,,,,,,,,,,,
within,wro4j,decisiontree,,,,,,,,,,,
within,wro4j,multilayerperceptron,,,,,,,,,,,
within,wro4j,naivebayes,,,,,,,,,,,
within,wro4j,randomforest,,,,,,,,,,,
within,wro4j,svm,,,,,,,,,,,
within,yawp,adaboost,,,,,,,,,,,
within,yawp,decisiontree,,,,,,,,,,,
within,yawp,multilayerperceptron,,,,,,,,,,,
within,yawp,naivebayes,,,,,,,,,,,
within,yawp,randomforest,,,,,,,,,,,
within,yawp,svm,,,,,,,,,,,
