,idProject,nameProject,productionClass,testCase,isMysteryGuestManual,isMysteryGuestManual,prediction
5,12.0,jimfs,AttributeService,com.google.common.jimfs.attributeservicetest.testreadattributes_asobject,True,True,True
7,12.0,jimfs,AttributeService,com.google.common.jimfs.attributeservicetest.testsetattribute_failsforattributethatisnotsettable,True,True,False
12,12.0,jimfs,Configuration,com.google.common.jimfs.configurationtest.testsetdefaultattributevalue_illegalattributeformat,False,False,False
13,12.0,jimfs,Configuration,com.google.common.jimfs.configurationtest.testsettingrootsunsupportedbypathtype,False,False,False
14,12.0,jimfs,Configuration,com.google.common.jimfs.configurationtest.testsettingworkingdirectorywithrelativepath,False,False,False
15,12.0,jimfs,Directory,com.google.common.jimfs.directorytest.testget,False,False,False
16,12.0,jimfs,Directory,com.google.common.jimfs.directorytest.testmanyputsandremoves,False,False,False
19,12.0,jimfs,Directory,com.google.common.jimfs.directorytest.testsnapshot,False,False,True
20,12.0,jimfs,Directory,com.google.common.jimfs.directorytest.testunlink_parentandselfnamefails,False,False,False
21,12.0,jimfs,FileSystemState,com.google.common.jimfs.filesystemstatetest.testclose_multipletimesdonothing,False,False,False
22,12.0,jimfs,File,com.google.common.jimfs.filetest.testfilebasics,True,True,True
23,12.0,jimfs,File,com.google.common.jimfs.filetest.testregularfile,True,True,True
28,12.0,jimfs,FileTree,com.google.common.jimfs.filetreetest.testlookup_relative_emptypath,False,False,False
29,12.0,jimfs,HeapDisk,com.google.common.jimfs.heapdisktest.testfulldisk,False,False,False
31,12.0,jimfs,HeapDisk,com.google.common.jimfs.heapdisktest.testinitialsettings_fromconfiguration,False,False,False
32,12.0,jimfs,JimfsAsynchronousFileChannel,com.google.common.jimfs.jimfsasynchronousfilechanneltest.testasyncchannel,True,True,True
33,12.0,jimfs,JimfsAsynchronousFileChannel,com.google.common.jimfs.jimfsasynchronousfilechanneltest.testasyncclose_read,True,True,True
34,12.0,jimfs,JimfsAsynchronousFileChannel,com.google.common.jimfs.jimfsasynchronousfilechanneltest.testasyncclose_write,True,True,True
37,12.0,jimfs,JimfsFileChannel,com.google.common.jimfs.jimfsfilechanneltest.testread,True,True,True
38,12.0,jimfs,JimfsFileChannel,com.google.common.jimfs.jimfsfilechanneltest.testreadnegative,True,True,True
40,12.0,jimfs,JimfsFileChannel,com.google.common.jimfs.jimfsfilechanneltest.testsize,True,True,True
41,12.0,jimfs,JimfsFileChannel,com.google.common.jimfs.jimfsfilechanneltest.testtransferfromnegative,True,True,True
43,12.0,jimfs,JimfsInputStream,com.google.common.jimfs.jimfsinputstreamtest.testread_partialarray_invalidinput,False,False,False
46,12.0,jimfs,JimfsPath,com.google.common.jimfs.jimfspathtest.testrelativize_bothrelative,False,False,False
47,12.0,jimfs,JimfsPath,com.google.common.jimfs.jimfspathtest.testresolve_againstemptypath,False,False,False
49,12.0,jimfs,JimfsPath,com.google.common.jimfs.jimfspathtest.testresolve_fromroot,False,False,False
51,12.0,jimfs,JimfsPath,com.google.common.jimfs.jimfspathtest.testrootpath,False,False,False
52,12.0,jimfs,PathService,com.google.common.jimfs.pathservicetest.testpathcreation,False,False,False
56,12.0,jimfs,PathType,com.google.common.jimfs.pathtypetest.testtouri,False,False,False
59,12.0,jimfs,PosixAttributeProvider,com.google.common.jimfs.posixattributeprovidertest.testview,False,False,False
61,12.0,jimfs,UnixPathType,com.google.common.jimfs.unixpathtypetest.testunix,False,False,False
62,12.0,jimfs,UnixPathType,com.google.common.jimfs.unixpathtypetest.testunix_illegalcharacters,False,False,False
64,12.0,jimfs,UserDefinedAttributeProvider,com.google.common.jimfs.userdefinedattributeprovidertest.testsetoncreate,True,True,False
65,12.0,jimfs,WindowsPathType,com.google.common.jimfs.windowspathtypetest.testwindows_touri_escaping,False,False,False
0,12.0,jimfs,AbstractWatchService,com.google.common.jimfs.abstractwatchservicetest.testclosedwatcher,False,False,False
1,12.0,jimfs,AbstractWatchService,com.google.common.jimfs.abstractwatchservicetest.testkeyrequeuedonresetifeventsarepending,False,False,False
2,12.0,jimfs,AbstractWatchService,com.google.common.jimfs.abstractwatchservicetest.testpostevent,False,False,False
3,12.0,jimfs,AttributeService,com.google.common.jimfs.attributeservicetest.testgetattribute_failsforattributesnotdefinedbyprovider,True,True,False
4,12.0,jimfs,AttributeService,com.google.common.jimfs.attributeservicetest.testgetfileattributeview_isnullforunsupportedview,True,True,False
6,12.0,jimfs,AttributeService,com.google.common.jimfs.attributeservicetest.testreadattributes_failsforunsupportedattributestype,True,True,True
8,12.0,jimfs,AttributeService,com.google.common.jimfs.attributeservicetest.testsetattribute_oncreate_failsforattributethatisnotsettableoncreate,True,True,True
9,12.0,jimfs,AttributeService,com.google.common.jimfs.attributeservicetest.testsupportsfileattributeview,False,False,False
10,12.0,jimfs,Configuration,com.google.common.jimfs.configurationtest.testcreatefilesystemfromconfigurationwithworkingdirectorynotunderconfiguredroot,False,False,True
11,12.0,jimfs,Configuration,com.google.common.jimfs.configurationtest.testdefaultwindowsconfiguration,False,False,False
17,12.0,jimfs,Directory,com.google.common.jimfs.directorytest.testputandget,False,False,False
18,12.0,jimfs,Directory,com.google.common.jimfs.directorytest.testrootdirectory,False,False,False
24,12.0,jimfs,FileTree,com.google.common.jimfs.filetreetest.testlookup_absolute_finalsymlink_nofollowlinks,True,True,False
25,12.0,jimfs,FileTree,com.google.common.jimfs.filetreetest.testlookup_absolute_intermediatesymlink,True,True,False
26,12.0,jimfs,FileTree,com.google.common.jimfs.filetreetest.testlookup_absolute_parentexists,True,True,False
