Type,nameProject,ModelBalance,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
detector,achilles,tsdetect_within,6,0,65,32,1.0,0.1578947368421052,0.6893203883495146,,0.2727272727272727,0.3252779603541137,
detector,admiral,tsdetect_within,5,9,276,136,0.3571428571428571,0.0354609929078014,0.6596244131455399,,0.064516129032258,0.0102466047973113,
detector,alien4cloud,tsdetect_within,4,8,69,0,0.3333333333333333,1.0,0.9012345679012346,,0.5,0.5465357250000211,
detector,carbon-apimgt,tsdetect_within,4,0,24,29,1.0,0.1212121212121212,0.4912280701754385,,0.2162162162162162,0.234282965062969,
detector,dropwizard,tsdetect_within,10,36,208,16,0.217391304347826,0.3846153846153846,0.8074074074074075,,0.2777777777777777,0.1860215779861135,
detector,elastic-job-lite,tsdetect_within,6,19,98,17,0.24,0.2608695652173913,0.7428571428571429,,0.2499999999999999,0.095273057003305,
detector,fastjson,tsdetect_within,3,5,456,0,0.375,1.0,0.9892241379310344,,0.5454545454545454,0.6090424902095865,
detector,hadoop,tsdetect_within,386,423,1389,174,0.4771322620519159,0.6892857142857143,0.7483136593591906,,0.5639152666179693,0.408351074908799,
detector,hbase,tsdetect_within,40,83,553,50,0.3252032520325203,0.4444444444444444,0.8168044077134986,,0.3755868544600939,0.2757954219001846,
detector,hutool,tsdetect_within,8,8,104,6,0.5,0.5714285714285714,0.8888888888888888,,0.5333333333333333,0.4719399037242694,
detector,incubator-dubbo,tsdetect_within,8,24,293,46,0.25,0.1481481481481481,0.8113207547169812,,0.1860465116279069,0.0909955880405249,
detector,jimfs,tsdetect_within,18,8,36,6,0.6923076923076923,0.75,0.7941176470588235,,0.7199999999999999,0.5587376953345927,
detector,oci-java-sdk,tsdetect_within,4,6,32,5,0.4,0.4444444444444444,0.7659574468085106,,0.4210526315789474,0.2754940100640304,
detector,oryx,tsdetect_within,8,3,61,29,0.7272727272727273,0.2162162162162162,0.6831683168316832,,0.3333333333333333,0.261900258026305,
detector,querydsl,tsdetect_within,20,12,426,127,0.625,0.1360544217687075,0.7623931623931623,,0.223463687150838,0.207260491336514,
detector,retrofit,tsdetect_within,1,2,90,5,0.3333333333333333,0.1666666666666666,0.9285714285714286,,0.2222222222222222,0.2016963402720172,
detector,riptide,tsdetect_within,0,2,48,6,0.0,0.0,0.8571428571428571,,0.0,-0.0666666666666666,
detector,rxjava2-extras,tsdetect_within,3,9,78,0,0.25,1.0,0.9,,0.4,0.4734320764739993,
detector,spring-boot,tsdetect_within,3,2,11,4,0.6,0.4285714285714285,0.7,,0.5,0.3026137663344012,
detector,spring-ws,tsdetect_within,8,51,85,9,0.135593220338983,0.4705882352941176,0.6078431372549019,,0.2105263157894736,0.0617175142783485,
detector,struts,tsdetect_within,7,17,68,13,0.2916666666666667,0.35,0.7142857142857143,,0.3181818181818182,0.1402709019216955,
detector,unix4j,tsdetect_within,3,5,67,2,0.375,0.6,0.9090909090909092,,0.4615384615384615,0.42846226372129,
detector,wikidata-toolkit,tsdetect_within,6,20,160,14,0.2307692307692307,0.3,0.83,,0.2608695652173913,0.1684986261441815,
detector,wro4j,tsdetect_within,35,50,230,28,0.4117647058823529,0.5555555555555556,0.7725947521865889,,0.4729729729729729,0.3381061255591941,
detector,yawp,tsdetect_within,2,0,46,2,1.0,0.5,0.96,,0.6666666666666666,0.6922186552431729,
detector,total,tsdetect_within,598,802,4973,756,0.42714285714285716,0.44165435745937964,0.7814560246878945,,0.43427741466957154,0.29895714449276195,
