ModelBalance,nameProject,ModelBalance,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
detector,achilles,darts_within,2,0,21,80,1.0,0.024390243902439,0.2233009708737864,,0.0476190476190476,0.0712126311211725,
detector,activiti,darts_within,1,3,10,11,0.25,0.0833333333333333,0.44,,0.125,-0.200921260371701,
detector,admiral,darts_within,10,130,243,43,0.0714285714285714,0.1886792452830188,0.5938967136150235,,0.1036269430051813,-0.1123175696431067,
detector,alien4cloud,darts_within,3,9,66,3,0.25,0.5,0.8518518518518519,,0.3333333333333333,0.2801397166943045,
detector,c2mon,darts_within,4,22,126,16,0.1538461538461538,0.2,0.7738095238095238,,0.1739130434782608,0.0459797797114031,
detector,carbon-apimgt,darts_within,0,5,43,9,0.0,0.0,0.7543859649122807,,0.0,-0.1342715388823936,
detector,dnsjava,darts_within,11,13,52,43,0.4583333333333333,0.2037037037037037,0.5294117647058824,,0.282051282051282,0.004595389954825,
detector,dropwizard,darts_within,13,74,174,9,0.1494252873563218,0.5909090909090909,0.6925925925925925,,0.2385321100917431,0.1712420960256167,
detector,elastic-job-lite,darts_within,1,10,117,12,0.0909090909090909,0.0769230769230769,0.8428571428571429,,0.0833333333333333,-0.0019600020263818,
detector,esper,darts_within,18,26,53,51,0.4090909090909091,0.2608695652173913,0.4797297297297297,,0.3185840707964602,-0.0744838026901946,
detector,fastjson,darts_within,84,89,186,105,0.4855491329479768,0.4444444444444444,0.5818965517241379,,0.4640883977900552,0.1227506181980372,
detector,hadoop,darts_within,284,497,1093,498,0.3636363636363636,0.3631713554987212,0.5805227655986509,,0.36340371081254,0.0506092061597314,
detector,hbase,darts_within,185,92,158,291,0.6678700361010831,0.3886554621848739,0.4724517906336088,,0.4913678618857901,0.020204371383051,
detector,helios,darts_within,4,25,66,14,0.1379310344827586,0.2222222222222222,0.6422018348623854,,0.1702127659574468,-0.0441161403885875,
detector,hutool,darts_within,18,22,53,33,0.45,0.3529411764705882,0.5634920634920635,,0.3956043956043956,0.0628550108899907,
detector,incubator-dubbo,darts_within,3,63,281,24,0.0454545454545454,0.1111111111111111,0.7654986522911051,,0.064516129032258,-0.0489263848330366,
detector,java-websocket,darts_within,2,1,11,82,0.6666666666666666,0.0238095238095238,0.1354166666666666,,0.0459770114942528,-0.1131407055503551,
detector,jfreechart,darts_within,37,31,307,185,0.5441176470588235,0.1666666666666666,0.6142857142857143,,0.2551724137931034,0.1122466703033731,
detector,jhipster-registry,darts_within,0,3,8,3,0.0,0.0,0.5714285714285714,,0.0,-0.2727272727272727,
detector,joda-time,darts_within,6,83,301,5,0.0674157303370786,0.5454545454545454,0.7772151898734178,,0.12,0.1296908864371131,
detector,junit-quickcheck,darts_within,1,6,22,10,0.1428571428571428,0.0909090909090909,0.5897435897435898,,0.1111111111111111,-0.1446719146698785,
detector,marine-api,darts_within,2,12,76,1,0.1428571428571428,0.6666666666666666,0.8571428571428571,,0.2352941176470588,0.262431940540739,
detector,oci-java-sdk,darts_within,2,5,25,15,0.2857142857142857,0.1176470588235294,0.574468085106383,,0.1666666666666666,-0.0661570155031203,
detector,openpojo,darts_within,3,31,102,2,0.088235294117647,0.6,0.7608695652173914,,0.1538461538461538,0.1591193058441624,
detector,oryx,darts_within,7,23,65,6,0.2333333333333333,0.5384615384615384,0.7128712871287128,,0.3255813953488372,0.2030749936236061,
detector,querydsl,darts_within,30,231,318,6,0.1149425287356321,0.8333333333333334,0.5948717948717949,,0.202020202020202,0.199452978303296,
detector,retrofit,darts_within,13,11,39,35,0.5416666666666666,0.2708333333333333,0.5306122448979592,,0.361111111111111,0.0590925496947748,
detector,riptide,darts_within,1,5,43,7,0.1666666666666666,0.125,0.7857142857142857,,0.1428571428571428,0.0235702260395515,
detector,rxjava2-extras,darts_within,2,26,50,12,0.0714285714285714,0.1428571428571428,0.5777777777777777,,0.0952380952380952,-0.1559876396493123,
detector,sawmill,darts_within,4,4,10,49,0.5,0.0754716981132075,0.208955223880597,,0.1311475409836065,-0.2636037877554122,
detector,search-highlighter,darts_within,6,1,25,15,0.8571428571428571,0.2857142857142857,0.6595744680851063,,0.4285714285714285,0.3452696714118694,
detector,spring-boot,darts_within,0,4,12,4,0.0,0.0,0.6,,0.0,-0.25,
detector,spring-ws,darts_within,16,9,50,78,0.64,0.1702127659574468,0.4313725490196078,,0.2689075630252101,0.023262755381839,
detector,struts,darts_within,2,13,88,2,0.1333333333333333,0.5,0.8571428571428571,,0.2105263157894737,0.2031111159255968,
detector,timely,darts_within,8,3,21,24,0.7272727272727273,0.25,0.5178571428571429,,0.3720930232558139,0.1556997888323046,
detector,unix4j,darts_within,3,9,59,6,0.25,0.3333333333333333,0.8051948051948052,,0.2857142857142857,0.1780254527872929,
detector,vertexium,darts_within,42,7,14,21,0.8571428571428571,0.6666666666666666,0.6666666666666666,,0.75,0.2927700218845599,
detector,wikidata-toolkit,darts_within,5,53,128,14,0.0862068965517241,0.2631578947368421,0.665,,0.1298701298701298,-0.0191657542370092,
detector,total,darts_within,833,1651,4516,1824,0.3353462157809984,0.3135114791117802,0.6061876699909338,,0.3240614666407313,0.04671345227685362,
