Type,ProjectTest,ModelBalance,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
cross,yawp.csv,randomunder_randomsearch_svm,1.0,0.0,46.0,3.0,0.1,0.1,0.9457142857142856,0.0125,0.1,0.1,0.5678571428571428
cross,spring-cloud-zuul-ratelimit.csv,randomunder_randomsearch_svm,0.0,0.0,15.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
cross,one.csv,randomunder_randomsearch_svm,0.0,1.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0
cross,java-websocket.csv,randomunder_randomsearch_svm,0.0,0.0,96.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
cross,jhipster-registry.csv,randomunder_randomsearch_svm,0.0,0.0,14.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
cross,oci-java-sdk.csv,randomunder_randomsearch_svm,4.0,1.0,42.0,0.0,0.3,0.3,0.875,0.1033333333333333,0.3,0.3,0.75
cross,openpojo.csv,randomunder_randomsearch_svm,2.0,1.0,135.0,0.0,0.2,0.2,0.9941176470588236,0.0217647058823529,0.2,0.2,1.0
cross,spring-ws.csv,randomunder_randomsearch_svm,0.0,6.0,146.0,1.0,0.0,0.0,0.9552473262032086,0.0385026737967914,0.0,0.0,0.125
cross,carbon-apimgt.csv,randomunder_randomsearch_svm,1.0,0.0,24.0,32.0,0.1,0.02,0.4602380952380953,0.0166666666666666,0.0333333333333333,0.02,0.7648333333333334
cross,tyrus.csv,randomunder_randomsearch_svm,0.0,0.0,34.0,4.0,0.0,0.0,0.8233333333333335,0.0,0.0,0.0,0.4708333333333333
cross,joda-time.csv,randomunder_randomsearch_svm,0.0,0.0,395.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
cross,recast4j.csv,randomunder_randomsearch_svm,0.0,0.0,2.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.125
cross,vertx-completable-future.csv,randomunder_randomsearch_svm,0.0,0.0,12.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
cross,jfreechart.csv,randomunder_randomsearch_svm,0.0,0.0,560.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
cross,elastic-job-lite.csv,randomunder_randomsearch_svm,0.0,0.0,140.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
cross,luwak.csv,randomunder_randomsearch_svm,0.0,0.0,24.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
