Type,ProjectTest,ModelBalance,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
cross,wikidata-toolkit.csv,nearmissunder2_randomsearch_adaboost,3.0,58.0,123.0,16.0,0.0559523809523809,0.175,0.6257361017309867,0.3095554571411348,0.075,-0.0957545008436364,0.187663758845824
cross,marine-api.csv,nearmissunder2_randomsearch_adaboost,0.0,28.0,60.0,3.0,0.0,0.0,0.6476731601731601,0.3118506493506493,0.0,-0.0970165919165476,0.0952380952380952
cross,undertow.csv,nearmissunder2_randomsearch_adaboost,0.0,0.0,2.0,3.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.2666666666666666
cross,admiral.csv,nearmissunder2_randomsearch_adaboost,28.0,222.0,151.0,25.0,0.1116608936165387,0.5401587301587302,0.4234711337717791,0.5857111068439138,0.1812487203199277,-0.044306824262976,0.1217006658921665
cross,wildfly-maven-plugin.csv,nearmissunder2_randomsearch_adaboost,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1111111111111111
cross,wro4j.csv,nearmissunder2_randomsearch_adaboost,1.0,157.0,185.0,0.0,0.0058823529411764,0.1,0.5363484676773155,0.4663542350253872,0.0111111111111111,0.0180775381515546,0.0416666666666666
cross,incubator-dubbo.csv,nearmissunder2_randomsearch_adaboost,12.0,115.0,229.0,15.0,0.0939189976689976,0.4166666666666667,0.654809755614959,0.3372906662536393,0.1514309340470331,0.0605074208601267,0.1405678623611934
cross,querydsl.csv,nearmissunder2_randomsearch_adaboost,30.0,407.0,142.0,6.0,0.0704194268409657,0.8583333333333332,0.297334089682043,0.7454513592894223,0.1282911024533299,0.0562649358159085,0.1805095973014658
cross,activiti.csv,nearmissunder2_randomsearch_adaboost,9.0,3.0,11.0,2.0,0.5083333333333333,0.525,0.7714285714285714,0.3071428571428571,0.4916666666666666,0.2916666666666667,0.8078231292517007
cross,webcollector.csv,nearmissunder2_randomsearch_adaboost,0.0,1.0,1.0,1.0,0.0,0.0,0.05,0.05,0.0,0.0,0.1111111111111111
cross,sawmill.csv,nearmissunder2_randomsearch_adaboost,28.0,7.0,7.0,25.0,0.8300000000000001,0.5178571428571428,0.5292063492063492,0.5141269841269841,0.6293589743589744,0.0406119438209402,0.8555654761904762
cross,helios.csv,nearmissunder2_randomsearch_adaboost,11.0,56.0,35.0,7.0,0.1535353535353535,0.5333333333333333,0.4276973026973027,0.6077905427905428,0.2238239538239538,0.0314554333358317,0.3678864538239538
cross,fastjson.csv,nearmissunder2_randomsearch_adaboost,67.0,116.0,159.0,122.0,0.3645964584664275,0.359255940362415,0.4895180944094731,0.3960008377362508,0.3596643382357667,-0.0650710265413968,0.4923622384240643
cross,dropwizard.csv,nearmissunder2_randomsearch_adaboost,10.0,93.0,155.0,12.0,0.0906442577030812,0.4785714285714285,0.6189562262810316,0.3763001004269079,0.1433089743074263,0.0634387790943536,0.091587386683267
cross,c2mon.csv,nearmissunder2_randomsearch_adaboost,7.0,62.0,86.0,13.0,0.1018925518925518,0.215,0.553320707070707,0.4060588023088023,0.1285714285714285,-0.0546973813703829,0.2393806392020678
cross,rxjava2-extras.csv,nearmissunder2_randomsearch_adaboost,5.0,37.0,39.0,9.0,0.1172222222222222,0.29,0.4926406926406926,0.4586850649350649,0.1519047619047619,-0.1231861446962465,0.3087431858265191
cross,delight-nashorn-sandbox.csv,nearmissunder2_randomsearch_adaboost,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
cross,alien4cloud.csv,nearmissunder2_randomsearch_adaboost,2.0,59.0,16.0,4.0,0.0267857142857142,0.1333333333333333,0.1958874458874459,0.7827561327561328,0.0431818181818181,-0.1514579434024278,0.2123106060606061
cross,fluent-logger-java.csv,nearmissunder2_randomsearch_adaboost,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
cross,hutool.csv,nearmissunder2_randomsearch_adaboost,20.0,15.0,60.0,31.0,0.5297619047619048,0.3526190476190476,0.6222585747585747,0.2804682817182817,0.4048629148629148,0.1448170922691738,0.4917806657628086
cross,db-scheduler.csv,nearmissunder2_randomsearch_adaboost,1.0,2.0,2.0,3.0,0.3,0.25,0.25,0.2,0.2666666666666666,-0.1,0.4722222222222222
cross,timely.csv,nearmissunder2_randomsearch_adaboost,13.0,10.0,14.0,19.0,0.4383333333333333,0.4071428571428571,0.4748412698412698,0.4331746031746031,0.3780952380952381,-0.0592103126953718,0.624563492063492
cross,vertexium.csv,nearmissunder2_randomsearch_adaboost,39.0,8.0,13.0,24.0,0.8678571428571429,0.613095238095238,0.6003571428571428,0.5571428571428572,0.6838461538461538,0.227975286578711,0.8310274943310658
cross,pippo.csv,nearmissunder2_randomsearch_adaboost,1.0,20.0,39.0,0.0,0.05,0.1,0.6209920634920635,0.4123412698412698,0.0666666666666666,0.05,0.25
cross,search-highlighter.csv,nearmissunder2_randomsearch_adaboost,13.0,15.0,12.0,7.0,0.5433333333333332,0.7083333333333333,0.5791666666666666,0.5691666666666666,0.5871428571428571,0.0780443896092736,0.5607539682539683
cross,vertx-mqtt.csv,nearmissunder2_randomsearch_adaboost,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
