,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc
0,79.0,159.0,0.0,0.0,0.3319327731092437,1.0,0.3319327731092437,1.0,0.49842271293375395,0.0
1,79.0,159.0,0.0,0.0,0.3319327731092437,1.0,0.3319327731092437,1.0,0.49842271293375395,0.0
2,78.0,159.0,0.0,0.0,0.3291139240506329,1.0,0.3291139240506329,1.0,0.4952380952380952,0.0
3,78.0,159.0,0.0,0.0,0.3291139240506329,1.0,0.3291139240506329,1.0,0.4952380952380952,0.0
4,78.0,159.0,0.0,0.0,0.3291139240506329,1.0,0.3291139240506329,1.0,0.4952380952380952,0.0
5,78.0,159.0,0.0,0.0,0.3291139240506329,1.0,0.3291139240506329,1.0,0.4952380952380952,0.0
6,78.0,159.0,0.0,0.0,0.3291139240506329,1.0,0.3291139240506329,1.0,0.4952380952380952,0.0
7,78.0,159.0,0.0,0.0,0.3291139240506329,1.0,0.3291139240506329,1.0,0.4952380952380952,0.0
8,78.0,159.0,0.0,0.0,0.3291139240506329,1.0,0.3291139240506329,1.0,0.4952380952380952,0.0
9,78.0,159.0,0.0,0.0,0.3291139240506329,1.0,0.3291139240506329,1.0,0.4952380952380952,0.0
10,782.0,1590.0,0.0,0.0,0.329677693862355,1.0,0.329677693862355,0.495875018777227,0.0,
