,idProject,nameProject,productionClass,testCase,isEagerTest,isEagerTestManual,prediction
0,8.0,hutool,BeanPath,cn.hutool.core.bean.beanpathtest.beanpathtest3,False,False,False
4,8.0,hutool,BeanUtil,cn.hutool.core.bean.beanutiltest.trimbeanstrfieldstest,False,False,False
5,8.0,hutool,CollUtil,cn.hutool.core.collection.collutiltest.filtertest,False,True,False
25,8.0,hutool,DateUtil,cn.hutool.core.date.dateutiltest.parsetodatetimetest4,False,True,False
37,8.0,hutool,FileUtil,cn.hutool.core.io.fileutiltest.getwebroottest,True,False,True
42,8.0,hutool,Snowflake,cn.hutool.core.lang.snowflaketest.snowflaketest1,False,True,False
51,8.0,hutool,CsvParser,cn.hutool.core.text.csv.csvparsertest.parsetest3,False,True,False
54,8.0,hutool,StrBuilder,cn.hutool.core.text.strbuildertest.inserttest2,False,False,False
71,8.0,hutool,ImageUtil,cn.hutool.core.util.imageutiltest.converttest,False,False,False
76,8.0,hutool,NumberUtil,cn.hutool.core.util.numberutiltest.equalstest,False,False,False
100,8.0,hutool,Sign,cn.hutool.crypto.test.signtest.signandverifyusekeytest,False,True,False
114,8.0,hutool,JSONObject,cn.hutool.json.jsonobjecttest.parsestringtest,False,False,False
117,8.0,hutool,JSONUtil,cn.hutool.json.jsonutiltest.getstrtest2,True,False,True
2,8.0,hutool,BeanUtil,cn.hutool.core.bean.beanutiltest.fillbeanwithmapignorecasetest,False,False,False
10,8.0,hutool,VersionComparator,cn.hutool.core.comparator.versioncomparatortest.versioncomparatortest4,False,False,False
15,8.0,hutool,Convert,cn.hutool.core.convert.converttest.todatetest,True,True,False
35,8.0,hutool,FileUtil,cn.hutool.core.io.fileutiltest.filetest,False,False,False
40,8.0,hutool,ClassScaner,cn.hutool.core.lang.classscanertest.scantest,True,True,True
69,8.0,hutool,IdUtil,cn.hutool.core.util.idutiltest.objectidtest,False,False,False
74,8.0,hutool,ImageUtil,cn.hutool.core.util.imageutiltest.slicebyrowsandcolstest,False,False,False
82,8.0,hutool,ReUtil,cn.hutool.core.util.reutiltest.ismatchtest,True,False,True
83,8.0,hutool,ReUtil,cn.hutool.core.util.reutiltest.replacetest,True,True,True
