Type,nameProject,ModelBalance,tp,fp,tn,fn,precision,recall,accuracy,f1_score,mcc
detector,achilles,tsdetect_cross,0,2,19,82,0.0,0.0,0.18446601941747573,0.0,-0.27806836913981664
detector,activiti,tsdetect_cross,6,0,13,6,1.0,0.5,0.76,0.6666666666666666,0.5848976518656018
detector,admiral,tsdetect_cross,6,89,284,47,0.06315789473684211,0.11320754716981132,0.6807511737089202,0.08108108108108109,-0.09942792511030203
detector,aismessages,tsdetect_cross,0,0,12,0,0.0,0.0,1.0,0.0,0.0
detector,aletheia,tsdetect_cross,0,0,7,0,0.0,0.0,1.0,0.0,0.0
detector,alien4cloud,tsdetect_cross,1,3,72,5,0.25,0.16666666666666666,0.9012345679012346,0.2,0.15310636316482226
detector,c2mon,tsdetect_cross,4,13,135,16,0.23529411764705882,0.2,0.8273809523809523,0.2162162162162162,0.12044237030546408
detector,carbon-apimgt,tsdetect_cross,0,11,37,9,0.0,0.0,0.6491228070175439,0.0,-0.21174738846497998
detector,cukes,tsdetect_cross,0,3,12,0,0.0,0.0,0.8,0.0,0.0
detector,db-scheduler,tsdetect_cross,2,1,1,4,0.6666666666666666,0.3333333333333333,0.375,0.4444444444444444,-0.14907119849998599
detector,delight-nashorn-sandbox,tsdetect_cross,0,0,0,1,0.0,0.0,0.0,0.0,0.0
detector,dnsjava,tsdetect_cross,0,3,62,54,0.0,0.0,0.5210084033613446,0.0,-0.14657902694650266
detector,dropwizard,tsdetect_cross,0,7,241,22,0.0,0.0,0.8925925925925926,0.0,-0.04859109049815942
detector,elastic-job-lite,tsdetect_cross,0,0,127,13,0.0,0.0,0.9071428571428571,0.0,0.0
detector,esper,tsdetect_cross,8,5,74,61,0.6153846153846154,0.11594202898550725,0.5540540540540541,0.1951219512195122,0.09279086971496085
detector,fastjson,tsdetect_cross,1,0,275,188,1.0,0.005291005291005291,0.5948275862068966,0.010526315789473682,0.05605894874503437
detector,fluent-logger-java,tsdetect_cross,0,0,0,2,0.0,0.0,0.0,0.0,0.0
detector,hadoop,tsdetect_cross,231,291,1299,551,0.4425287356321839,0.29539641943734013,0.6450252951096122,0.35429447852760737,0.12751473961985385
detector,hbase,tsdetect_cross,117,49,201,359,0.7048192771084337,0.24579831932773108,0.4380165289256198,0.3644859813084112,0.05634301835987861
detector,helios,tsdetect_cross,6,20,71,12,0.23076923076923078,0.3333333333333333,0.7064220183486238,0.27272727272727276,0.09893051624229113
detector,hsac-fitnesse-fixtures,tsdetect_cross,0,2,51,1,0.0,0.0,0.9444444444444444,0.0,-0.026938622922018266
detector,http-request,tsdetect_cross,0,7,29,0,0.0,0.0,0.8055555555555556,0.0,0.0
detector,hutool,tsdetect_cross,0,0,75,51,0.0,0.0,0.5952380952380952,0.0,0.0
detector,incubator-dubbo,tsdetect_cross,3,21,323,24,0.125,0.1111111111111111,0.8787061994609164,0.11764705882352941,0.05287148289137345
detector,java-websocket,tsdetect_cross,0,0,12,84,0.0,0.0,0.125,0.0,0.0
detector,jfreechart,tsdetect_cross,2,3,335,220,0.4,0.009009009009009009,0.6017857142857143,0.017621145374449337,0.000693000693000693
detector,jhipster-registry,tsdetect_cross,0,0,11,3,0.0,0.0,0.7857142857142857,0.0,0.0
detector,jimfs,tsdetect_cross,1,14,53,0,0.06666666666666667,1.0,0.7941176470588235,0.125,0.22964389477615163
detector,joda-time,tsdetect_cross,2,9,375,9,0.18181818181818182,0.18181818181818182,0.9544303797468354,0.18181818181818182,0.15838068181818182
detector,junit-quickcheck,tsdetect_cross,1,0,28,10,1.0,0.09090909090909091,0.7435897435897436,0.16666666666666669,0.2588158533262875
detector,luwak,tsdetect_cross,0,0,24,0,0.0,0.0,1.0,0.0,0.0
detector,marine-api,tsdetect_cross,0,0,88,3,0.0,0.0,0.967032967032967,0.0,0.0
detector,nexus-repository-helm,tsdetect_cross,0,1,3,0,0.0,0.0,0.75,0.0,0.0
detector,noxy,tsdetect_cross,0,0,4,2,0.0,0.0,0.6666666666666666,0.0,0.0
detector,oci-java-sdk,tsdetect_cross,5,0,30,12,1.0,0.29411764705882354,0.7446808510638298,0.45454545454545453,0.45834924851410563
detector,one,tsdetect_cross,0,0,1,1,0.0,0.0,0.5,0.0,0.0
detector,openpojo,tsdetect_cross,1,10,123,4,0.09090909090909091,0.2,0.8985507246376812,0.12500000000000003,0.08611306885270208
detector,orbit,tsdetect_cross,0,0,8,3,0.0,0.0,0.7272727272727273,0.0,0.0
detector,oryx,tsdetect_cross,0,2,86,13,0.0,0.0,0.8514851485148515,0.0,-0.05462956477975742
detector,otto,tsdetect_cross,0,0,3,4,0.0,0.0,0.42857142857142855,0.0,0.0
detector,pippo,tsdetect_cross,0,1,58,1,0.0,0.0,0.9666666666666667,0.0,-0.01694915254237288
detector,querydsl,tsdetect_cross,7,117,432,29,0.056451612903225805,0.19444444444444445,0.7504273504273504,0.08750000000000001,-0.010978111521801346
detector,recast4j,tsdetect_cross,1,1,0,1,0.5,0.5,0.3333333333333333,0.5,-0.5
detector,redpipe,tsdetect_cross,0,0,0,1,0.0,0.0,0.0,0.0,0.0
detector,retrofit,tsdetect_cross,23,27,23,25,0.46,0.4791666666666667,0.46938775510204084,0.46938775510204084,-0.060833333333333336
detector,riptide,tsdetect_cross,0,1,47,8,0.0,0.0,0.8392857142857143,0.0,-0.055048188256318034
detector,rxjava2-extras,tsdetect_cross,0,10,66,14,0.0,0.0,0.7333333333333333,0.0,-0.151744244666721
detector,sawmill,tsdetect_cross,8,2,12,45,0.8,0.1509433962264151,0.29850746268656714,0.25396825396825395,0.009225966427353566
detector,search-highlighter,tsdetect_cross,5,6,20,16,0.45454545454545453,0.23809523809523808,0.5319148936170213,0.31249999999999994,0.008602329568208486
detector,spring-boot,tsdetect_cross,1,1,15,3,0.5,0.25,0.8,0.3333333333333333,0.25
detector,spring-cloud-zuul-ratelimit,tsdetect_cross,0,0,7,8,0.0,0.0,0.4666666666666667,0.0,0.0
detector,spring-ws,tsdetect_cross,3,2,57,91,0.6,0.031914893617021274,0.39215686274509803,0.0606060606060606,-0.0054298382516561
detector,struts,tsdetect_cross,0,9,92,4,0.0,0.0,0.8761904761904762,0.0,-0.060933334777679066
detector,timely,tsdetect_cross,3,0,24,29,1.0,0.09375,0.48214285714285715,0.17142857142857143,0.20604084592303354
detector,tyrus,tsdetect_cross,0,11,27,0,0.0,0.0,0.7105263157894737,0.0,0.0
detector,undertow,tsdetect_cross,0,0,2,3,0.0,0.0,0.4,0.0,0.0
detector,unix4j,tsdetect_cross,0,22,46,9,0.0,0.0,0.5974025974025974,0.0,-0.23008949665421113
detector,vertexium,tsdetect_cross,8,3,18,55,0.7272727272727273,0.12698412698412698,0.30952380952380953,0.2162162162162162,-0.020374248554268202
detector,vertx-completable-future,tsdetect_cross,0,0,12,0,0.0,0.0,1.0,0.0,0.0
detector,vertx-mqtt,tsdetect_cross,0,0,0,3,0.0,0.0,0.0,0.0,0.0
detector,webcollector,tsdetect_cross,0,0,2,1,0.0,0.0,0.6666666666666666,0.0,0.0
detector,wikidata-toolkit,tsdetect_cross,1,3,178,18,0.25,0.05263157894736842,0.895,0.08695652173913043,0.07551749333332251
detector,wildfly,tsdetect_cross,0,6,11,0,0.0,0.0,0.6470588235294118,0.0,0.0
detector,wildfly-maven-plugin,tsdetect_cross,0,0,1,1,0.0,0.0,0.5,0.0,0.0
detector,wro4j,tsdetect_cross,0,22,320,1,0.0,0.0,0.9329446064139941,0.0,-0.014156170058206961
detector,yawp,tsdetect_cross,0,17,33,0,0.0,0.0,0.66,0.0,0.0
