nameProject,tp,fp,tn,fn,precision,recall,accuracy,f1_score,mcc
jfreechart,0,0,558,2,0.0,0.0,0.9964285714285714,0.0,0.0
jhipster-registry,0,1,13,0,0.0,0.0,0.9285714285714286,0.0,0.0
jimfs,0,26,42,0,0.0,0.0,0.6176470588235294,0.0,0.0
joda-time,0,0,395,0,0.0,0.0,1.0,0.0,0.0
junit-quickcheck,0,1,38,0,0.0,0.0,0.9743589743589743,0.0,0.0
luwak,0,2,22,0,0.0,0.0,0.9166666666666666,0.0,0.0
marine-api,0,1,90,0,0.0,0.0,0.989010989010989,0.0,0.0
nexus-repository-helm,0,1,3,0,0.0,0.0,0.75,0.0,0.0
noxy,0,0,6,0,0.0,0.0,1.0,0.0,0.0
oci-java-sdk,4,6,37,0,0.4,1.0,0.8723404255319149,0.5714285714285715,0.58667371384069
one,0,1,1,0,0.0,0.0,0.5,0.0,0.0
openpojo,2,1,135,0,0.6666666666666666,1.0,0.9927536231884058,0.8,0.8134892168199607
orbit,0,2,9,0,0.0,0.0,0.8181818181818182,0.0,0.0
oryx,8,3,61,29,0.7272727272727273,0.21621621621621623,0.6831683168316832,0.33333333333333337,0.26190025802630507
otto,0,0,7,0,0.0,0.0,1.0,0.0,0.0
pippo,0,10,50,0,0.0,0.0,0.8333333333333334,0.0,0.0
querydsl,8,14,562,1,0.36363636363636365,0.8888888888888888,0.9743589743589743,0.5161290322580644,0.5593373466868415
recast4j,0,0,2,1,0.0,0.0,0.6666666666666666,0.0,0.0
redpipe,0,0,0,1,0.0,0.0,0.0,0.0,0.0
retrofit,0,3,93,2,0.0,0.0,0.9489795918367347,0.0,-0.025649458802128853
riptide,0,2,54,0,0.0,0.0,0.9642857142857143,0.0,0.0
rxjava2-extras,0,12,78,0,0.0,0.0,0.8666666666666667,0.0,0.0
sawmill,0,1,65,1,0.0,0.0,0.9701492537313433,0.0,-0.015151515151515152
search-highlighter,0,0,47,0,0.0,0.0,1.0,0.0,0.0
spring-boot,0,5,15,0,0.0,0.0,0.75,0.0,0.0
spring-cloud-zuul-ratelimit,0,0,15,0,0.0,0.0,1.0,0.0,0.0
spring-ws,1,58,94,0,0.01694915254237288,1.0,0.6209150326797386,0.03333333333333333,0.10238023616141662
struts,2,22,74,7,0.08333333333333333,0.2222222222222222,0.7238095238095238,0.12121212121212122,-0.004629629629629629
