Type,nameProject,ModelBalance,tp,fp,tn,fn,precision,recall,accuracy,f1_score,mcc
detector,achilles,darts_cross,2,0,21,80,1.0,0.024390243902439025,0.22330097087378642,0.047619047619047616,0.07121263112117256
detector,activiti,darts_cross,1,3,10,11,0.25,0.08333333333333333,0.44,0.125,-0.200921260371701
detector,admiral,darts_cross,10,130,243,43,0.07142857142857142,0.18867924528301888,0.5938967136150235,0.10362694300518134,-0.11231756964310677
detector,aismessages,darts_cross,0,2,10,0,0.0,0.0,0.8333333333333334,0.0,0.0
detector,aletheia,darts_cross,0,3,4,0,0.0,0.0,0.5714285714285714,0.0,0.0
detector,alien4cloud,darts_cross,3,9,66,3,0.25,0.5,0.8518518518518519,0.3333333333333333,0.28013971669430454
detector,c2mon,darts_cross,4,22,126,16,0.15384615384615385,0.2,0.7738095238095238,0.17391304347826086,0.04597977971140311
detector,carbon-apimgt,darts_cross,0,5,43,9,0.0,0.0,0.7543859649122807,0.0,-0.13427153888239365
detector,cukes,darts_cross,0,2,13,0,0.0,0.0,0.8666666666666667,0.0,0.0
detector,db-scheduler,darts_cross,1,2,0,5,0.3333333333333333,0.16666666666666666,0.125,0.2222222222222222,-0.7453559924999299
detector,delight-nashorn-sandbox,darts_cross,0,0,0,1,0.0,0.0,0.0,0.0,0.0
detector,dnsjava,darts_cross,11,13,52,43,0.4583333333333333,0.2037037037037037,0.5294117647058824,0.28205128205128205,0.004595389954825062
detector,dropwizard,darts_cross,13,74,174,9,0.14942528735632185,0.5909090909090909,0.6925925925925925,0.23853211009174313,0.17124209602561674
detector,elastic-job-lite,darts_cross,1,10,117,12,0.09090909090909091,0.07692307692307693,0.8428571428571429,0.08333333333333334,-0.0019600020263818092
detector,esper,darts_cross,18,26,53,51,0.4090909090909091,0.2608695652173913,0.4797297297297297,0.3185840707964602,-0.07448380269019463
detector,fastjson,darts_cross,84,89,186,105,0.48554913294797686,0.4444444444444444,0.5818965517241379,0.4640883977900552,0.12275061819803722
detector,fluent-logger-java,darts_cross,0,0,0,2,0.0,0.0,0.0,0.0,0.0
detector,hadoop,darts_cross,284,497,1093,498,0.36363636363636365,0.3631713554987212,0.5805227655986509,0.36340371081254,0.050609206159731496
detector,hbase,darts_cross,185,92,158,291,0.6678700361010831,0.38865546218487396,0.4724517906336088,0.4913678618857901,0.020204371383051006
detector,helios,darts_cross,4,25,66,14,0.13793103448275862,0.2222222222222222,0.6422018348623854,0.1702127659574468,-0.04411614038858756
