,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,7.0,16.0,18.0,15.0,0.30434782608695654,0.3181818181818182,0.44642857142857145,0.4107142857142857,0.31111111111111117,-0.15129799209548034,0.4451933935629588
1,6.0,10.0,24.0,16.0,0.375,0.2727272727272727,0.5357142857142857,0.2857142857142857,0.3157894736842105,-0.023124864503144014,0.3720973124098124
2,7.0,16.0,18.0,15.0,0.30434782608695654,0.3181818181818182,0.44642857142857145,0.4107142857142857,0.31111111111111117,-0.15129799209548034,0.37283990123664035
3,10.0,12.0,22.0,12.0,0.45454545454545453,0.45454545454545453,0.5714285714285714,0.39285714285714285,0.45454545454545453,0.10160427807486631,0.47601628496394277
4,7.0,16.0,18.0,15.0,0.30434782608695654,0.3181818181818182,0.44642857142857145,0.4107142857142857,0.31111111111111117,-0.15129799209548034,0.3801924955771805
5,8.0,8.0,26.0,14.0,0.5,0.36363636363636365,0.6071428571428571,0.2857142857142857,0.4210526315789474,0.1387491870188641,0.5005529107115794
6,10.0,13.0,21.0,12.0,0.43478260869565216,0.45454545454545453,0.5535714285714286,0.4107142857142857,0.4444444444444445,0.07166746993996437,0.5173506445245576
7,10.0,15.0,19.0,12.0,0.4,0.45454545454545453,0.5178571428571429,0.44642857142857145,0.4255319148936171,0.013134040459920513,0.5344155844155845
8,8.0,16.0,17.0,15.0,0.3333333333333333,0.34782608695652173,0.44642857142857145,0.42857142857142855,0.3404255319148936,-0.13621716625008515,0.47450828157349895
9,10.0,17.0,16.0,13.0,0.37037037037037035,0.43478260869565216,0.4642857142857143,0.48214285714285715,0.39999999999999997,-0.07912761322523512,0.48032307188162726
10,83.0,139.0,199.0,139.0,0.378107524520568,0.3737154150197628,0.5035714285714286,0.39642857142857146,0.3735122784394901,-0.036720864477129,0.45534898808573826
