Type,Project,ModelBalance,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
within,achilles,adaboost,,,,,,,,,,,
within,achilles,adasyn_adaboost,,,,,,,,,,,
within,achilles,adasyn_decisiontree,,,,,,,,,,,
within,achilles,adasyn_multilayerperceptron,,,,,,,,,,,
within,achilles,adasyn_naivebayes,,,,,,,,,,,
within,achilles,adasyn_randomforest,,,,,,,,,,,
within,achilles,adasyn_randomsearch_adaboost,,,,,,,,,,,
within,achilles,adasyn_randomsearch_decisiontree,,,,,,,,,,,
within,achilles,adasyn_randomsearch_multilayerperceptron,,,,,,,,,,,
within,achilles,adasyn_randomsearch_naivebayes,,,,,,,,,,,
within,achilles,adasyn_randomsearch_randomforest,,,,,,,,,,,
within,achilles,adasyn_randomsearch_svm,,,,,,,,,,,
within,achilles,adasyn_svm,,,,,,,,,,,
within,achilles,borderlinesmote_adaboost,,,,,,,,,,,
within,achilles,borderlinesmote_decisiontree,,,,,,,,,,,
within,achilles,borderlinesmote_multilayerperceptron,,,,,,,,,,,
within,achilles,borderlinesmote_naivebayes,,,,,,,,,,,
within,achilles,borderlinesmote_randomforest,,,,,,,,,,,
within,achilles,borderlinesmote_randomsearch_adaboost,,,,,,,,,,,
within,achilles,borderlinesmote_randomsearch_decisiontree,,,,,,,,,,,
within,achilles,borderlinesmote_randomsearch_multilayerperceptron,,,,,,,,,,,
within,achilles,borderlinesmote_randomsearch_naivebayes,,,,,,,,,,,
within,achilles,borderlinesmote_randomsearch_randomforest,,,,,,,,,,,
within,achilles,borderlinesmote_randomsearch_svm,,,,,,,,,,,
within,achilles,borderlinesmote_svm,,,,,,,,,,,
within,achilles,decisiontree,,,,,,,,,,,
within,achilles,multilayerperceptron,,,,,,,,,,,
within,achilles,naivebayes,,,,,,,,,,,
within,achilles,nearmissunder1_adaboost,,,,,,,,,,,
within,achilles,nearmissunder1_decisiontree,,,,,,,,,,,
within,achilles,nearmissunder1_multilayerperceptron,,,,,,,,,,,
within,achilles,nearmissunder1_naivebayes,,,,,,,,,,,
within,achilles,nearmissunder1_randomforest,,,,,,,,,,,
within,achilles,nearmissunder1_randomsearch_adaboost,,,,,,,,,,,
within,achilles,nearmissunder1_randomsearch_decisiontree,,,,,,,,,,,
within,achilles,nearmissunder1_randomsearch_multilayerperceptron,,,,,,,,,,,
within,achilles,nearmissunder1_randomsearch_naivebayes,,,,,,,,,,,
within,achilles,nearmissunder1_randomsearch_randomforest,,,,,,,,,,,
within,achilles,nearmissunder1_randomsearch_svm,,,,,,,,,,,
within,achilles,nearmissunder1_svm,,,,,,,,,,,
within,achilles,nearmissunder2_adaboost,,,,,,,,,,,
within,achilles,nearmissunder2_decisiontree,,,,,,,,,,,
within,achilles,nearmissunder2_multilayerperceptron,,,,,,,,,,,
within,achilles,nearmissunder2_naivebayes,,,,,,,,,,,
within,achilles,nearmissunder2_randomforest,,,,,,,,,,,
within,achilles,nearmissunder2_randomsearch_adaboost,,,,,,,,,,,
within,achilles,nearmissunder2_randomsearch_decisiontree,,,,,,,,,,,
within,achilles,nearmissunder2_randomsearch_multilayerperceptron,,,,,,,,,,,
within,achilles,nearmissunder2_randomsearch_naivebayes,,,,,,,,,,,
within,achilles,nearmissunder2_randomsearch_randomforest,,,,,,,,,,,
within,achilles,nearmissunder2_randomsearch_svm,,,,,,,,,,,
within,achilles,nearmissunder2_svm,,,,,,,,,,,
within,achilles,nearmissunder3_adaboost,,,,,,,,,,,
within,achilles,nearmissunder3_decisiontree,,,,,,,,,,,
within,achilles,nearmissunder3_multilayerperceptron,,,,,,,,,,,
within,achilles,nearmissunder3_naivebayes,,,,,,,,,,,
within,achilles,nearmissunder3_randomforest,,,,,,,,,,,
within,achilles,nearmissunder3_randomsearch_adaboost,,,,,,,,,,,
within,achilles,nearmissunder3_randomsearch_decisiontree,,,,,,,,,,,
within,achilles,nearmissunder3_randomsearch_multilayerperceptron,,,,,,,,,,,
within,achilles,nearmissunder3_randomsearch_naivebayes,,,,,,,,,,,
within,achilles,nearmissunder3_randomsearch_randomforest,,,,,,,,,,,
within,achilles,nearmissunder3_randomsearch_svm,,,,,,,,,,,
within,achilles,nearmissunder3_svm,,,,,,,,,,,
within,achilles,randomforest,,,,,,,,,,,
within,achilles,randomover_adaboost,,,,,,,,,,,
within,achilles,randomover_decisiontree,,,,,,,,,,,
within,achilles,randomover_multilayerperceptron,,,,,,,,,,,
within,achilles,randomover_naivebayes,,,,,,,,,,,
within,achilles,randomover_randomforest,,,,,,,,,,,
within,achilles,randomover_randomsearch_adaboost,,,,,,,,,,,
within,achilles,randomover_randomsearch_decisiontree,,,,,,,,,,,
within,achilles,randomover_randomsearch_multilayerperceptron,,,,,,,,,,,
within,achilles,randomover_randomsearch_naivebayes,,,,,,,,,,,
within,achilles,randomover_randomsearch_randomforest,,,,,,,,,,,
within,achilles,randomover_randomsearch_svm,,,,,,,,,,,
within,achilles,randomover_svm,,,,,,,,,,,
within,achilles,randomunder_adaboost,,,,,,,,,,,
within,achilles,randomunder_decisiontree,,,,,,,,,,,
within,achilles,randomunder_multilayerperceptron,,,,,,,,,,,
within,achilles,randomunder_naivebayes,,,,,,,,,,,
within,achilles,randomunder_randomforest,,,,,,,,,,,
within,achilles,randomunder_randomsearch_adaboost,,,,,,,,,,,
within,achilles,randomunder_randomsearch_decisiontree,,,,,,,,,,,
within,achilles,randomunder_randomsearch_multilayerperceptron,,,,,,,,,,,
within,achilles,randomunder_randomsearch_naivebayes,,,,,,,,,,,
within,achilles,randomunder_randomsearch_randomforest,,,,,,,,,,,
within,achilles,randomunder_randomsearch_svm,,,,,,,,,,,
within,achilles,randomunder_svm,,,,,,,,,,,
within,achilles,smoteover_adaboost,,,,,,,,,,,
within,achilles,smoteover_decisiontree,,,,,,,,,,,
within,achilles,smoteover_multilayerperceptron,,,,,,,,,,,
within,achilles,smoteover_naivebayes,,,,,,,,,,,
within,achilles,smoteover_randomforest,,,,,,,,,,,
within,achilles,smoteover_randomsearch_adaboost,,,,,,,,,,,
within,achilles,smoteover_randomsearch_decisiontree,,,,,,,,,,,
within,achilles,smoteover_randomsearch_multilayerperceptron,,,,,,,,,,,
within,achilles,smoteover_randomsearch_naivebayes,,,,,,,,,,,
within,achilles,smoteover_randomsearch_randomforest,,,,,,,,,,,
within,achilles,smoteover_randomsearch_svm,,,,,,,,,,,
within,achilles,smoteover_svm,,,,,,,,,,,
within,achilles,svm,,,,,,,,,,,
within,activiti,adaboost,,,,,,,,,,,
within,activiti,adasyn_adaboost,,,,,,,,,,,
within,activiti,adasyn_decisiontree,,,,,,,,,,,
within,activiti,adasyn_multilayerperceptron,,,,,,,,,,,
within,activiti,adasyn_naivebayes,,,,,,,,,,,
within,activiti,adasyn_randomforest,,,,,,,,,,,
within,activiti,adasyn_randomsearch_adaboost,,,,,,,,,,,
within,activiti,adasyn_randomsearch_decisiontree,,,,,,,,,,,
within,activiti,adasyn_randomsearch_multilayerperceptron,,,,,,,,,,,
within,activiti,adasyn_randomsearch_naivebayes,,,,,,,,,,,
within,activiti,adasyn_randomsearch_randomforest,,,,,,,,,,,
within,activiti,adasyn_randomsearch_svm,,,,,,,,,,,
within,activiti,adasyn_svm,,,,,,,,,,,
within,activiti,borderlinesmote_adaboost,,,,,,,,,,,
within,activiti,borderlinesmote_decisiontree,,,,,,,,,,,
within,activiti,borderlinesmote_multilayerperceptron,,,,,,,,,,,
within,activiti,borderlinesmote_naivebayes,,,,,,,,,,,
within,activiti,borderlinesmote_randomforest,,,,,,,,,,,
within,activiti,borderlinesmote_randomsearch_adaboost,,,,,,,,,,,
within,activiti,borderlinesmote_randomsearch_decisiontree,,,,,,,,,,,
within,activiti,borderlinesmote_randomsearch_multilayerperceptron,,,,,,,,,,,
within,activiti,borderlinesmote_randomsearch_naivebayes,,,,,,,,,,,
within,activiti,borderlinesmote_randomsearch_randomforest,,,,,,,,,,,
within,activiti,borderlinesmote_randomsearch_svm,,,,,,,,,,,
within,activiti,borderlinesmote_svm,,,,,,,,,,,
within,activiti,decisiontree,,,,,,,,,,,
within,activiti,multilayerperceptron,,,,,,,,,,,
within,activiti,naivebayes,,,,,,,,,,,
within,activiti,nearmissunder1_adaboost,,,,,,,,,,,
