,Type,Project,ModelBalance,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
67,within,achilles,randomover_multilayerperceptron,6.0,0.0,65.0,32.0,0.5,0.15,0.6900000000000001,0.0590909090909091,0.2266666666666666,0.2255447320354421,0.66875
126,within,activiti,randomover_multilayerperceptron,2.0,21.0,2.0,0.0,0.0666666666666666,0.2,0.15,0.9166666666666666,0.1,0.0,0.4583333333333333
209,within,admiral,randomover_multilayerperceptron,58.0,112.0,173.0,83.0,0.2849418604651162,0.4071428571428571,0.5420265780730897,0.3998338870431894,0.2266802782819116,0.0274918109415274,0.5289916234502876
269,within,alien4cloud,randomover_multilayerperceptron,3.0,0.0,77.0,1.0,0.3,0.3,0.9875,0.0361111111111111,0.3,0.3,1.0
347,within,carbon-apimgt,randomover_multilayerperceptron,4.0,0.0,24.0,29.0,0.4,0.1249999999999999,0.4933333333333333,0.0733333333333333,0.19,0.1579937942444522,0.8158333333333333
393,within,cukes,randomover_multilayerperceptron,2.0,11.0,2.0,0.0,0.1,0.2,0.25,0.85,0.1333333333333333,0.0,0.75
476,within,dropwizard,randomover_multilayerperceptron,8.0,21.0,223.0,18.0,0.225,0.2833333333333333,0.8555555555555555,0.1074074074074074,0.2476190476190476,0.1759791453623687,0.3120257936507936
566,within,elastic-job-lite,randomover_multilayerperceptron,6.0,2.0,115.0,17.0,0.45,0.2666666666666666,0.8642857142857142,0.0571428571428571,0.3233333333333333,0.306085736391033,0.6272286047286048
627,within,fastjson,randomover_multilayerperceptron,2.0,4.0,457.0,1.0,0.15,0.2,0.9892691951896392,0.0128584643848288,0.1666666666666666,0.1699378606180235,0.6702127659574467
723,within,hadoop,randomover_multilayerperceptron,316.0,181.0,967.0,136.0,0.640560553894679,0.6988888888888889,0.8018749999999999,0.310625,0.6670986091818011,0.5289259977248806,0.6673932212458371
825,within,hbase,randomover_multilayerperceptron,38.0,59.0,577.0,52.0,0.4310351413292589,0.4222222222222221,0.8471270928462709,0.1336187214611872,0.4120278711731128,0.3345532243658655,0.3599796586856521
927,within,hutool,randomover_multilayerperceptron,8.0,8.0,104.0,6.0,0.5666666666666667,0.6,0.8916666666666666,0.125,0.58,0.5240039588115553,0.6362179487179487
1029,within,incubator-dubbo,randomover_multilayerperceptron,8.0,50.0,267.0,46.0,0.1777777777777777,0.1466666666666666,0.7429587482219062,0.1541963015647225,0.1261904761904762,-0.0230127020742718,0.1512890446989555
1131,within,jimfs,randomover_multilayerperceptron,17.0,7.0,37.0,7.0,0.725,0.75,0.7952380952380952,0.3571428571428571,0.689047619047619,0.5935877961124365,0.846547619047619
1215,within,oci-java-sdk,randomover_multilayerperceptron,2.0,4.0,34.0,7.0,0.15,0.2,0.7700000000000001,0.12,0.1666666666666666,0.0954124145231931,0.3972222222222222
1268,within,openpojo,randomover_multilayerperceptron,1.0,1.0,135.0,1.0,0.1,0.1,0.9857142857142858,0.0142857142857142,0.1,0.1,1.0
1352,within,oryx,randomover_multilayerperceptron,7.0,3.0,61.0,30.0,0.4833333333333334,0.1916666666666666,0.6718181818181818,0.0981818181818181,0.2685714285714285,0.2063183001339308,0.6670075757575759
1454,within,querydsl,randomover_multilayerperceptron,19.0,2.0,436.0,128.0,0.85,0.129047619047619,0.7777615429573348,0.0359146697837521,0.2176083591331269,0.2751621814633581,0.5947680092527564
1525,within,retrofit,randomover_multilayerperceptron,0.0,9.0,83.0,6.0,0.0,0.0,0.8488888888888889,0.0911111111111111,0.0,-0.0666666666666666,0.4675925925925926
1589,within,riptide,randomover_multilayerperceptron,6.0,50.0,0.0,0.0,0.1,0.6,0.1,1.0,0.1714285714285714,0.0,0.5
1654,within,rxjava2-extras,randomover_multilayerperceptron,1.0,7.0,80.0,2.0,0.05,0.1,0.9,0.0888888888888888,0.0666666666666666,0.0536437827766147,0.7083333333333334
1732,within,spring-boot,randomover_multilayerperceptron,2.0,2.0,11.0,5.0,0.2,0.2,0.65,0.2,0.2,0.2,0.75
1828,within,spring-ws,randomover_multilayerperceptron,3.0,56.0,80.0,14.0,0.0566666666666666,0.15,0.5420833333333335,0.3870833333333333,0.0821428571428571,-0.2060337776092771,0.0777564102564102
1930,within,struts,randomover_multilayerperceptron,6.0,8.0,77.0,14.0,0.375,0.3,0.7909090909090909,0.1327272727272727,0.3166666666666666,0.2294268704595052,0.4985885642135641
2002,within,unix4j,randomover_multilayerperceptron,3.0,0.0,72.0,2.0,0.3,0.3,0.975,0.0375,0.3,0.3,0.8291666666666668
2098,within,wikidata-toolkit,randomover_multilayerperceptron,3.0,11.0,169.0,17.0,0.1166666666666666,0.15,0.86,0.07,0.13,0.0722742438854919,0.3405090377458798
2200,within,wro4j,randomover_multilayerperceptron,32.0,9.0,271.0,31.0,0.8233333333333333,0.5142857142857142,0.8836134453781513,0.1197478991596638,0.6022727272727273,0.5760295788208781,0.6192826860480375
2272,within,yawp,randomover_multilayerperceptron,0.0,0.0,46.0,4.0,0.0,0.0,0.9200000000000002,0.0,0.0,0.0,0.4812499999999999
