,Type,Project,ModelBalance,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
67,within,achilles,randomover_multilayerperceptron,66.0,10.0,11.0,16.0,0.8828174603174602,0.8055555555555556,0.7481818181818182,0.7354545454545455,0.8318965494429891,0.3274604374679181,0.9044213213484048
157,within,activiti,randomover_multilayerperceptron,7.0,3.0,10.0,5.0,0.55,0.55,0.65,0.4,0.5333333333333333,0.3,0.6708333333333334
259,within,admiral,randomover_multilayerperceptron,31.0,145.0,228.0,22.0,0.1887990196078431,0.5700000000000001,0.608250276854928,0.4123477297895903,0.2771797810033104,0.1339087836511666,0.3367443977219751
343,within,alien4cloud,randomover_multilayerperceptron,2.0,13.0,62.0,4.0,0.1333333333333333,0.2,0.7930555555555555,0.1833333333333333,0.15,0.0952235750759981,0.5308333333333333
427,within,c2mon,randomover_multilayerperceptron,11.0,55.0,93.0,9.0,0.1683008658008657,0.55,0.6198529411764706,0.3911764705882353,0.2498962148962148,0.1246026301245932,0.1714053858722976
511,within,carbon-apimgt,randomover_multilayerperceptron,4.0,16.0,32.0,5.0,0.2333333333333333,0.4,0.6333333333333333,0.35,0.2833333333333333,0.1031386606212674,0.5091666666666668
583,within,dnsjava,randomover_multilayerperceptron,37.0,37.0,28.0,17.0,0.5013708513708515,0.6799999999999999,0.5454545454545454,0.621969696969697,0.5697182719241543,0.1180111564040297,0.5621074434824435
685,within,dropwizard,randomover_multilayerperceptron,7.0,65.0,183.0,15.0,0.0833333333333333,0.3166666666666666,0.7037037037037036,0.2666666666666666,0.1309090909090909,0.0258972783982886,0.3077392265644049
787,within,elastic-job-lite,randomover_multilayerperceptron,3.0,64.0,63.0,10.0,0.028525641025641,0.25,0.4714285714285714,0.4785714285714285,0.0496703296703296,-0.145010785313507,0.0718398268398268
877,within,esper,randomover_multilayerperceptron,38.0,27.0,52.0,31.0,0.5855555555555556,0.55,0.6066666666666667,0.4395238095238095,0.5619505494505495,0.2106593171178405,0.609688294509723
979,within,fastjson,randomover_multilayerperceptron,124.0,115.0,160.0,65.0,0.5186189739053516,0.6564327485380117,0.6122571692876966,0.5156336725254393,0.5731782539571374,0.2393891877551429,0.5848173135301964
1081,within,hadoop,randomover_multilayerperceptron,448.0,641.0,949.0,334.0,0.4128551766489819,0.5726874391431354,0.5889213913413467,0.4590947771513668,0.4769027369821069,0.1613899438922094,0.4219115796194086
1183,within,hbase,randomover_multilayerperceptron,240.0,85.0,164.0,237.0,0.7383105460431041,0.5027039007092198,0.5563356164383562,0.4474124809741247,0.592926175277295,0.1559770314312389,0.7708595157720376
1285,within,helios,randomover_multilayerperceptron,8.0,24.0,67.0,10.0,0.2533333333333333,0.45,0.6890909090909091,0.2918181818181818,0.3202380952380952,0.1472626932773237,0.3592460317460316
1387,within,hutool,randomover_multilayerperceptron,20.0,24.0,51.0,31.0,0.4958333333333333,0.39,0.5647435897435897,0.3442307692307692,0.4054112554112554,0.0855862643265663,0.5244761303511304
1489,within,incubator-dubbo,randomover_multilayerperceptron,14.0,118.0,226.0,13.0,0.1081749622926093,0.5166666666666667,0.6468705547652916,0.3559032716927454,0.1766007060572278,0.0964753388664212,0.1658141202630559
1591,within,java-websocket,randomover_multilayerperceptron,79.0,2.0,10.0,5.0,0.977777777777778,0.940277777777778,0.9277777777777778,0.8433333333333334,0.957124183006536,0.730886049358049,0.9689373897707232
1693,within,jfreechart,randomover_multilayerperceptron,137.0,162.0,176.0,85.0,0.4588049937975074,0.6167984189723319,0.5589285714285716,0.5339285714285714,0.5178700613956548,0.139064301178108,0.4897089737426608
1765,within,jhipster-registry,randomover_multilayerperceptron,1.0,2.0,9.0,2.0,0.1,0.1,0.7,0.25,0.1,0.1,0.65
1825,within,joda-time,randomover_multilayerperceptron,5.0,62.0,322.0,6.0,0.0699999999999999,0.45,0.8278846153846156,0.1696794871794871,0.1185064935064935,0.1215733973427795,0.1809159191986204
1903,within,junit-quickcheck,randomover_multilayerperceptron,3.0,7.0,21.0,8.0,0.175,0.3,0.625,0.2583333333333333,0.2066666666666666,0.0244016935856292,0.6166666666666667
1975,within,marine-api,randomover_multilayerperceptron,1.0,14.0,74.0,2.0,0.0333333333333333,0.1,0.8244444444444443,0.1655555555555555,0.05,0.0388888888888888,0.4125
2071,within,oci-java-sdk,randomover_multilayerperceptron,9.0,7.0,23.0,8.0,0.5333333333333333,0.55,0.6799999999999999,0.345,0.5,0.3391411538058256,0.6820833333333334
2155,within,openpojo,randomover_multilayerperceptron,2.0,7.0,126.0,3.0,0.15,0.2,0.9285714285714284,0.0642857142857142,0.1666666666666666,0.1448596989717527,0.4657509157509157
2251,within,oryx,randomover_multilayerperceptron,5.0,27.0,61.0,8.0,0.1316666666666666,0.35,0.6545454545454545,0.3154545454545454,0.1871428571428571,0.0247850876538248,0.3314583333333333
2353,within,querydsl,randomover_multilayerperceptron,25.0,135.0,414.0,11.0,0.156031746031746,0.6833333333333333,0.750467562828755,0.2734365867913501,0.2527333218074906,0.2386280571107061,0.2424933180029386
2443,within,retrofit,randomover_multilayerperceptron,30.0,23.0,27.0,18.0,0.5733333333333334,0.63,0.5822222222222222,0.5422222222222222,0.5905050505050504,0.1734580063708274,0.5595734126984128
2527,within,riptide,randomover_multilayerperceptron,3.0,9.0,39.0,5.0,0.2,0.3,0.7633333333333334,0.2099999999999999,0.2333333333333333,0.1165158840195836,0.6375
2611,within,rxjava2-extras,randomover_multilayerperceptron,12.0,13.0,63.0,2.0,0.49,0.85,0.8333333333333333,0.2777777777777778,0.6038095238095237,0.5548091034860708,0.4333333333333333
2713,within,sawmill,randomover_multilayerperceptron,45.0,2.0,12.0,8.0,0.9633333333333336,0.85,0.8452380952380952,0.7,0.8945959595959596,0.6372364840400693,0.946031746031746
2802,within,search-highlighter,randomover_multilayerperceptron,11.0,9.0,17.0,10.0,0.4916666666666666,0.5333333333333333,0.605,0.425,0.4933333333333333,0.1798311166827164,0.6938888888888889
2886,within,spring-boot,randomover_multilayerperceptron,2.0,3.0,13.0,2.0,0.15,0.2,0.75,0.25,0.1666666666666666,0.1,0.55
2970,within,spring-ws,randomover_multilayerperceptron,39.0,29.0,30.0,55.0,0.5606349206349206,0.4122222222222221,0.45,0.445,0.4652906304222092,-0.0813838816877269,0.6489834101084101
3054,within,struts,randomover_multilayerperceptron,0.0,18.0,83.0,4.0,0.0,0.0,0.7927272727272727,0.1709090909090909,0.0,-0.0636369533120727,0.325
