full_name,name,description,topics,stars,forks,watchers,open_issues,size,created_at,updated_at,pushed_at,archived,disabled,url
OpenPojo/openpojo,openpojo,"POJO Testing & Identity Management Made Trivial",['coverage'- 'equals'- 'getters'- 'hashcode'- 'identity-management'- 'java'- 'openpojo'- 'pojo-testing'- 'setter'- 'tostring'],143,40,143,31,166797,2015-03-15T19:51:52Z,2022-07-08T00:18:15Z,2021-05-17T01:38:17Z,False,False,https://github.com/OpenPojo/openpojo
sonatype-nexus-community/nexus-repository-helm,nexus-repository-helm,"At the Helm. Helm Yeah. v k8s",[],96,71,96,13,721,2018-04-24T18:39:07Z,2022-06-13T11:10:24Z,2020-09-18T15:28:16Z,True,False,https://github.com/sonatype-nexus-community/nexus-repository-helm
wro4j/wro4j,wro4j,"Free and Open Source Java project which brings together almost all the modern web tools: JsHint. CssLint. JsMin. Google Closure compressor. YUI Compressor. UglifyJs. Dojo Shrinksafe. Css Variables Support. JSON Compression. Less. Sass. CoffeeScript and much more. In the same time. the aim is to keep it as simple as possible and as extensible as possible in order to be easily adapted to application specific needs.",[],457,95,457,253,110958,2015-03-24T14:21:00Z,2022-05-21T09:29:15Z,2022-05-21T09:32:48Z,False,False,https://github.com/wro4j/wro4j
pippo-java/pippo,pippo,"Micro Java Web Framework",['java'- 'microservice'- 'web'],772,128,772,50,3841,2014-10-30T16:23:30Z,2022-07-05T06:39:21Z,2022-07-07T20:56:20Z,False,False,https://github.com/pippo-java/pippo
alibaba/fastjson,fastjson,"A fast JSON parser/generator for Java.  ",['android'- 'best-performance'- 'deserialization'- 'fastjson'- 'java'- 'json'- 'json-parser'- 'json-serialization'- 'json-serializer'- 'serialization'],24801,6499,24801,1918,15501,2011-11-03T06:58:52Z,2022-07-20T09:41:57Z,2022-07-07T21:02:45Z,False,False,https://github.com/alibaba/fastjson
vmware-archive/admiral,admiral,"Container management solution with an accent on modeling containerized applications and provide placement based on dynamic policy allocation",[],255,67,255,60,34116,2016-08-22T15:49:01Z,2022-07-08T06:50:37Z,2021-08-21T10:11:53Z,True,False,https://github.com/vmware-archive/admiral
knightliao/disconf,disconf,"Distributed Configuration Management Platform(分布式配置管理平台)",[],5525,2325,5525,203,8619,2014-05-30T09:39:27Z,2022-07-20T03:05:04Z,2021-09-27T18:28:14Z,False,False,https://github.com/knightliao/disconf
apache/dubbo,dubbo,"Apache Dubbo is a high-performance. java based. open source RPC framework.",['dubbo'],37634,25167,37634,419,40493,2012-06-19T07:56:02Z,2022-07-20T11:47:41Z,2022-07-20T09:57:04Z,False,False,https://github.com/apache/dubbo
kevinsawicki/http-request,http-request,"Java HTTP Request Library",['http'- 'http-client'- 'java'],3279,842,3279,83,1678,2011-10-21T19:54:58Z,2022-07-10T16:32:15Z,2022-07-07T22:09:46Z,False,False,https://github.com/kevinsawicki/http-request
fluent/fluent-logger-java,fluent-logger-java,"A structured logger for Fluentd (Java)",['fluentd'- 'fluentd-logger'- 'java'],195,95,195,30,629,2011-10-09T17:56:44Z,2022-07-04T04:45:56Z,2021-12-19T15:14:53Z,False,False,https://github.com/fluent/fluent-logger-java
