,idProject,nameProject,productionClass,testCase,SimilaritiesCoefficient,probabilityEagerTest,isEagerTest,isEagerTestManual,prediction
0,23.0,alien4cloud,ResourcePermissionService,alien4cloud.authorization.resourcepermissionservicetest.when_permission_revoked_the_resource_is_saved,0.307128837814424,0.6928711621855759,True,False,False
2,23.0,alien4cloud,RepositoryManager,alien4cloud.git.repositorymanagertest.deletecurrentbranch,0.7125077417597682,0.2874922582402318,False,False,False
3,23.0,alien4cloud,OrchestratorService,alien4cloud.orchestrator.orchestratorservicetest.testinitializeconfigurableorchstratorinvalidconfig,0.5452649277530677,0.4547350722469323,False,False,True
4,23.0,alien4cloud,FunctionEvaluator,alien4cloud.paas.function.functionevaluatortest.parsecomplexproperty,0.5238410499428092,0.4761589500571908,False,False,False
7,23.0,alien4cloud,UserService,alien4cloud.security.userservicetest.testensureadminusershouldnotcreateuser,0.7359870731031172,0.2640129268968828,False,False,False
8,23.0,alien4cloud,ToscaPropertyDefaultValueConstraintsValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvalueconstraintsvalidatortest.invalidbooleanequalsshouldcreateviolations,0.6100437281174327,0.3899562718825673,False,False,False
11,23.0,alien4cloud,ToscaPropertyDefaultValueConstraintsValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvalueconstraintsvalidatortest.invalidintegerequalsshouldcreateviolations,0.6243414003443895,0.3756585996556105,False,False,False
14,23.0,alien4cloud,ToscaPropertyDefaultValueConstraintsValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvalueconstraintsvalidatortest.validintegergreaterorequalshouldnotcreateviolations,0.6047174548129035,0.3952825451870965,False,False,False
15,23.0,alien4cloud,ToscaPropertyDefaultValueConstraintsValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvalueconstraintsvalidatortest.validintegergreaterthanshouldnotcreateviolations,0.6036934548950021,0.3963065451049978,False,False,False
16,23.0,alien4cloud,ToscaPropertyDefaultValueConstraintsValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvalueconstraintsvalidatortest.validstringequalsshouldnotcreateviolations,0.7004854181424268,0.2995145818575732,False,False,False
17,23.0,alien4cloud,ToscaPropertyDefaultValueTypeValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvaluetypevalidatortest.invalidbooleandefaultshouldcreateviolations,0.7976833441492668,0.2023166558507332,False,False,False
18,23.0,alien4cloud,ToscaPropertyDefaultValueTypeValidator,alien4cloud.tosca.container.validation.toscapropertydefaultvaluetypevalidatortest.invalidversiondefaultshouldcreateviolations,0.7966484703126461,0.2033515296873539,False,False,False
23,23.0,alien4cloud,ToscaSerializerUtils,alien4cloud.tosca.serializer.toscaserializerutilstest.testmapisnotemptyandcontainsnotnullvalues,0.2520214929060162,0.7479785070939837,True,False,False
26,23.0,alien4cloud,JSonMapEntryArraySerializer,alien4cloud.utils.jsonmapentryarrayserializertest.serializationwithmapcontextshouldserializetoarray,0.8786268936082785,0.1213731063917215,False,False,False
27,23.0,alien4cloud,NameValidationUtils,alien4cloud.utils.namevalidationutilstest.validateapplicationidtest,0.5629994227987707,0.4370005772012293,False,True,False
28,23.0,alien4cloud,ReflectionUtil,alien4cloud.utils.reflectionutiltest.mergeobjecttest,0.9333814639466124,0.0666185360533877,False,False,False
31,23.0,alien4cloud,ConstraintPropertyService,alien4cloud.utils.services.constraintpropertyservicetest.testinvalidversionproperty,0.8466247273775138,0.1533752726224861,False,False,False
34,23.0,alien4cloud,ConstraintPropertyService,alien4cloud.utils.services.constraintpropertyservicetest.testvalidstringconstraintproperty,0.8262670681307507,0.1737329318692493,False,False,False
36,23.0,alien4cloud,ComparableVersion,alien4cloud.utils.version.comparableversiontest.testlocaleindependent,0.079696270789288,0.920303729210712,True,True,False
37,23.0,alien4cloud,ComparableVersion,alien4cloud.utils.version.comparableversiontest.testreuse,0.4382416099828164,0.5617583900171835,False,False,False
38,23.0,alien4cloud,ComparableVersion,alien4cloud.utils.version.comparableversiontest.testversionsequal,0.3671596934078581,0.6328403065921419,True,True,False
42,23.0,alien4cloud,VersionUtil,alien4cloud.utils.versionutiltest.testparseversionsuccess,0.5973373777599227,0.4026626222400773,False,False,False
44,23.0,alien4cloud,ServiceResourceService,org.alien4cloud.alm.service.serviceresourceservicetest.testgetbynodetypes,0.5624325382975539,0.4375674617024461,False,False,False
45,23.0,alien4cloud,ToscaTypeIndexerService,org.alien4cloud.tosca.catalog.index.toscatypeindexerservicetest.test,0.0,1.0,True,False,False
