Type,Project,ModelBalance,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
within,achilles,adaboost,70.0,16.0,5.0,12.0,0.8171428571428571,0.8541666666666666,0.73,0.8354545454545456,0.8315032679738561,0.1032645202779831,0.9078319654882157
within,achilles,decisiontree,70.0,16.0,5.0,12.0,0.8171428571428571,0.8541666666666666,0.73,0.8354545454545456,0.8315032679738561,0.1032645202779831,0.8933820346320346
within,achilles,multilayerperceptron,79.0,18.0,3.0,3.0,0.8212121212121213,0.9638888888888889,0.7972727272727274,0.9409090909090908,0.883780529755762,0.11146914173259874,0.8562136493907329
within,achilles,naivebayes,80.0,17.0,4.0,2.0,0.828989898989899,0.975,0.8154545454545457,0.940909090909091,0.8944375644994841,0.20041537265832704,0.9028906375260541
within,achilles,randomforest,70.0,15.0,6.0,12.0,0.8268650793650794,0.8541666666666666,0.74,0.8254545454545454,0.8366503267973856,0.15743118694464978,0.9033930325076158
within,achilles,svm,81.0,17.0,4.0,1.0,0.8312121212121213,0.9875,0.8254545454545456,0.9509090909090909,0.9009735122119024,0.2170820393249937,0.9017274430816098
within,activiti,adaboost,7.0,6.0,7.0,5.0,0.4833333333333333,0.55,0.5166666666666666,0.5333333333333333,0.4833333333333333,0.05,0.7416666666666666
within,activiti,decisiontree,6.0,4.0,9.0,6.0,0.45,0.45,0.5333333333333333,0.41666666666666663,0.4333333333333333,0.05,0.6833333333333333
within,activiti,multilayerperceptron,7.0,3.0,10.0,5.0,0.55,0.55,0.65,0.4,0.5333333333333333,0.3,0.6916666666666667
within,activiti,naivebayes,8.0,2.0,11.0,4.0,0.65,0.65,0.7333333333333333,0.41666666666666663,0.6333333333333333,0.45,0.7666666666666667
within,activiti,randomforest,7.0,5.0,8.0,5.0,0.4833333333333333,0.55,0.5666666666666667,0.4833333333333333,0.4833333333333333,0.15,0.6916666666666667
within,activiti,svm,7.0,1.0,12.0,5.0,0.6,0.55,0.7333333333333333,0.31666666666666665,0.5666666666666667,0.45,0.7666666666666667
within,admiral,adaboost,3.0,10.0,363.0,50.0,0.15,0.056666666666666664,0.8591915836101883,0.030509413067552598,0.08214285714285716,0.04886061174255814,0.22150262152457617
within,admiral,decisiontree,12.0,39.0,334.0,41.0,0.24142857142857146,0.22333333333333333,0.812126245847176,0.1197674418604651,0.22837606837606841,0.1251447114167436,0.2804983388704319
within,admiral,multilayerperceptron,0.0,0.0,373.0,53.0,0.0,0.0,0.8756367663344408,0.0,0.0,0.0,0.2973431084307504
within,admiral,naivebayes,1.0,5.0,368.0,52.0,0.05,0.016666666666666666,0.8661683277962346,0.014119601328903653,0.025,0.007183440933541309,0.27255620743763914
within,admiral,randomforest,11.0,33.0,340.0,42.0,0.20857142857142857,0.2066666666666667,0.8239756367663345,0.10326688815060907,0.20493506493506491,0.11115392158976307,0.3227785836406166
within,admiral,svm,0.0,0.0,373.0,53.0,0.0,0.0,0.8756367663344408,0.0,0.0,0.0,0.2769277023149182
within,aismessages,adaboost,,,,,,,,,,,
within,aismessages,decisiontree,,,,,,,,,,,
