nameProject,tp,fp,tn,fn,precision,recall,accuracy,f1_score,mcc
achilles,0,2,19,82,0.0,0.0,0.1844660194174757,0.0,-0.2780683691398166
activiti,6,0,13,6,1.0,0.5,0.76,0.6666666666666666,0.5848976518656018
admiral,6,89,284,47,0.0631578947368421,0.1132075471698113,0.6807511737089202,0.081081081081081,-0.099427925110302
alien4cloud,1,3,72,5,0.25,0.1666666666666666,0.9012345679012346,0.2,0.1531063631648222
c2mon,4,13,135,16,0.2352941176470588,0.2,0.8273809523809523,0.2162162162162162,0.120442370305464
carbon-apimgt,0,11,37,9,0.0,0.0,0.6491228070175439,0.0,-0.2117473884649799
dnsjava,0,3,62,54,0.0,0.0,0.5210084033613446,0.0,-0.1465790269465026
dropwizard,0,7,241,22,0.0,0.0,0.8925925925925926,0.0,-0.0485910904981594
elastic-job-lite,0,0,127,13,0.0,0.0,0.9071428571428573,0.0,0.0
esper,8,5,74,61,0.6153846153846154,0.1159420289855072,0.5540540540540541,0.1951219512195122,0.0927908697149608
fastjson,1,0,275,188,1.0,0.0052910052910052,0.5948275862068966,0.0105263157894736,0.0560589487450343
hadoop,231,291,1299,551,0.4425287356321839,0.2953964194373401,0.6450252951096122,0.3542944785276073,0.1275147396198538
hbase,117,49,201,359,0.7048192771084337,0.245798319327731,0.4380165289256198,0.3644859813084112,0.0563430183598786
helios,6,20,71,12,0.2307692307692307,0.3333333333333333,0.7064220183486238,0.2727272727272727,0.0989305162422911
hutool,0,0,75,51,0.0,0.0,0.5952380952380952,0.0,0.0
incubator-dubbo,3,21,323,24,0.125,0.1111111111111111,0.8787061994609164,0.1176470588235294,0.0528714828913734
java-websocket,0,0,12,84,0.0,0.0,0.125,0.0,0.0
jfreechart,2,3,335,220,0.4,0.009009009009009,0.6017857142857143,0.0176211453744493,0.0006930006930006
jhipster-registry,0,0,11,3,0.0,0.0,0.7857142857142857,0.0,0.0
joda-time,2,9,375,9,0.1818181818181818,0.1818181818181818,0.9544303797468354,0.1818181818181818,0.1583806818181818
junit-quickcheck,1,0,28,10,1.0,0.0909090909090909,0.7435897435897436,0.1666666666666666,0.2588158533262875
marine-api,0,0,88,3,0.0,0.0,0.967032967032967,0.0,0.0
oci-java-sdk,5,0,30,12,1.0,0.2941176470588235,0.7446808510638298,0.4545454545454545,0.4583492485141056
openpojo,1,10,123,4,0.0909090909090909,0.2,0.8985507246376812,0.125,0.086113068852702
oryx,0,2,86,13,0.0,0.0,0.8514851485148515,0.0,-0.0546295647797574
querydsl,7,117,432,29,0.0564516129032258,0.1944444444444444,0.7504273504273504,0.0875,-0.0109781115218013
retrofit,23,27,23,25,0.46,0.4791666666666667,0.4693877551020408,0.4693877551020408,-0.0608333333333333
riptide,0,1,47,8,0.0,0.0,0.8392857142857143,0.0,-0.055048188256318
rxjava2-extras,0,10,66,14,0.0,0.0,0.7333333333333333,0.0,-0.151744244666721
sawmill,8,2,12,45,0.8,0.1509433962264151,0.2985074626865671,0.2539682539682539,0.0092259664273535
search-highlighter,5,6,20,16,0.4545454545454545,0.238095238095238,0.5319148936170213,0.3124999999999999,0.0086023295682084
spring-boot,1,1,15,3,0.5,0.25,0.8,0.3333333333333333,0.25
spring-ws,3,2,57,91,0.6,0.0319148936170212,0.392156862745098,0.0606060606060606,-0.0054298382516561
struts,0,9,92,4,0.0,0.0,0.8761904761904762,0.0,-0.060933334777679
timely,3,0,24,29,1.0,0.09375,0.4821428571428571,0.1714285714285714,0.2060408459230335
unix4j,0,22,46,9,0.0,0.0,0.5974025974025974,0.0,-0.2300894966542111
vertexium,8,3,18,55,0.7272727272727273,0.1269841269841269,0.3095238095238095,0.2162162162162162,-0.0203742485542682
wikidata-toolkit,1,3,178,18,0.25,0.0526315789473684,0.895,0.0869565217391304,0.0755174933333225
