,idProject,nameProject,productionClass,testCase,isResourceOptimism,isResourceOptimismManual,prediction
8,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test3_4,False,False,False
13,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_12_6,False,False,False
25,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_18_5,False,False,False
33,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_21_4,False,False,False
40,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_22_30,False,False,False
49,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_6_3,False,False,False
52,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_7_3,False,False,False
54,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_9_4,False,False,False
81,18.0,java-websocket,Draft_6455,org.java_websocket.drafts.draft_6455test.createframestext,False,False,False
84,18.0,java-websocket,Draft_6455,org.java_websocket.drafts.draft_6455test.testcopyinstance,False,False,False
9,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test3_5,False,False,False
12,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_12_4,False,False,False
16,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_14_2,False,False,False
22,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_16_2,False,False,False
27,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_19_5,False,False,False
37,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_22_17,False,False,False
43,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_22_4,False,False,False
47,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_3_2,False,False,False
50,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_6_4,False,False,False
93,18.0,java-websocket,Protocol,org.java_websocket.protocols.protocoltest.testtostring,False,False,False
15,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_13_2,False,False,False
17,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_14_4,False,False,False
30,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_20_6,False,False,False
42,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_22_34,False,False,False
45,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_23_6,False,False,False
48,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_5_1,False,False,False
80,18.0,java-websocket,Draft_6455,org.java_websocket.drafts.draft_6455test.createframesbinary,False,False,False
83,18.0,java-websocket,Draft_6455,org.java_websocket.drafts.draft_6455test.testconstructor,False,False,False
85,18.0,java-websocket,Draft_6455,org.java_websocket.drafts.draft_6455test.testgetclosehandshaketype,False,False,False
90,18.0,java-websocket,PingFrame,org.java_websocket.framing.pingframetest.testconstructor,False,False,False
4,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test1_2_3,False,False,False
11,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test5_19,False,False,False
14,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_13_1,False,False,False
26,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_19_2,False,False,False
36,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_22_13,False,False,False
39,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_22_27,False,False,False
51,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test6_6_6,False,False,False
56,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test7_1_4,False,False,False
74,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test9_6_1,False,False,False
79,18.0,java-websocket,Draft_6455,org.java_websocket.drafts.draft_6455test.accepthandshakeasserver,False,False,False
7,18.0,java-websocket,AutobahnServerResults,org.java_websocket.autobahn.autobahnserverresults.test3_2,False,False,False
