,idProject,nameProject,productionClass,testCase,NRF,isMysteryGuestManual,isMysteryGuestManual,prediction
1,19.0,esper,AvroEventType,com.espertech.esper.common.internal.avro.core.testavroeventtype.asserttypesboxed,0.0,False,False,False
3,19.0,esper,HashableMultiKey,com.espertech.esper.common.internal.collection.testhashablemultikey.testwithset,0.0,False,False,False
5,19.0,esper,InterchangeablePair,com.espertech.esper.common.internal.collection.testinterchangeablepair.testhashcode,0.0,False,False,False
7,19.0,esper,IntSeqKey,com.espertech.esper.common.internal.collection.testintseqkey.testlast,0.0,False,False,False
9,19.0,esper,IterablesArrayIterator,com.espertech.esper.common.internal.collection.testiterablesarrayiterator.testremove,0.0,False,False,False
10,19.0,esper,IterablesListIterator,com.espertech.esper.common.internal.collection.testiterableslistiterator.testiterator,0.0,False,False,False
13,19.0,esper,RefCountedMap,com.espertech.esper.common.internal.collection.testrefcountedmap.testflow,0.0,False,False,False
15,19.0,esper,RefCountedMap,com.espertech.esper.common.internal.collection.testrefcountedmap.testreference,0.0,False,False,False
16,19.0,esper,RefCountedSetAtomicInteger,com.espertech.esper.common.internal.collection.testrefcountedsetatomicinteger.testflow,0.0,False,False,False
17,19.0,esper,SingleEventIterator,com.espertech.esper.common.internal.collection.testsingleeventiterator.testhasnext,0.0,False,False,False
19,19.0,esper,SortedDoubleVector,com.espertech.esper.common.internal.collection.testsorteddoublevector.testadd,0.0,False,False,False
20,19.0,esper,SortedRefCountedSet,com.espertech.esper.common.internal.collection.testsortedrefcountedset.testmaxminvalue,0.0,False,False,False
22,19.0,esper,TimeWindow,com.espertech.esper.common.internal.collection.testtimewindow.testtimewindowperformance,0.0,False,False,False
24,19.0,esper,TimeWindowIterator,com.espertech.esper.common.internal.collection.testtimewindowiterator.testobjectandnull,0.0,False,False,False
25,19.0,esper,TimeWindowIterator,com.espertech.esper.common.internal.collection.testtimewindowiterator.testtwoemptylist,0.0,False,False,False
26,19.0,esper,TransformEventIterator,com.espertech.esper.common.internal.collection.testtransformeventiterator.testtwo,0.0,False,False,False
29,19.0,esper,ExprIdentNode,com.espertech.esper.common.internal.epl.expression.core.testexpridentnode.testevaluateperformance,1.0,False,False,False
31,19.0,esper,ExprNodeUtilityValidate,com.espertech.esper.common.internal.epl.expression.core.testexprnodeutilityvalidate.testgetvalidatedsubtree,1.0,False,False,False
