,idProject,nameProject,productionClass,testCase,isTestRedundancy,isTestRedundancyManual,prediction
5,50.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testdoublevalues,False,False,True
16,50.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testincludeswithfallback,False,False,True
23,50.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testvariablesubstitution,False,False,True
24,50.0,hadoop,ConfServlet,org.apache.hadoop.conf.testconfservlet.testgetproperty,False,False,True
31,50.0,hadoop,KMS,org.apache.hadoop.crypto.key.kms.server.testkms.testkmswithzkdtsm,False,False,True
41,50.0,hadoop,LoadBalancingKMSClientProvider,org.apache.hadoop.crypto.key.kms.testloadbalancingkmsclientprovider.testwarmupencryptedkeyswhenoneprovidersucceeds,False,False,True
43,50.0,hadoop,CachingKeyProvider,org.apache.hadoop.crypto.key.testcachingkeyprovider.testrollnewversion,False,False,True
57,50.0,hadoop,AzureADTokenProvider,org.apache.hadoop.fs.adl.testazureadtokenprovider.testrefreshtokenwithcredentialproviderfallback,False,False,True
60,50.0,hadoop,AliyunOSSFileSystemStore,org.apache.hadoop.fs.aliyun.oss.testaliyunossfilesystemstore.testlargeupload,False,False,True
61,50.0,hadoop,AliyunOSSInputStream,org.apache.hadoop.fs.aliyun.oss.testaliyunossinputstream.testossfilereadertask,False,False,True
92,50.0,hadoop,FsPermission,org.apache.hadoop.fs.permission.testfspermission.testumaskparser,False,False,True
111,50.0,hadoop,Tasks,org.apache.hadoop.fs.s3a.commit.testtasks.testrevertallsuppressed,False,False,True
120,50.0,hadoop,LocalMetadataStore,org.apache.hadoop.fs.s3a.s3guard.testlocalmetadatastore.testclearbyancestor,False,False,True
121,50.0,hadoop,PathMetadataDynamoDBTranslation,org.apache.hadoop.fs.s3a.s3guard.testpathmetadatadynamodbtranslation.testisauthoritativecompatibilityitemtopathmetadata,False,False,True
124,50.0,hadoop,PathMetadataDynamoDBTranslation,org.apache.hadoop.fs.s3a.s3guard.testpathmetadatadynamodbtranslation.testpathtoparentkeyattribute,False,False,True
131,50.0,hadoop,Invoker,org.apache.hadoop.fs.s3a.testinvoker.tests3500isstatus500exception,False,False,True
