,idProject,nameProject,productionClass,testCase,NRF,isMysteryGuestManual,isMysteryGuestManual,prediction
6,7.0,yawp,Datastore,io.yawp.driver.postgresql.datastore.datastoretest.testcreateupdateentity,0.0,False,False,False
7,7.0,yawp,Datastore,io.yawp.driver.postgresql.datastore.datastoretest.testforcename,0.0,False,False,False
8,7.0,yawp,Datastore,io.yawp.driver.postgresql.datastore.datastoretest.testqueryinwithkey,0.0,False,False,False
9,7.0,yawp,Datastore,io.yawp.driver.postgresql.datastore.datastoretest.testquerylimit,0.0,False,False,False
11,7.0,yawp,EndpointNaming,io.yawp.plugin.mojos.scaffolding.endpointnamingtest.testendpointfilename,3.0,True,True,False
12,7.0,yawp,EndpointNaming,io.yawp.plugin.mojos.scaffolding.endpointnamingtest.testendpointpath,0.0,True,True,False
13,7.0,yawp,ActionMethod,io.yawp.repository.actions.basic.actionmethodtest.testparentrootcollectionjsonstringparams,0.0,False,False,False
16,7.0,yawp,ActionMethod,io.yawp.repository.actions.basic.actionmethodtest.testsingleobject,0.0,False,False,False
17,7.0,yawp,ActionMethod,io.yawp.repository.actions.basic.actionmethodtest.testsingleobjectwithoutname,0.0,False,False,False
18,7.0,yawp,AsyncRepository,io.yawp.repository.asyncrepositorytest.testfetch,0.0,False,False,False
20,7.0,yawp,RepositoryFeatures,io.yawp.repository.features.repositoryfeaturestest.testinvalidendpointpaths,0.0,False,False,False
21,7.0,yawp,CounterPipe,io.yawp.repository.pipes.basic.counterpipetest.testonlyincrement,0.0,False,False,False
22,7.0,yawp,ChildSumPipe,io.yawp.repository.pipes.parents.childsumpipetest.testsavedifferentchildreen,0.0,False,False,False
26,7.0,yawp,ObjectPump,io.yawp.repository.pipes.pump.objectpumptest.testbasicquery,0.0,False,False,False
29,7.0,yawp,Repository,io.yawp.repository.repositorytest.testsavechild,0.0,False,False,False
30,7.0,yawp,Repository,io.yawp.repository.repositorytest.testsavefornotendpointobjects,0.0,False,False,False
32,7.0,yawp,RuleConditions,io.yawp.repository.shields.basic.ruleconditionstest.testgrandparenttruecondition,0.0,False,False,False
34,7.0,yawp,RuleConditions,io.yawp.repository.shields.basic.ruleconditionstest.testparentfalsecondition,0.0,False,False,False
35,7.0,yawp,RuleConditions,io.yawp.repository.shields.basic.ruleconditionstest.testparenttruecondition,0.0,False,False,False
39,7.0,yawp,Shield,io.yawp.repository.shields.basic.shieldtest.testdifferentactions,0.0,False,False,False
41,7.0,yawp,Shield,io.yawp.repository.shields.basic.shieldtest.testupdatewhereonexistingobjects,0.0,False,False,False
42,7.0,yawp,Transformer,io.yawp.repository.transformers.basic.transformertest.testaddattribute,0.0,False,False,False
44,7.0,yawp,ChildTransformer,io.yawp.servlet.child.childtransformertest.testindextransformer,0.0,False,False,False
45,7.0,yawp,ChildTransformer,io.yawp.servlet.child.childtransformertest.testupdatetransformer,0.0,False,False,False
47,7.0,yawp,EndpointRouter,io.yawp.servlet.endpointroutertest.testnestedresource,0.0,False,False,False
