Type,nameProject,ModelBalance,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
detector,achilles,tsdetect_cross,6,0,65,32,1.0,0.15789473684210525,0.6893203883495146,,0.2727272727272727,0.32527796035411377,
detector,activiti,tsdetect_cross,0,2,21,2,0.0,0.0,0.84,,0.0,-0.08695652173913043,
detector,admiral,tsdetect_cross,5,9,276,136,0.35714285714285715,0.03546099290780142,0.6596244131455399,,0.06451612903225808,0.010246604797311376,
detector,aismessages,tsdetect_cross,0,0,12,0,0.0,0.0,1.0,,0.0,0.0,
detector,aletheia,tsdetect_cross,0,0,7,0,0.0,0.0,1.0,,0.0,0.0,
detector,alien4cloud,tsdetect_cross,4,8,69,0,0.3333333333333333,1.0,0.9012345679012346,,0.5,0.5465357250000211,
detector,c2mon,tsdetect_cross,0,26,142,0,0.0,0.0,0.8452380952380952,,0.0,0.0,
detector,carbon-apimgt,tsdetect_cross,4,0,24,29,1.0,0.12121212121212122,0.49122807017543857,,0.21621621621621626,0.23428296506296908,
detector,cukes,tsdetect_cross,0,2,11,2,0.0,0.0,0.7333333333333333,,0.0,-0.15384615384615385,
detector,db-scheduler,tsdetect_cross,0,0,8,0,0.0,0.0,1.0,,0.0,0.0,
detector,delight-nashorn-sandbox,tsdetect_cross,0,0,1,0,0.0,0.0,1.0,,0.0,0.0,
detector,dnsjava,tsdetect_cross,0,0,118,1,0.0,0.0,0.9915966386554622,,0.0,0.0,
detector,dropwizard,tsdetect_cross,10,36,208,16,0.21739130434782608,0.38461538461538464,0.8074074074074075,,0.27777777777777773,0.18602157798611357,
detector,elastic-job-lite,tsdetect_cross,6,19,98,17,0.24,0.2608695652173913,0.7428571428571429,,0.24999999999999994,0.09527305700330505,
detector,esper,tsdetect_cross,1,20,127,0,0.047619047619047616,1.0,0.8648648648648649,,0.0909090909090909,0.20283063286905545,
detector,fastjson,tsdetect_cross,3,5,456,0,0.375,1.0,0.9892241379310345,,0.5454545454545454,0.6090424902095865,
detector,fluent-logger-java,tsdetect_cross,0,0,0,2,0.0,0.0,0.0,,0.0,0.0,
detector,hadoop,tsdetect_cross,386,423,1389,174,0.47713226205191595,0.6892857142857143,0.7483136593591906,,0.5639152666179693,0.408351074908799,
detector,hbase,tsdetect_cross,40,83,553,50,0.3252032520325203,0.4444444444444444,0.8168044077134986,,0.3755868544600939,0.2757954219001846,
detector,helios,tsdetect_cross,0,6,103,0,0.0,0.0,0.944954128440367,,0.0,0.0,
detector,hsac-fitnesse-fixtures,tsdetect_cross,10,4,39,1,0.7142857142857143,0.9090909090909091,0.9074074074074074,,0.8,0.750002516858759,
detector,http-request,tsdetect_cross,0,4,31,1,0.0,0.0,0.8611111111111112,,0.0,-0.05976143046671968,
detector,hutool,tsdetect_cross,8,8,104,6,0.5,0.5714285714285714,0.8888888888888888,,0.5333333333333333,0.47193990372426947,
detector,incubator-dubbo,tsdetect_cross,8,24,293,46,0.25,0.14814814814814814,0.8113207547169812,,0.18604651162790697,0.09099558804052496,
detector,java-websocket,tsdetect_cross,0,0,17,79,0.0,0.0,0.17708333333333334,,0.0,0.0,
detector,jfreechart,tsdetect_cross,0,0,559,1,0.0,0.0,0.9982142857142857,,0.0,0.0,
detector,jhipster-registry,tsdetect_cross,0,1,13,0,0.0,0.0,0.9285714285714286,,0.0,0.0,
detector,jimfs,tsdetect_cross,18,8,36,6,0.6923076923076923,0.75,0.7941176470588235,,0.7199999999999999,0.5587376953345927,
detector,joda-time,tsdetect_cross,0,0,395,0,0.0,0.0,1.0,,0.0,0.0,
detector,junit-quickcheck,tsdetect_cross,0,1,38,0,0.0,0.0,0.9743589743589743,,0.0,0.0,
detector,luwak,tsdetect_cross,0,2,22,0,0.0,0.0,0.9166666666666666,,0.0,0.0,
detector,marine-api,tsdetect_cross,0,1,90,0,0.0,0.0,0.989010989010989,,0.0,0.0,
detector,nexus-repository-helm,tsdetect_cross,1,0,3,0,1.0,1.0,1.0,,1.0,1.0,
detector,noxy,tsdetect_cross,0,0,6,0,0.0,0.0,1.0,,0.0,0.0,
detector,oci-java-sdk,tsdetect_cross,4,6,32,5,0.4,0.4444444444444444,0.7659574468085106,,0.4210526315789474,0.27549401006403046,
detector,one,tsdetect_cross,0,1,0,1,0.0,0.0,0.0,,0.0,-1.0,
detector,openpojo,tsdetect_cross,2,1,135,0,0.6666666666666666,1.0,0.9927536231884058,,0.8,0.8134892168199607,
detector,orbit,tsdetect_cross,0,2,9,0,0.0,0.0,0.8181818181818182,,0.0,0.0,
detector,oryx,tsdetect_cross,8,3,61,29,0.7272727272727273,0.21621621621621623,0.6831683168316832,,0.33333333333333337,0.26190025802630507,
detector,otto,tsdetect_cross,0,0,7,0,0.0,0.0,1.0,,0.0,0.0,
detector,pippo,tsdetect_cross,0,10,50,0,0.0,0.0,0.8333333333333334,,0.0,0.0,
detector,querydsl,tsdetect_cross,20,12,426,127,0.625,0.1360544217687075,0.7623931623931623,,0.223463687150838,0.207260491336514,
detector,recast4j,tsdetect_cross,0,0,1,2,0.0,0.0,0.3333333333333333,,0.0,0.0,
