,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,1.0,8.0,30.0,1.0,0.1111111111111111,0.5,0.775,0.225,0.1818181818181818,0.15108236796222702,0.0698005698005698
1,0.0,8.0,31.0,1.0,0.0,0.0,0.775,0.2,0.0,-0.08006407690254357,0.020833333333333332
2,1.0,15.0,24.0,0.0,0.0625,1.0,0.625,0.4,0.11764705882352941,0.19611613513818402,1.0
3,1.0,11.0,28.0,0.0,0.08333333333333333,1.0,0.725,0.3,0.15384615384615385,0.24459979523511427,0.16666666666666666
4,1.0,12.0,27.0,0.0,0.07692307692307693,1.0,0.7,0.325,0.14285714285714288,0.23076923076923078,0.045454545454545456
5,1.0,13.0,25.0,0.0,0.07142857142857142,1.0,0.6666666666666666,0.358974358974359,0.13333333333333333,0.21677749238103,1.0
6,0.0,11.0,27.0,1.0,0.0,0.0,0.6923076923076923,0.28205128205128205,0.0,-0.10167765666389865,0.029411764705882353
7,1.0,9.0,29.0,0.0,0.1,1.0,0.7692307692307693,0.2564102564102564,0.18181818181818182,0.27625312572654126,0.25
8,1.0,10.0,28.0,0.0,0.09090909090909091,1.0,0.7435897435897436,0.28205128205128205,0.16666666666666669,0.2588158533262875,0.125
9,0.0,9.0,29.0,1.0,0.0,0.0,0.7435897435897436,0.23076923076923078,0.0,-0.08885233166386385,0.02
10,7.0,106.0,278.0,4.0,0.05962051837051837,0.65,0.7215384615384617,0.28602564102564104,0.10779867191631898,0.13038199353083088,0.2727166879960997
