url,sha
https://github.com/apache/struts, 13d90530
https://github.com/eclipse-ee4j/tyrus, d86e0cb0
https://github.com/apache/hadoop, cc2babc1
https://github.com/jfree/jfreechart, 520a4be6
https://github.com/pholser/junit-quickcheck, 9361b6da
https://github.com/dnsjava/dnsjava, d97b6a06
https://github.com/marcosbarbero/spring-cloud-zuul-ratelimit, ae9603f4
https://github.com/lcw2004/one, 7b9b249a
https://github.com/spotify/helios, aebf68dc
https://github.com/wikidata/wikidata-toolkit, 20de6f7f
https://github.com/openpojo/openpojo, 9badbcc4
https://github.com/sonatype-nexus-community/nexus-repository-helm, 60a9e8de
https://github.com/wro4j/wro4j, 185ab607
https://github.com/pippo-java/pippo, ae898b6c
https://github.com/alibaba/fastjson, 57d0434a
https://github.com/vmware/admiral, e4b02936
https://github.com/apache/incubator-dubbo, 737f7a7e
https://github.com/kevinsawicki/http-request, 2d62a3e9
https://github.com/fluent/fluent-logger-java, da14ec34
https://github.com/tbsalling/aismessages, 7b0c4c70
https://github.com/ktuukkan/marine-api, af000384
https://github.com/hexagonframework/spring-data-ebean, dd11b976
https://github.com/querydsl/querydsl, 2bf234ca
https://github.com/oryxproject/oryx, 72ae4bb3
https://github.com/c2mon/c2mon, d80687b1
https://github.com/jodaorg/joda-time, d1ea2a53
https://github.com/flaxsearch/luwak, c27ec08c
https://github.com/alien4cloud/alien4cloud, eb57d0fe
https://github.com/crawlscript/webcollector, 016b61a1
https://github.com/fhoeben/hsac-fitnesse-fixtures, a64c18d9
https://github.com/cescoffier/vertx-completable-future, 011d3cd9
https://github.com/google/jimfs, ced6093f
https://github.com/wso2/carbon-apimgt, a82213e4
https://github.com/feroult/yawp, b3bcf9c9
https://github.com/spinn3r/noxy, d53a4942
https://github.com/elasticjob/elastic-job-lite, b022898e
https://github.com/nationalsecurityagency/timely, 3a8cbd33
https://github.com/apache/hbase, 801fc05e
https://github.com/tools4j/unix4j, 367da7d2
https://github.com/davidmoten/rxjava2-extras, d0315b6e
https://github.com/dropwizard/dropwizard, 07dfaed6
https://github.com/ctco/cukes, b483e1a8
https://github.com/wildfly/wildfly-maven-plugin, 0dda0062
https://github.com/javadelight/delight-nashorn-sandbox, da35edc0
https://github.com/square/retrofit, ae28c3d5
https://github.com/activiti/activiti, b11f757a
https://github.com/kagkarlsson/db-scheduler, 4a8a28e6
https://github.com/oracle/oci-java-sdk, 2e9982f2
https://github.com/zalando/riptide, 8277e11f
https://github.com/espertechinc/esper, 590fa9c9
https://github.com/square/otto, 2a67589a
https://github.com/visallo/vertexium, f1fd59e2
https://github.com/wildfly/wildfly, b19048b7
https://github.com/undertow-io/undertow, d0efffad
https://github.com/orbit/orbit, c4904af2
https://github.com/vert-x3/vertx-mqtt, c8213e0f
https://github.com/logzio/sawmill, e493c2e2
https://github.com/looly/hutool, 91565d05
https://github.com/ppiastucki/recast4j, 01d478e1
https://github.com/wikimedia/search-highlighter, 8ba6fef7
https://github.com/jhipster/jhipster-registry, 00db3661
https://github.com/spring-projects/spring-boot, daa3d457
https://github.com/tootallnate/java-websocket, fa3909c3
https://github.com/spring-projects/spring-ws, e8d89c9e
https://github.com/doanduyhai/achilles, e3099bdc
https://github.com/fromage/redpipe, 0aff891d
