,idProject,nameProject,productionClass,testCase,isEagerTest,isEagerTestManual,prediction
1,35.0,hbase,BackupManager,org.apache.hadoop.hbase.backup.testbackupmanager.teststartbackupexclusiveoperation,True,True,False
10,35.0,hbase,ReplicationAdmin,org.apache.hadoop.hbase.client.replication.testreplicationadmin.testremovepeertablecfs,True,True,False
18,35.0,hbase,AsyncProcess,org.apache.hadoop.hbase.client.testasyncprocess.testfailandsuccess,True,True,False
28,35.0,hbase,AsyncSingleRequestRpcRetryingCaller,org.apache.hadoop.hbase.client.testasyncsinglerequestrpcretryingcaller.testlocateerror,False,True,True
30,35.0,hbase,AsyncTable,org.apache.hadoop.hbase.client.testasynctable.testappend,True,True,True
44,35.0,hbase,ColumnFamilyDescriptorBuilder,org.apache.hadoop.hbase.client.testcolumnfamilydescriptorbuilder.testsettimetolive,True,True,True
49,35.0,hbase,ConnectionImplementation,org.apache.hadoop.hbase.client.testconnectionimplementation.testmulti,True,True,True
85,35.0,hbase,BitComparator,org.apache.hadoop.hbase.filter.testbitcomparator.testoroperation,False,False,False
97,35.0,hbase,Filter,org.apache.hadoop.hbase.filter.testfilter.testskipfilter,False,True,False
102,35.0,hbase,FilterList,org.apache.hadoop.hbase.filter.testfilterlist.testmponewithseeknextusinghint,False,True,True
121,35.0,hbase,MultiRowRangeFilter,org.apache.hadoop.hbase.filter.testmultirowrangefilter.testmultirowrangewithfilterlistandoperator,False,False,False
125,35.0,hbase,ParseFilter,org.apache.hadoop.hbase.filter.testparsefilter.testcolumncountgetfilter,False,True,True
129,35.0,hbase,ParseFilter,org.apache.hadoop.hbase.filter.testparsefilter.testqualifierfilter,False,True,True
142,35.0,hbase,HttpRequestLog,org.apache.hadoop.hbase.http.testhttprequestlog.testappenderundefined,False,False,True
144,35.0,hbase,HttpServer,org.apache.hadoop.hbase.http.testhttpserver.testhttpmethods,True,True,True
146,35.0,hbase,Encryption,org.apache.hadoop.hbase.io.crypto.testencryption.testlargeblocks,False,True,True
158,35.0,hbase,FixedFileTrailer,org.apache.hadoop.hbase.io.hfile.testfixedfiletrailer.testtrailerforv2nonpbcompatibility,False,True,False
159,35.0,hbase,HFile,org.apache.hadoop.hbase.io.hfile.testhfile.testcorrupt0lengthhfile,True,True,True
166,35.0,hbase,HFileBlockIndex,org.apache.hadoop.hbase.io.hfile.testhfileblockindex.testmidkeyonleafindexblockboundary,True,True,True
178,35.0,hbase,ImmutableBytesWritable,org.apache.hadoop.hbase.io.testimmutablebyteswritable.testspecificcompare,False,False,True
192,35.0,hbase,RowCounter,org.apache.hadoop.hbase.mapred.testrowcounter.shouldcreateandrunsubmittablejob,True,True,True
199,35.0,hbase,CellCounter,org.apache.hadoop.hbase.mapreduce.testcellcounter.testcellcounterwithoutoutputdir,True,False,False
200,35.0,hbase,CopyTable,org.apache.hadoop.hbase.mapreduce.testcopytable.testmainmethod,True,True,True
201,35.0,hbase,CopyTable,org.apache.hadoop.hbase.mapreduce.testcopytable.testrenamefamily,True,True,True
207,35.0,hbase,ImportTsv,org.apache.hadoop.hbase.mapreduce.testimporttsv.testdrymodewithbulkmodeandtabledoesnotexistscreatetablesettoyes,False,False,True
210,35.0,hbase,MultiTableSnapshotInputFormatImpl,org.apache.hadoop.hbase.mapreduce.testmultitablesnapshotinputformatimpl.testsetinputsetssnapshottoscans,True,True,True
