,idProject,nameProject,productionClass,testCase,isMysteryGuest,isMysteryGuestManual,prediction
11,17.0,riptide,DefaultIdempotentMethodDetector,org.zalando.riptide.defaultidempotentmethoddetectortest.trace,False,False,True
14,17.0,riptide,LoggingRetryListener,org.zalando.riptide.failsafe.loggingretrylistenertest.shouldlogfailure,False,False,True
25,17.0,riptide,ProblemRoute,org.zalando.riptide.problem.problemroutetest.shouldpropagateproblem,False,False,True
34,17.0,riptide,Route,org.zalando.riptide.routetest.shouldpropagateioexceptionasis,False,False,True
36,17.0,riptide,RoutingTree,org.zalando.riptide.routingtreetest.shouldcreatenewroutingtreeifnotchanged,False,False,True
54,17.0,riptide,Streams,org.zalando.riptide.stream.streamstest.shouldcallconsumerwithjsonlist,False,True,True
13,17.0,riptide,HttpDateDelayParser,org.zalando.riptide.failsafe.httpdatedelayparsertest.shouldparsehttpdate,False,False,True
15,17.0,riptide,LoggingRetryListener,org.zalando.riptide.failsafe.loggingretrylistenertest.shouldnotlogresults,False,False,True
20,17.0,riptide,IdempotencyKeyIdempotentMethodDetector,org.zalando.riptide.idempotencykeyidempotentmethoddetectortest.shoulddetectidempotencykeycaseinsensitive,False,False,True
29,17.0,riptide,Requester,org.zalando.riptide.requestertest.shouldexpandtwo,False,False,True
46,17.0,riptide,TimeSpan,org.zalando.riptide.spring.timespantest.shouldfailonunsupportedtimespanformat,False,False,True
55,17.0,riptide,Streams,org.zalando.riptide.stream.streamstest.shouldcallconsumerwithjsonsequence,False,True,True
0,17.0,riptide,BackupRequestPlugin,org.zalando.riptide.backup.backuprequestplugintest.shouldsendbackuprequestsforgetwithbody,False,False,True
10,17.0,riptide,DefaultIdempotentMethodDetector,org.zalando.riptide.defaultidempotentmethoddetectortest.options,False,False,True
31,17.0,riptide,Route,org.zalando.riptide.routetest.shouldmapheaders,False,True,True
32,17.0,riptide,Route,org.zalando.riptide.routetest.shouldmaplocation,False,False,True
41,17.0,riptide,Plugin,org.zalando.riptide.spring.plugintest.shoulduseoriginalstacktraceplugin,False,False,True
48,17.0,riptide,TimeSpan,org.zalando.riptide.spring.timespantest.shouldparseusingconstructor,False,False,True
