,idProject,nameProject,productionClass,testCase,isMysteryGuest,isMysteryGuestManual,prediction
4,23.0,timely,MetricAdapter,timely.api.model.metricadaptertest.testtomutationwithviz,False,False,True
19,23.0,timely,HttpRequestDecoder,timely.netty.http.httprequestdecodertest.testsuggestnosession,False,False,True
23,23.0,timely,WebSocketRequestDecoder,timely.netty.websocket.websocketrequestdecodertest.testcreatesubscriptionwithinvalidsessionidandnonanonymousaccess,False,False,True
26,23.0,timely,WebSocketRequestDecoder,timely.netty.websocket.websocketrequestdecodertest.testremovesubscription,False,False,True
29,23.0,timely,DownsampleIterator,timely.sample.iterators.downsampleiteratortest.memoryestimatortestsmallobjects,False,False,True
38,23.0,timely,TcpClientIT,timely.test.integration.client.tcpclientit.testpersistencewithvisibility,False,True,True
2,23.0,timely,Meta,timely.api.model.metatest.testtokeys,False,False,True
9,23.0,timely,SuggestResponse,timely.api.response.timeseries.suggestresponsetest.testsuggestresponseempty,False,False,True
21,23.0,timely,HttpRequestDecoder,timely.netty.http.httprequestdecodertest.testsuggesturiwithvalidtype,False,False,True
37,23.0,timely,MetricAgeOffIterator,timely.store.metricageoffiteratortest.testdefaultmissing,False,False,True
40,23.0,timely,DataStoreIT,timely.test.integration.datastoreit.testmultipleageoff,False,True,True
51,23.0,timely,TimelyTcpIT,timely.test.integration.tcp.timelytcpit.testputmultiple,False,True,True
11,23.0,timely,TagListParser,timely.model.parse.taglistparsertest.testlistcombine,False,False,True
13,23.0,timely,TagListParser,timely.model.parse.taglistparsertest.testlistparse,False,False,True
22,23.0,timely,HttpRequestDecoder,timely.netty.http.httprequestdecodertest.testversionpost,False,False,True
33,23.0,timely,RateIterator,timely.store.iterators.rateiteratortest.testcounterrate,False,False,True
45,23.0,timely,HttpApiIT,timely.test.integration.http.httpapiit.testquerywithoutmsresolution,False,True,True
50,23.0,timely,StaticFileServerIT,timely.test.integration.staticfileserverit.testgetgoodpath,False,True,True
1,23.0,timely,MetricHistogram,timely.analytics.flink.metrichistogramtest.test90thpercentile,False,False,True
14,23.0,timely,TagListParser,timely.model.parse.taglistparsertest.testparsetagswithcommas,False,False,True
16,23.0,timely,HttpRequestDecoder,timely.netty.http.httprequestdecodertest.testlookupuriwithlimit,False,False,True
39,23.0,timely,WebSocketClientIT,timely.test.integration.client.websocketclientit.testworkflow,False,True,True
41,23.0,timely,DataStoreIT,timely.test.integration.datastoreit.testmultipleageoffwithoutcache,False,False,True
54,23.0,timely,TimelyUdpIT,timely.test.integration.udp.timelyudpit.testpersistencewithvisibility,False,True,True
6,23.0,timely,MetricsResponse,timely.api.response.timeseries.metricsresponsetest.testgeneratehtmlwithignoredtags,False,False,True
12,23.0,timely,TagListParser,timely.model.parse.taglistparsertest.testlistcombinemap,False,False,True
35,23.0,timely,MetricAgeOffFilter,timely.store.metricageofffiltertest.testmixed,False,False,True
36,23.0,timely,MetricAgeOffIterator,timely.store.metricageoffiteratortest.testdefault,False,False,True
44,23.0,timely,HttpApiIT,timely.test.integration.http.httpapiit.testquerywithnotagsmultipleseries,False,True,True
55,23.0,timely,TimelyUdpIT,timely.test.integration.udp.timelyudpit.testputmultiplebinary,False,True,True
0,23.0,timely,MetricHistogram,timely.analytics.flink.metrichistogramtest.test50thpercentile,False,False,True
25,23.0,timely,WebSocketRequestDecoder,timely.netty.websocket.websocketrequestdecodertest.testmetrics,False,False,True
31,23.0,timely,DownsampleIterator,timely.sample.iterators.downsampleiteratortest.simplegettwosamples,False,False,True
34,23.0,timely,TimeSeriesGroupingIterator,timely.store.iterators.timeseriesgroupingiteratortest.testadditionaltimeseries,False,False,True
46,23.0,timely,HttpApiIT,timely.test.integration.http.httpapiit.testquerywithtagwildcard,False,True,True
47,23.0,timely,HttpApiIT,timely.test.integration.http.httpapiit.testratecounterwithoptions,False,True,True
3,23.0,timely,MetricAdapter,timely.api.model.metricadaptertest.testparsewithviz,False,False,True
10,23.0,timely,Metric,timely.model.metrictest.testjson,False,False,True
20,23.0,timely,HttpRequestDecoder,timely.netty.http.httprequestdecodertest.testsuggesturiwithinvalidtypeanonaccess,False,False,True
43,23.0,timely,HttpApiIT,timely.test.integration.http.httpapiit.testputmetric,False,True,True
52,23.0,timely,TwoWaySSLIT,timely.test.integration.twowaysslit.testbasicauthlogin,False,False,True
8,23.0,timely,QueryResponse,timely.api.response.timeseries.queryresponsetest.testoneresponse,False,False,True
15,23.0,timely,HttpRequestDecoder,timely.netty.http.httprequestdecodertest.testlookuppostwithnosession,False,False,True
24,23.0,timely,WebSocketRequestDecoder,timely.netty.websocket.websocketrequestdecodertest.testcreatesubscriptionwithvalidsessionidandnonanonymousaccess,False,False,True
27,23.0,timely,Downsample,timely.sample.downsampletest.testcombinemissingreport,False,False,True
48,23.0,timely,HTTPStrictTransportSecurityIT,timely.test.integration.http.httpstricttransportsecurityit.testhstsrequestget,False,True,True
17,23.0,timely,HttpRequestDecoder,timely.netty.http.httprequestdecodertest.testlookupuriwithlimitandtags,False,False,True
18,23.0,timely,HttpRequestDecoder,timely.netty.http.httprequestdecodertest.testquerypostglobalannotations,False,False,True
