,idProject,nameProject,productionClass,testCase,isEagerTest,isEagerTestManual,prediction
0,1.0,spring-ws,SimpleFaultMessageResolver,org.springframework.ws.client.core.simplefaultmessageresolvertest.testresolvefault,False,False,False
5,1.0,spring-ws,PayloadValidatingInterceptor,org.springframework.ws.client.support.interceptor.payloadvalidatinginterceptortest.testhandleinvalidresponse,False,False,True
21,1.0,spring-ws,JaxbElementPayloadMethodProcessor,org.springframework.ws.server.endpoint.adapter.method.jaxb.jaxbelementpayloadmethodprocessortest.resolveargument,False,True,True
29,1.0,spring-ws,StaxPayloadMethodArgumentResolver,org.springframework.ws.server.endpoint.adapter.method.staxpayloadmethodargumentresolvertest.resolvestreamreaderstream,False,False,True
39,1.0,spring-ws,XmlRootElementEndpointMapping,org.springframework.ws.server.endpoint.mapping.jaxb.xmlrootelementendpointmappingtest.rootelement,False,False,False
49,1.0,spring-ws,MessageDispatcher,org.springframework.ws.server.messagedispatchertest.testgetendpointadapterunsupportedendpoint,False,True,False
68,1.0,spring-ws,SimplePasswordValidationCallbackHandler,org.springframework.ws.soap.security.xwss.callback.simplepasswordvalidationcallbackhandlertest.testplaintextpasswordinvalid,False,True,True
93,1.0,spring-ws,SoapMessageDispatcher,org.springframework.ws.soap.server.soapmessagedispatchertest.testprocessmustunderstandheadersforactorsoap11,False,True,True
94,1.0,spring-ws,SoapMessageDispatcher,org.springframework.ws.soap.server.soapmessagedispatchertest.testprocessmustunderstandheadersnotunderstoodsoap12,False,True,True
96,1.0,spring-ws,SoapUtils,org.springframework.ws.soap.support.soaputilstest.testsetactionincontenttype,False,True,True
100,1.0,spring-ws,ErrorResponseCreator,org.springframework.ws.test.client.errorresponsecreatortest.callback,True,False,False
106,1.0,spring-ws,ResponseCreators,org.springframework.ws.test.client.responsecreatorstest.withmustunderstandfault,False,False,True
134,1.0,spring-ws,DomContentHandler,org.springframework.xml.dom.domcontenthandlertest.testcontenthandlerdocumentnamespaceprefixes,False,True,True
135,1.0,spring-ws,DomContentHandler,org.springframework.xml.dom.domcontenthandlertest.testcontenthandlerdocumentnonamespaceprefixes,False,True,True
136,1.0,spring-ws,DomContentHandler,org.springframework.xml.dom.domcontenthandlertest.testcontenthandlerelement,False,True,False
