,idProject,nameProject,productionClass,testCase,NMC,probabilityEagerTest,isEagerTest,isEagerTestManual,prediction
0,49.0,spring-boot,OperationMethodParameters,org.springframework.boot.actuate.endpoint.invoke.reflect.operationmethodparametertests.ismandatorywhennoannotationshouldreturntrue,0.0,0.3747469475939708,False,False,False
1,49.0,spring-boot,OperationMethodParameters,org.springframework.boot.actuate.endpoint.invoke.reflect.operationmethodparametertests.ismandatorywhennullableannotationshouldreturnfalse,0.0,0.3647147931701567,False,False,False
2,49.0,spring-boot,CommandLineIT,org.springframework.boot.cli.commandlineit.help,0.0,0.1076066711653207,False,False,False
6,49.0,spring-boot,ChangedFiles,org.springframework.boot.devtools.filewatch.changedfiletests.getrelativename,1.0,0.5290169504609957,False,True,False
11,49.0,spring-boot,WebServerPortFileWriter,org.springframework.boot.web.context.webserverportfilewritertest.createmanagementportfile,2.0,0.3959415462379529,False,True,False
12,49.0,spring-boot,WebServerPortFileWriter,org.springframework.boot.web.context.webserverportfilewritertest.overrideportfilewithdefault,1.0,0.3913802505524859,False,False,False
14,49.0,spring-boot,SampleTomcatDeployApplicationIT,sample.sampletomcatdeployapplicationit.errorfromexceptionforrequestacceptinghtmlproducesanhtmlresponse,0.0,0.4592830337106334,False,False,False
15,49.0,spring-boot,SampleTomcatDeployApplicationIT,sample.sampletomcatdeployapplicationit.errorfromexceptionforrequestacceptingjsonproducesajsonresponse,0.0,0.4086474399404758,False,False,False
18,49.0,spring-boot,SampleWildFlyDeployApplicationIT,sample.samplewildflydeployapplicationit.testhealth,0.0,0.0600992278232442,False,False,False
19,49.0,spring-boot,SampleWildFlyDeployApplicationIT,sample.samplewildflydeployapplicationit.testhome,0.0,0.0600992278232442,False,False,False
3,49.0,spring-boot,JarCommand,org.springframework.boot.cli.jarcommandit.jarcreation,0.0,0.3292800484143725,False,True,False
4,49.0,spring-boot,JarCommand,org.springframework.boot.cli.jarcommandit.jarcreationwithincludes,0.0,0.3218667708636958,False,True,False
5,49.0,spring-boot,JarCommand,org.springframework.boot.cli.jarcommandit.nosources,0.0,0.3400163623875063,False,False,False
7,49.0,spring-boot,ClassLoaderFiles,org.springframework.boot.devtools.restart.classloader.classloaderfiletests.deletedcontentsmustbenull,0.0,0.5007094798268388,False,False,True
8,49.0,spring-boot,SysVinitLaunchScriptIT,org.springframework.boot.launchscript.sysvinitlaunchscriptit.launchwithdoublelinksinglejavaopt,0.0,0.7789379400718198,True,False,True
9,49.0,spring-boot,SysVinitLaunchScriptIT,org.springframework.boot.launchscript.sysvinitlaunchscriptit.launchwithrelativelogfolder,1.0,0.6521651787024259,True,False,True
10,49.0,spring-boot,SysVinitLaunchScriptIT,org.springframework.boot.launchscript.sysvinitlaunchscriptit.statuswhenkilled,3.0,0.6362100085977648,True,False,True
13,49.0,spring-boot,SampleGlassfishDeployApplicationIT,sample.sampleglassfishdeployapplicationit.testhealth,0.0,0.0425340364124836,False,False,False
16,49.0,spring-boot,SampleTomcatDeployApplicationIT,sample.sampletomcatdeployapplicationit.testhome,0.0,0.6632464417110213,True,False,True
17,49.0,spring-boot,SampleTomEEDeployApplicationIT,sample.sampletomeedeployapplicationit.testhome,0.0,0.0600992278232442,False,False,False
