,idProject,nameProject,productionClass,testCase,isTestRedundancy,isTestRedundancyManual,prediction
3,49.0,hbase,BackupSystemTable,org.apache.hadoop.hbase.backup.testbackupsystemtable.testaddwalfiles,False,False,True
6,49.0,hbase,BackupSystemTable,org.apache.hadoop.hbase.backup.testbackupsystemtable.testbackupsetlist,False,False,True
11,49.0,hbase,ReplicationAdmin,org.apache.hadoop.hbase.client.replication.testreplicationadmin.testsetreplicateallusertables,False,False,True
13,49.0,hbase,AsyncAdminBuilder,org.apache.hadoop.hbase.client.testasyncadminbuilder.testoperationtimeout,False,False,True
21,49.0,hbase,AsyncProcess,org.apache.hadoop.hbase.client.testasyncprocess.testreadandwritetimeout,False,False,True
29,49.0,hbase,AsyncSingleRequestRpcRetryingCaller,org.apache.hadoop.hbase.client.testasyncsinglerequestrpcretryingcaller.testmaxretries,False,False,True
30,49.0,hbase,AsyncTable,org.apache.hadoop.hbase.client.testasynctable.testappend,False,False,True
62,49.0,hbase,TableDescriptorBuilder,org.apache.hadoop.hbase.client.testtabledescriptorbuilder.testaddcoprocessortwice,False,False,True
69,49.0,hbase,KeyValueCodec,org.apache.hadoop.hbase.codec.testkeyvaluecodec.testone,False,False,True
77,49.0,hbase,MasterObserver,org.apache.hadoop.hbase.coprocessor.testmasterobserver.testtablenamesenumeration,False,False,True
94,49.0,hbase,Filter,org.apache.hadoop.hbase.filter.testfilter.testpagefilter,False,False,True
101,49.0,hbase,FilterList,org.apache.hadoop.hbase.filter.testfilterlist.testmpone,False,False,True
107,49.0,hbase,FilterWrapper,org.apache.hadoop.hbase.filter.testfilterwrapper.testfilterwrapper,False,False,True
111,49.0,hbase,InclusiveStopFilter,org.apache.hadoop.hbase.filter.testinclusivestopfilter.testserialization,False,False,True
130,49.0,hbase,ParseFilter,org.apache.hadoop.hbase.filter.testparsefilter.testregisterfilter,False,False,True
133,49.0,hbase,ParseFilter,org.apache.hadoop.hbase.filter.testparsefilter.testunescapedquote2,False,False,True
134,49.0,hbase,PrefixFilter,org.apache.hadoop.hbase.filter.testprefixfilter.testprefixonrowinsidewhilematchrow,False,False,True
146,49.0,hbase,Encryption,org.apache.hadoop.hbase.io.crypto.testencryption.testlargeblocks,False,False,True
156,49.0,hbase,FileIOEngine,org.apache.hadoop.hbase.io.hfile.bucket.testfileioengine.testrefreshfileconnection,False,False,True
159,49.0,hbase,HFile,org.apache.hadoop.hbase.io.hfile.testhfile.testcorrupt0lengthhfile,False,False,True
164,49.0,hbase,HFileBlockIndex,org.apache.hadoop.hbase.io.hfile.testhfileblockindex.testblockindexchunk,False,False,True
172,49.0,hbase,ByteBufferOutputStream,org.apache.hadoop.hbase.io.testbytebufferoutputstream.testbytebufferreuse,False,False,True
181,49.0,hbase,BufferChain,org.apache.hadoop.hbase.ipc.testbufferchain.testwithspy,False,False,True
186,49.0,hbase,MasterFifoRpcScheduler,org.apache.hadoop.hbase.ipc.testmasterfiforpcscheduler.testcallqueueinfo,False,False,True
189,49.0,hbase,SimpleRpcScheduler,org.apache.hadoop.hbase.ipc.testsimplerpcscheduler.testsoftandhardqueuelimits,False,False,True
227,49.0,hbase,TableSnapshotInputFormat,org.apache.hadoop.hbase.mapreduce.testtablesnapshotinputformat.testwithmockedmapreduce,False,False,True
240,49.0,hbase,RegionLocationFinder,org.apache.hadoop.hbase.master.balancer.testregionlocationfinder.testgettopblocklocations,False,False,True
241,49.0,hbase,RSGroupBasedLoadBalancer,org.apache.hadoop.hbase.master.balancer.testrsgroupbasedloadbalancer.testbalancecluster,False,False,True
242,49.0,hbase,RSGroupBasedLoadBalancer,org.apache.hadoop.hbase.master.balancer.testrsgroupbasedloadbalancer.testbulkassignment,False,False,True
247,49.0,hbase,CleanerChore,org.apache.hadoop.hbase.master.cleaner.testcleanerchore.teststoppedcleanerdoesnotdeletefiles,False,False,True
248,49.0,hbase,HFileCleaner,org.apache.hadoop.hbase.master.cleaner.testhfilecleaner.testonconfigurationchange,False,False,True
263,49.0,hbase,CreateNamespaceProcedure,org.apache.hadoop.hbase.master.procedure.testcreatenamespaceprocedure.testcreatesamenamespacetwice,False,False,True
273,49.0,hbase,MasterProcedureScheduler,org.apache.hadoop.hbase.master.procedure.testmasterprocedurescheduler.testverifynamespacerwlocks,False,False,True
275,49.0,hbase,MasterProcedureScheduler,org.apache.hadoop.hbase.master.procedure.testmasterprocedurescheduler.testverifyrwlocks,False,False,True
294,49.0,hbase,HMasterCommandLine,org.apache.hadoop.hbase.master.testhmastercommandline.testrun,False,False,True
306,49.0,hbase,RefCountingMap,org.apache.hadoop.hbase.metrics.impl.testrefcountingmap.testclear,False,False,True
327,49.0,hbase,MultiByteBuff,org.apache.hadoop.hbase.nio.testmultibytebuff.testarraybasedmethods,False,False,True
361,49.0,hbase,ActivePolicyEnforcement,org.apache.hadoop.hbase.quotas.testactivepolicyenforcement.testnonviolatingquotacachespolicyenforcment,False,False,True
366,49.0,hbase,FileSystemUtilizationChore,org.apache.hadoop.hbase.quotas.testfilesystemutilizationchore.testnonhfilesareignored,False,False,True
369,49.0,hbase,GlobalQuotaSettingsImpl,org.apache.hadoop.hbase.quotas.testglobalquotasettingsimpl.testmergespace,False,False,True
372,49.0,hbase,MasterQuotasObserver,org.apache.hadoop.hbase.quotas.testmasterquotasobserver.testnamespacespaceandrpcquotaremoved,False,False,True
388,49.0,hbase,OffPeakHours,org.apache.hadoop.hbase.regionserver.compactions.testoffpeakhours.testsetpeakhouroutsidecurrentselection,False,False,True
392,49.0,hbase,NewVersionBehaviorTracker,org.apache.hadoop.hbase.regionserver.querymatcher.testnewversionbehaviortracker.testmaxversionmask,False,False,True
411,49.0,hbase,DefaultMemStore,org.apache.hadoop.hbase.regionserver.testdefaultmemstore.testretainsdeletefamily,False,False,True
413,49.0,hbase,DefaultMemStore,org.apache.hadoop.hbase.regionserver.testdefaultmemstore.testshouldflushmeta,False,False,True
417,49.0,hbase,FlushLifeCycleTracker,org.apache.hadoop.hbase.regionserver.testflushlifecycletracker.testnotexecuted,False,False,True
418,49.0,hbase,HeapMemoryManager,org.apache.hadoop.hbase.regionserver.testheapmemorymanager.testplugginginheapmemorytuner,False,False,True
421,49.0,hbase,HMobStore,org.apache.hadoop.hbase.regionserver.testhmobstore.testmobstoreencryption,False,False,True
431,49.0,hbase,HRegion,org.apache.hadoop.hbase.regionserver.testhregion.testdatainmemorywithoutwal,False,False,True
434,49.0,hbase,HRegion,org.apache.hadoop.hbase.regionserver.testhregion.testflushresult,False,False,True
