,idProject,nameProject,productionClass,testCase,NRF,isMysteryGuestManual,isMysteryGuestManual,prediction
1,21.0,oci-java-sdk,ConfigFileReader,com.oracle.bmc.configfilereadertest.linewithemptykey,1.0,True,True,False
3,21.0,oci-java-sdk,ConfigFileReader,com.oracle.bmc.configfilereadertest.noprofile,1.0,True,True,False
9,21.0,oci-java-sdk,HttpDateUtils,com.oracle.bmc.http.internal.httpdateutilstest.otherdateheader_rfc3339_datetime_withmillis_utc,0.0,False,False,False
10,21.0,oci-java-sdk,ResponseHelper,com.oracle.bmc.http.internal.responsehelpertest.test_throwifnotsuccessful_validjsonresponse,0.0,False,False,False
11,21.0,oci-java-sdk,RestClientFactoryBuilder,com.oracle.bmc.http.internal.restclientfactorybuildertest.testdefaultconfigurator,0.0,False,False,False
12,21.0,oci-java-sdk,RestClientFactoryBuilder,com.oracle.bmc.http.internal.restclientfactorybuildertest.testsetdefaultconfiguratorwithadditionalconfigurators,0.0,False,False,False
13,21.0,oci-java-sdk,RestClient,com.oracle.bmc.http.internal.restclienttest.filter_headerabsent,0.0,False,False,False
14,21.0,oci-java-sdk,RestClient,com.oracle.bmc.http.internal.restclienttest.filter_headerabsentsetnull,0.0,False,False,False
18,21.0,oci-java-sdk,DefaultEndpointConfiguration,com.oracle.bmc.internal.defaultendpointconfigurationtest.somevariables_nosecondleveldomain,0.0,True,True,False
19,21.0,oci-java-sdk,DefaultEndpointConfiguration,com.oracle.bmc.internal.defaultendpointconfigurationtest.somevariables_noservicename_nosecondleveldomain,0.0,True,True,False
20,21.0,oci-java-sdk,EndpointBuilder,com.oracle.bmc.internal.endpointbuildertest.createendpoint_usecustomtemplate,0.0,True,True,False
23,21.0,oci-java-sdk,Range,com.oracle.bmc.model.rangetest.parse_nostarthascontentlength,0.0,False,False,False
24,21.0,oci-java-sdk,MultipartTransferManager,com.oracle.bmc.objectstorage.transfer.internal.multiparttransfermanagertest.abortall,0.0,False,False,False
25,21.0,oci-java-sdk,MultipartUtils,com.oracle.bmc.objectstorage.transfer.internal.multipartutilstest.shouldcalculatemd5_enabled_notset,0.0,False,False,False
26,21.0,oci-java-sdk,MultipartUtils,com.oracle.bmc.objectstorage.transfer.internal.multipartutilstest.shouldusemultipart_multipartsdisabled_shouldreturnfalse,0.0,False,False,False
27,21.0,oci-java-sdk,MultipartUtils,com.oracle.bmc.objectstorage.transfer.internal.multipartutilstest.shouldusemultipart_objectnottoolarge_shouldreturntrue,0.0,False,False,False
28,21.0,oci-java-sdk,MultipartObjectAssembler,com.oracle.bmc.objectstorage.transfer.multipartobjectassemblertest.addparts_allsuccessful_commit,5.0,False,False,False
31,21.0,oci-java-sdk,ProgressTracker,com.oracle.bmc.objectstorage.transfer.progresstrackertest.multipartuploadprogresstrackerfactory_differentprogresstracker,0.0,False,False,False
34,21.0,oci-java-sdk,UploadManager,com.oracle.bmc.objectstorage.transfer.uploadmanagertest.upload_singleupload_enforcemd5,0.0,False,False,False
35,21.0,oci-java-sdk,Region,com.oracle.bmc.regiontest.regionalendpoint_withregionenum_andregionstring_oc1,0.0,False,False,False
37,21.0,oci-java-sdk,FileUtils,com.oracle.bmc.util.internal.fileutilstest.expanduserhome_tildenohomeshortcut,1.0,False,False,False
40,21.0,oci-java-sdk,HttpUtils,com.oracle.bmc.util.internal.httputilstest.encodemapqueryparam_mapofstringtoboolean_nullprefix,0.0,False,False,False
44,21.0,oci-java-sdk,JavaRuntimeUtils,com.oracle.bmc.util.javaruntimeutilstest.version_java9_prerelease,0.0,False,False,False
46,21.0,oci-java-sdk,MaxTimeTerminationStrategy,com.oracle.bmc.waiter.maxtimeterminationstrategytest.shouldterminate_equal,2.0,False,False,False
0,21.0,oci-java-sdk,ConfigFileReader,com.oracle.bmc.configfilereadertest.defaultprofile,9.0,True,True,False
2,21.0,oci-java-sdk,ConfigFileReader,com.oracle.bmc.configfilereadertest.noconfigfile,3.0,True,True,False
4,21.0,oci-java-sdk,DefaultConfigurator,com.oracle.bmc.http.defaultconfiguratortest.failifpropertyfalse,0.0,False,False,False
5,21.0,oci-java-sdk,DefaultConfigurator,com.oracle.bmc.http.defaultconfiguratortest.succeedifpropertytrue,0.0,False,False,False
6,21.0,oci-java-sdk,ExplicitlySetFilter,com.oracle.bmc.http.internal.explicitlysetfiltertest.testnullfieldinsuperclass,0.0,False,False,False
7,21.0,oci-java-sdk,ExplicitlySetFilter,com.oracle.bmc.http.internal.explicitlysetfiltertest.testnullinsubclass,0.0,False,False,False
8,21.0,oci-java-sdk,HttpDateUtils,com.oracle.bmc.http.internal.httpdateutilstest.format_rfc3339_zeromillis,0.0,False,False,False
15,21.0,oci-java-sdk,PEMFileRSAPrivateKeySupplier,com.oracle.bmc.http.signing.internal.pemfilersaprivatekeysuppliertest.ctor_invalidfile,2.0,False,False,False
