Project,PR,SR
jhipster-registry,0.000202,0.000777
java-websocket,0.000204,0.000785
hbase,0.000191,0.000832
undertow,0.000202,0.000777
esper,0.000207,0.000788
wildfly,0.000202,0.000778
hadoop,0.000141,0.000111
oryx,0.000203,0.000782
otto,0.000202,0.000777
marine-api,0.000205,0.000783
tyrus,0.000203,0.000779
wildfly-maven-plugin,0.000202,0.000775
querydsl,0.000183,0.000803
activiti,0.000203,0.000778
webcollector,0.000202,0.000776
luwak,0.000199,0.000778
fastjson,0.000221,0.000816
spring-cloud-zuul-ratelimit,0.000201,0.000777
dropwizard,0.000205,0.000799
jimfs,0.000199,0.00078
wikidata-toolkit,0.00021,0.000794
fluent-logger-java,0.000202,0.000776
joda-time,0.000207,0.000801
spring-ws,0.000208,0.00079
struts,0.000157,0.00078
dnsjava,0.000201,0.000785
riptide,0.000199,0.000777
search-highlighter,0.000197,0.00078
aismessages,0.000202,0.000777
db-scheduler,0.000202,0.000777
vertx-mqtt,0.000202,0.000776
orbit,0.000202,0.000777
delight-nashorn-sandbox,0.000202,0.000776
redpipe,0.000202,0.000776
nexus-repository-helm,0.000202,0.000777
achilles,0.000206,0.000785
helios,0.000194,0.000783
admiral,0.00022,0.000813
http-request,0.000202,0.000778
oci-java-sdk,0.000204,0.000779
aletheia,0.000202,0.000777
wro4j,0.000205,0.000803
noxy,0.000201,0.000776
vertexium,0.000205,0.000783
hutool,0.000197,0.000785
jfreechart,0.000213,0.000759
openpojo,0.000208,0.000788
timely,0.000204,0.000781
recast4j,0.000202,0.000776
junit-quickcheck,0.000203,0.000779
unix4j,0.000199,0.000782
sawmill,0.000202,0.000782
spring-boot,0.000202,0.000778
c2mon,0.000207,0.00079
rxjava2-extras,0.000203,0.000783
vertx-completable-future,0.000202,0.000777
hsac-fitnesse-fixtures,0.000204,0.000781
one,0.000202,0.000776
incubator-dubbo,0.00021,0.000807
alien4cloud,0.000203,0.000783
elastic-job-lite,0.000206,0.000788
pippo,0.000199,0.000778
cukes,0.000202,0.000777
yawp,0.000198,0.000776
carbon-apimgt,0.000204,0.000781
retrofit,0.000204,0.000781
total,0.00020128787878787876,0.0007732575757575757
