Project,NRDB,NRF
db-scheduler,0.0,0.0
yawp,0.112492,0.0
wikidata-toolkit,0.0,0.058159
jimfs,0.0,0.172699
luwak,0.0,0.0
fastjson,0.000113,0.041332
dropwizard,0.003267,0.077044
sawmill,0.0,0.0
wro4j,0.009801,0.119806
jfreechart,0.0,0.0
orbit,0.0,0.0
carbon-apimgt,0.042021,0.042021
incubator-dubbo, 0.00619,0.007869
activiti,0.0,0.007586
tyrus,0.0,0.0
pippo,0.0,0.0
aismessages,0.0,0.0
wildfly,0.0,0.0
elastic-job-lite,0.030574,0.019923
esper,0.03279,0.03279
spring-ws,0.052446,0.053305
java-websocket,0.0,0.0
vertx-completable-future,0.0,0.0
hadoop,0.005038,0.101684
unix4j,0.0,0.086694
riptide,0.004126,0.0
cukes,0.0,0.023921
search-highlighter,0.0,0.0
hutool,0.0,0.140273
vertexium,0.0,0.0
fluent-logger-java,0.0,0.0
noxy,0.0,0.0
http-request,0.0,0.006744
hbase,0.005952, 0.05479
achilles,0.0,0.061226
admiral, 0.00383,0.005472
retrofit,0.0,0.001303
marine-api,0.0,0.0
vertx-mqtt,0.0,0.0
spring-boot,0.100149,0.100149
recast4j,0.0,0.0
oci-java-sdk,0.008512,0.189038
helios,0.0,0.0
dnsjava,0.0,0.0
alien4cloud,0.006862,0.114389
openpojo,0.0,0.075751
nexus-repository-helm,0.693147,0.0
aletheia,0.0,0.0
timely,0.0,0.0
struts,0.072318,0.099678
c2mon,0.0,0.0
jhipster-registry,0.0,0.0
hsac-fitnesse-fixtures,0.0,0.227576
webcollector,0.0,0.0
wildfly-maven-plugin,0.0,0.0
spring-cloud-zuul-ratelimit,0.0,0.0
querydsl,0.006904, 0.03702
rxjava2-extras,0.0,0.151014
joda-time,0.0,0.0
undertow,0.0,0.0
junit-quickcheck,0.0,0.0
total,0.01962,0.03458
