,idProject,nameProject,productionClass,testCase,SR,isTestRedundancy,isTestRedundancyManual,prediction
53,49.0,hbase,MetricsConnection,org.apache.hadoop.hbase.client.testmetricsconnection.teststaticmetrics,0.0,False,False,False
54,49.0,hbase,Mutation,org.apache.hadoop.hbase.client.testmutation.testputcopyconstructor,0.0,False,False,False
55,49.0,hbase,Operation,org.apache.hadoop.hbase.client.testoperation.testoperationjson,0.0,False,False,False
57,49.0,hbase,ReversedScannerCallable,org.apache.hadoop.hbase.client.testreversedscannercallable.testprepareusescache,0.0,False,False,False
60,49.0,hbase,SimpleRequestController,org.apache.hadoop.hbase.client.testsimplerequestcontroller.testtaskcountchecker,0.0,False,False,False
62,49.0,hbase,TableDescriptorBuilder,org.apache.hadoop.hbase.client.testtabledescriptorbuilder.testaddcoprocessortwice,0.0,False,False,False
64,49.0,hbase,TableDescriptorBuilder,org.apache.hadoop.hbase.client.testtabledescriptorbuilder.testgetmaxfilesize,0.0,False,False,False
66,49.0,hbase,TableSnapshotScanner,org.apache.hadoop.hbase.client.testtablesnapshotscanner.testscannerwithrestorescanner,0.0,False,False,False
67,49.0,hbase,ZKAsyncRegistry,org.apache.hadoop.hbase.client.testzkasyncregistry.testindependentzkconnections,0.0,False,False,False
68,49.0,hbase,CellCodec,org.apache.hadoop.hbase.codec.testcellcodec.testone,0.0,False,False,False
69,49.0,hbase,KeyValueCodec,org.apache.hadoop.hbase.codec.testkeyvaluecodec.testone,0.0,False,False,False
71,49.0,hbase,ConfigurationManager,org.apache.hadoop.hbase.conf.testconfigurationmanager.testderegisteronoutofscope,0.0,False,False,False
72,49.0,hbase,Constraint,org.apache.hadoop.hbase.constraint.testconstraint.testdisableconstraint,0.0,False,False,False
73,49.0,hbase,Constraint,org.apache.hadoop.hbase.constraint.testconstraint.testisunloaded,0.0,False,False,False
74,49.0,hbase,Constraints,org.apache.hadoop.hbase.constraint.testconstraints.testconfigurationpreserved,0.0,False,False,False
76,49.0,hbase,MasterObserver,org.apache.hadoop.hbase.coprocessor.testmasterobserver.testsnapshotoperations,0.0,False,False,False
77,49.0,hbase,MasterObserver,org.apache.hadoop.hbase.coprocessor.testmasterobserver.testtablenamesenumeration,0.0,False,False,False
81,49.0,hbase,FavoredNodeAssignmentHelper,org.apache.hadoop.hbase.favored.testfavorednodeassignmenthelper.testconstrainedplacement,0.0,False,False,False
85,49.0,hbase,BitComparator,org.apache.hadoop.hbase.filter.testbitcomparator.testoroperation,0.0,False,False,False
88,49.0,hbase,ColumnPaginationFilter,org.apache.hadoop.hbase.filter.testcolumnpaginationfilter.testserialization,0.0,False,False,False
89,49.0,hbase,DependentColumnFilter,org.apache.hadoop.hbase.filter.testdependentcolumnfilter.testfilterdropping,0.0,False,False,False
90,49.0,hbase,Filter,org.apache.hadoop.hbase.filter.testfilter.test94filterrowcompatibility,0.0,False,False,False
91,49.0,hbase,Filter,org.apache.hadoop.hbase.filter.testfilter.testfirstkeyonlyfilter,0.0,False,False,False
92,49.0,hbase,Filter,org.apache.hadoop.hbase.filter.testfilter.testkeyonlyfilter,0.0,False,False,False
94,49.0,hbase,Filter,org.apache.hadoop.hbase.filter.testfilter.testpagefilter,0.0,False,False,False
95,49.0,hbase,Filter,org.apache.hadoop.hbase.filter.testfilter.testqualifierfilter,0.0,False,False,False
96,49.0,hbase,Filter,org.apache.hadoop.hbase.filter.testfilter.testrowfilter,0.0,False,False,False
101,49.0,hbase,FilterList,org.apache.hadoop.hbase.filter.testfilterlist.testmpone,0.0,False,False,False
102,49.0,hbase,FilterList,org.apache.hadoop.hbase.filter.testfilterlist.testmponewithseeknextusinghint,0.0,False,False,False
106,49.0,hbase,FilterList,org.apache.hadoop.hbase.filter.testfilterlist.testshouldpasscurrentcelltofilter,0.0,False,False,False
107,49.0,hbase,FilterWrapper,org.apache.hadoop.hbase.filter.testfilterwrapper.testfilterwrapper,0.0,False,False,False
111,49.0,hbase,InclusiveStopFilter,org.apache.hadoop.hbase.filter.testinclusivestopfilter.testserialization,0.0,False,False,False
115,49.0,hbase,MultiRowRangeFilter,org.apache.hadoop.hbase.filter.testmultirowrangefilter.testmergeandsortwithemptystartrow,0.0,False,False,False
119,49.0,hbase,MultiRowRangeFilter,org.apache.hadoop.hbase.filter.testmultirowrangefilter.testmultirowrangefilterwithemptystartrow,0.0,False,False,False
120,49.0,hbase,MultiRowRangeFilter,org.apache.hadoop.hbase.filter.testmultirowrangefilter.testmultirowrangefilterwithinclusive,0.0,False,False,False
123,49.0,hbase,NullComparator,org.apache.hadoop.hbase.filter.testnullcomparator.testemptyvalue,0.0,False,False,False
124,49.0,hbase,NullComparator,org.apache.hadoop.hbase.filter.testnullcomparator.testnonnullvalue,0.0,False,False,False
125,49.0,hbase,ParseFilter,org.apache.hadoop.hbase.filter.testparsefilter.testcolumncountgetfilter,0.0,False,False,False
126,49.0,hbase,ParseFilter,org.apache.hadoop.hbase.filter.testparsefilter.testcompoundfilter4,0.0,False,False,False
127,49.0,hbase,ParseFilter,org.apache.hadoop.hbase.filter.testparsefilter.testcompoundfilter5,0.0,False,False,False
128,49.0,hbase,ParseFilter,org.apache.hadoop.hbase.filter.testparsefilter.testinclusivestopfilter,0.0,False,False,False
129,49.0,hbase,ParseFilter,org.apache.hadoop.hbase.filter.testparsefilter.testqualifierfilter,0.0,False,False,False
130,49.0,hbase,ParseFilter,org.apache.hadoop.hbase.filter.testparsefilter.testregisterfilter,0.0,False,False,False
132,49.0,hbase,ParseFilter,org.apache.hadoop.hbase.filter.testparsefilter.testtimestampsfilter,0.0,False,False,False
133,49.0,hbase,ParseFilter,org.apache.hadoop.hbase.filter.testparsefilter.testunescapedquote2,0.0,False,False,False
134,49.0,hbase,PrefixFilter,org.apache.hadoop.hbase.filter.testprefixfilter.testprefixonrowinsidewhilematchrow,0.0,False,False,False
138,49.0,hbase,JMXJsonServlet,org.apache.hadoop.hbase.http.jmx.testjmxjsonservlet.testquery,0.0,False,False,False
141,49.0,hbase,HtmlQuoting,org.apache.hadoop.hbase.http.testhtmlquoting.testneedsquoting,0.0,False,False,False
144,49.0,hbase,HttpServer,org.apache.hadoop.hbase.http.testhttpserver.testhttpmethods,0.0,False,False,False
146,49.0,hbase,Encryption,org.apache.hadoop.hbase.io.crypto.testencryption.testlargeblocks,0.0,False,False,False
151,49.0,hbase,BucketCache,org.apache.hadoop.hbase.io.hfile.bucket.testbucketcache.testinvalidacceptfactorconfig,0.0,False,False,False
152,49.0,hbase,BucketCache,org.apache.hadoop.hbase.io.hfile.bucket.testbucketcache.testmemoryleak,0.0,False,False,False
153,49.0,hbase,BucketCache,org.apache.hadoop.hbase.io.hfile.bucket.testbucketcache.testoffsetproducespositiveoutput,0.0,False,False,False
