,idProject,nameProject,productionClass,testCase,NMC,isEagerTest,isEagerTestManual,prediction
0,16.0,joda-time,BuddhistChronology,org.joda.time.chrono.testbuddhistchronology.testdatefields,0.0,True,True,False
1,16.0,joda-time,BuddhistChronology,org.joda.time.chrono.testbuddhistchronology.testequality,0.0,False,False,False
2,16.0,joda-time,BuddhistChronology,org.joda.time.chrono.testbuddhistchronology.testkeyyears,0.0,True,True,False
5,16.0,joda-time,CopticChronology,org.joda.time.chrono.testcopticchronology.testfactoryutc,0.0,False,False,False
6,16.0,joda-time,CopticChronology,org.joda.time.chrono.testcopticchronology.testleap_5_13,0.0,True,False,False
8,16.0,joda-time,CopticChronology,org.joda.time.chrono.testcopticchronology.testsampledate,0.0,False,False,False
11,16.0,joda-time,EthiopicChronology,org.joda.time.chrono.testethiopicchronology.testequality,0.0,False,False,False
12,16.0,joda-time,EthiopicChronology,org.joda.time.chrono.testethiopicchronology.testera,0.0,True,False,False
17,16.0,joda-time,GJChronology,org.joda.time.chrono.testgjchronology.testgjchronology,0.0,True,False,False
18,16.0,joda-time,GJChronology,org.joda.time.chrono.testgjchronology.testillegaldates,0.0,True,False,True
22,16.0,joda-time,GregorianChronology,org.joda.time.chrono.testgregorianchronology.testfactory_zone_int,0.0,False,False,False
23,16.0,joda-time,IslamicChronology,org.joda.time.chrono.testislamicchronology.test16basedleapyear,0.0,True,False,False
24,16.0,joda-time,IslamicChronology,org.joda.time.chrono.testislamicchronology.testfieldconstructor,0.0,True,False,True
25,16.0,joda-time,IslamicChronology,org.joda.time.chrono.testislamicchronology.testtostring,0.0,False,False,False
26,16.0,joda-time,IslamicChronology,org.joda.time.chrono.testislamicchronology.testwithutc,0.0,True,False,False
27,16.0,joda-time,IslamicChronology,org.joda.time.chrono.testislamicchronology.testwithzone,0.0,True,False,False
28,16.0,joda-time,ISOChronology,org.joda.time.chrono.testisochronology.testleap_28feb,0.0,True,False,False
30,16.0,joda-time,ISOChronology,org.joda.time.chrono.testisochronology.testwithutc,0.0,True,False,False
31,16.0,joda-time,JulianChronology,org.joda.time.chrono.testjulianchronology.testfactory_zone_int,0.0,False,False,False
32,16.0,joda-time,LenientChronology,org.joda.time.chrono.testlenientchronology.test_lenientchrononolgy_chicago,0.0,False,False,False
37,16.0,joda-time,CalendarConverter,org.joda.time.convert.testcalendarconverter.testgetpartialvalues,0.0,True,False,False
39,16.0,joda-time,ConverterManager,org.joda.time.convert.testconvertermanager.testaddperiodconverter3,0.0,True,False,False
40,16.0,joda-time,ConverterManager,org.joda.time.convert.testconvertermanager.testgetdurationconverter,19.0,False,False,False
41,16.0,joda-time,ConverterManager,org.joda.time.convert.testconvertermanager.testgetdurationconverters,0.0,True,False,False
42,16.0,joda-time,ConverterManager,org.joda.time.convert.testconvertermanager.testgetinstantconverterbadmultiplematches,0.0,False,False,False
43,16.0,joda-time,ConverterManager,org.joda.time.convert.testconvertermanager.testgetinstantconverters,0.0,True,False,False
44,16.0,joda-time,ConverterManager,org.joda.time.convert.testconvertermanager.testgetintervalconverterremovednull,0.0,False,False,False
46,16.0,joda-time,ConverterManager,org.joda.time.convert.testconvertermanager.testgetperiodconverters,0.0,True,False,False
47,16.0,joda-time,ConverterManager,org.joda.time.convert.testconvertermanager.testremovedurationconverter1,0.0,True,False,False
48,16.0,joda-time,ConverterManager,org.joda.time.convert.testconvertermanager.testremovedurationconverter3,0.0,True,False,False
49,16.0,joda-time,ConverterManager,org.joda.time.convert.testconvertermanager.testremoveinstantconverter1,0.0,True,False,False
51,16.0,joda-time,ConverterManager,org.joda.time.convert.testconvertermanager.testremoveintervalconvertersecurity,0.0,True,False,False
53,16.0,joda-time,ConverterSet,org.joda.time.convert.testconverterset.testclass,0.0,True,False,False
54,16.0,joda-time,DateConverter,org.joda.time.convert.testdateconverter.testgetchronology_object_chronology,0.0,False,False,False
55,16.0,joda-time,DateConverter,org.joda.time.convert.testdateconverter.testgetchronology_object_zone,0.0,False,False,False
